x,rho,E,F,T,Tr
0.001,0.01,21.1635,7.41063,6.24834,6.26698
0.003,0.01,21.163,7.41028,6.23874,6.26694
0.005,0.01,21.1624,7.40992,6.23099,6.2669
0.007,0.01,21.1618,7.40957,6.22274,6.26686
0.009,0.01,21.1612,7.40922,6.21703,6.26681
0.011,0.01,21.1607,7.40888,6.21696,6.26677
0.013,0.01,21.1601,7.40853,6.26561,6.26673
0.015,0.01,21.1595,7.40818,6.26555,6.26669
0.017,0.01,21.1589,7.40784,6.2655,6.26664
0.019,0.01,21.1584,7.40749,6.26398,6.2666
0.021,0.01,21.1578,7.40714,6.26391,6.26656
0.023,0.01,21.1572,7.40679,6.25948,6.26651
0.025,0.01,21.1566,7.40645,6.25941,6.26647
0.027,0.01,21.156,7.4061,6.25787,6.26643
0.029,0.01,21.1554,7.40575,6.2578,6.26638
0.031,0.01,21.1549,7.40541,6.25626,6.26634
0.033,0.01,21.1543,7.40506,6.25478,6.2663
0.035,0.01,21.1537,7.40471,6.25471,6.26626
0.037,0.01,21.1531,7.40437,6.25183,6.26621
0.039,0.01,21.1525,7.40402,6.25011,6.26617
0.041,0.01,21.152,7.40367,6.24867,6.26613
0.043,0.01,21.1514,7.40333,6.24701,6.26608
0.045,0.01,21.1508,7.40298,6.24514,6.26604
0.047,0.01,21.1502,7.40263,6.24507,6.266
0.049,0.01,21.1497,7.40228,6.24194,6.26596
0.051,0.01,21.1491,7.40194,6.24076,6.26591
0.053,0.01,21.1485,7.40159,6.23955,6.26587
0.055,0.01,21.1479,7.40125,6.23712,6.26583
0.057,0.01,21.1473,7.4009,6.23582,6.26578
0.059,0.01,21.1468,7.40056,6.23194,6.26574
0.061,0.01,21.1462,7.40021,6.23056,6.2657
0.063,0.01,21.1456,7.39986,6.22917,6.26566
0.065,0.01,21.1451,7.39952,6.22776,6.26561
0.067,0.01,21.1445,7.39917,6.22499,6.26557
0.069,0.01,21.1439,7.39882,6.22216,6.26553
0.071,0.01,21.1433,7.39847,6.22069,6.26549
0.073,0.01,21.1428,7.39812,6.21639,6.26544
0.075,0.01,21.1422,7.39778,6.21632,6.2654
0.077,0.01,21.1416,7.39743,6.21625,6.26536
0.079,0.01,21.141,7.39708,6.21619,6.26532
0.081,0.01,21.1405,7.39673,6.25755,6.26527
0.083,0.01,21.1399,7.39638,6.25748,6.26523
0.085,0.01,21.1393,7.39603,6.25741,6.26519
0.087,0.01,21.1387,7.39568,6.25585,6.26515
0.089,0.01,21.1381,7.39534,6.25578,6.2651
0.091,0.01,21.1376,7.39499,6.25571,6.26506
