x,rho,E,F,T,Tr
0.005,0.01,24.9775,3.59541,6.50807,6.53204
0.015,0.01,25.001,3.56962,6.50794,6.53357
0.025,0.01,25.0215,3.54678,6.50782,6.53491
0.035,0.01,25.0394,3.5265,6.50769,6.53608
0.045,0.01,25.0552,3.50838,6.5295,6.53711
0.055,0.01,25.069,3.49216,6.52936,6.53801
0.065,0.01,25.0811,3.47764,6.52921,6.5388
0.075,0.01,25.0917,3.46461,6.52906,6.53949
0.085,0.01,25.1011,3.45288,6.5289,6.5401
0.095,0.01,25.1092,3.4423,6.52874,6.54063
0.105,0.01,25.1163,3.43274,6.52856,6.5411
0.115,0.01,25.1225,3.42411,6.50636,6.5415
0.125,0.01,25.1278,3.41628,6.50615,6.54184
0.135,0.01,25.1324,3.40917,6.50592,6.54214
0.145,0.01,25.1363,3.40271,6.50569,6.5424
0.155,0.01,25.1396,3.39681,6.50546,6.54261
0.165,0.01,25.1423,3.39143,6.50523,6.54279
0.175,0.01,25.1446,3.38649,6.505,6.54293
0.185,0.01,25.1464,3.38195,6.50477,6.54305
0.195,0.01,25.1478,3.37775,6.50453,6.54314
0.205,0.01,25.1488,3.37385,6.5043,6.54321
0.215,0.01,25.1496,3.37023,6.50407,6.54326
0.225,0.01,25.15,3.36684,6.50384,6.54329
0.235,0.01,25.1501,3.36364,6.52557,6.54329
0.245,0.01,25.15,3.36061,6.52532,6.54329
0.255,0.01,25.1496,3.35772,6.52507,6.54326
0.265,0.01,25.1491,3.35494,6.52482,6.54323
0.275,0.01,25.1483,3.35228,6.52457,6.54318
0.285,0.01,25.1474,3.3497,6.52432,6.54312
0.295,0.01,25.1463,3.34718,6.53168,6.54304
0.305,0.01,25.145,3.34473,6.53142,6.54296
0.315,0.01,25.1436,3.34234,6.53117,6.54287
0.325,0.01,25.1421,3.33999,6.53091,6.54277
0.335,0.01,25.1405,3.33766,6.53065,6.54267
0.345,0.01,25.1388,3.33541,6.5304,6.54256
0.355,0.01,25.137,3.33317,6.53014,6.54244
0.365,0.01,25.1352,3.33099,6.52988,6.54232
0.375,0.01,25.1332,3.32884,6.52963,6.5422
0.385,0.01,25.1313,3.32675,6.52937,6.54207
0.395,0.01,25.1293,3.32466,6.52912,6.54194
0.405,0.01,25.1273,3.32264,6.52886,6.54181
