x,rho,E,F,T,Tr
0.005,0.01,25.8516,2.72187,6.55937,6.58845
0.015,0.01,25.8508,2.72088,6.55926,6.5884
0.025,0.01,25.85,2.71988,6.55915,6.58835
0.035,0.01,25.8492,2.71889,6.55904,6.5883
0.045,0.01,25.8484,2.7179,6.55892,6.58825
0.055,0.01,25.8476,2.71691,6.56507,6.5882
0.065,0.01,25.8468,2.71592,6.56495,6.58814
0.075,0.01,25.846,2.71493,6.56482,6.58809
0.085,0.01,25.8452,2.71394,6.56469,6.58804
0.095,0.01,25.8444,2.71295,6.56456,6.58799
0.105,0.01,25.8436,2.71197,6.56442,6.58794
0.115,0.01,25.8428,2.71098,6.56427,6.58789
0.125,0.01,25.842,2.71,6.56412,6.58784
0.135,0.01,25.8412,2.70901,6.56395,6.58779
0.145,0.01,25.8404,2.70802,6.56377,6.58774
0.155,0.01,25.8396,2.70704,6.56358,6.58769
0.165,0.01,25.8388,2.70605,6.56337,6.58763
0.175,0.01,25.838,2.70507,6.55677,6.58758
0.185,0.01,25.8372,2.70409,6.55655,6.58753
0.195,0.01,25.8364,2.70311,6.55631,6.58748
0.205,0.01,25.8356,2.70212,6.55608,6.58743
0.215,0.01,25.8348,2.70114,6.55585,6.58738
0.225,0.01,25.834,2.70015,6.55562,6.58733
0.235,0.01,25.8332,2.69917,6.55539,6.58728
0.245,0.01,25.8324,2.69819,6.55516,6.58723
0.255,0.01,25.8316,2.6972,6.55493,6.58718
0.265,0.01,25.8308,2.69622,6.5547,6.58712
0.275,0.01,25.83,2.69523,6.55447,6.58707
0.285,0.01,25.8292,2.69425,6.55424,6.58702
0.295,0.01,25.8284,2.69326,6.55401,6.58697
0.305,0.01,25.8276,2.69228,6.55378,6.58692
0.315,0.01,25.8268,2.69129,6.55355,6.58687
0.325,0.01,25.826,2.6903,6.55331,6.58682
0.335,0.01,25.8252,2.68931,6.55308,6.58677
0.345,0.01,25.8244,2.68833,6.55285,6.58672
0.355,0.01,25.8236,2.68734,6.56503,6.58667
0.365,0.01,25.8228,2.68635,6.56479,6.58661
0.375,0.01,25.822,2.68536,6.56455,6.58656
0.385,0.01,25.8212,2.68437,6.56432,6.58651
0.395,0.01,25.8204,2.68338,6.56408,6.58646
