x,rho,E,F,T,Tr
0.001,0.01,18.9822,9.59178,6.09486,6.09885
0.003,0.01,19.003,9.56978,6.08602,6.10052
0.005,0.01,19.0246,9.54702,6.07728,6.10225
0.007,0.01,19.0468,9.5236,6.0692,6.10404
0.009,0.01,19.0697,9.49963,6.06375,6.10586
0.011,0.01,19.0929,9.4752,6.06313,6.10773
0.013,0.01,19.1166,9.45039,6.06243,6.10962
0.015,0.01,19.1405,9.4253,6.06167,6.11153
0.017,0.01,19.1646,9.39999,6.06083,6.11345
0.019,0.01,19.189,9.37451,6.11071,6.11539
0.021,0.01,19.2134,9.34888,6.11062,6.11734
0.023,0.01,19.238,9.32319,6.10858,6.11929
0.025,0.01,19.2625,9.29752,6.10849,6.12124
0.027,0.01,19.287,9.27188,6.10646,6.12319
0.029,0.01,19.3114,9.24632,6.10637,6.12512
0.031,0.01,19.3357,9.22084,6.10437,6.12705
0.033,0.01,19.3599,9.19545,6.10239,6.12897
0.035,0.01,19.384,9.17018,6.1023,6.13088
0.037,0.01,19.408,9.14503,6.10036,6.13277
0.039,0.01,19.4319,9.12001,6.09847,6.13466
0.041,0.01,19.4557,9.09511,6.09663,6.13653
0.043,0.01,19.4793,9.07034,6.09485,6.13839
0.045,0.01,19.5028,9.04571,6.09314,6.14024
0.047,0.01,19.5261,9.0212,6.0915,6.14208
0.049,0.01,19.5494,8.99684,6.14134,6.14391
0.051,0.01,19.5724,8.97262,6.13937,6.14572
0.053,0.01,19.5954,8.94854,6.13737,6.14752
0.055,0.01,19.6182,8.92459,6.13536,6.14931
0.057,0.01,19.6408,8.90078,6.13335,6.15108
0.059,0.01,19.6634,8.87711,6.13132,6.15285
0.061,0.01,19.6858,8.85358,6.12928,6.1546
0.063,0.01,19.708,8.83018,6.12722,6.15634
0.065,0.01,19.7302,8.80692,6.12516,6.15806
0.067,0.01,19.7522,8.78379,6.12308,6.15978
0.069,0.01,19.774,8.7608,6.121,6.16148
0.071,0.01,19.7958,8.73791,6.11891,6.16318
0.073,0.01,19.8175,8.71511,6.1148,6.16486
0.075,0.01,19.839,8.69241,6.11471,6.16654
0.077,0.01,19.8605,8.66984,6.16582,6.16821
0.079,0.01,19.8818,8.64741,6.16575,6.16986
0.081,0.01,19.9029,8.62513,6.15685,6.1715
0.083,0.01,19.924,8.60297,6.15678,6.17313
0.085,0.01,19.9449,8.58094,6.15671,6.17475
0.087,0.01,19.9657,8.55902,6.15484,6.17636
0.089,0.01,19.9863,8.53723,6.15477,6.17796
0.091,0.01,20.0069,8.51556,6.1547,6.17954
0.093,0.01,20.0273,8.494,6.15282,6.18112
0.095,0.01,20.0477,8.47256,6.15275,6.18269
0.097,0.01,20.0679,8.45124,6.15268,6.18425
0.099,0.01,20.088,8.43004,6.15261,6.18579
0.101,0.01,20.1079,8.40895,6.15071,6.18733
0.103,0.01,20.1278,8.38796,6.15064,6.18886
0.105,0.01,20.1476,8.36709,6.14873,6.19038
0.107,0.01,20.1672,8.34633,6.14866,6.19189
0.109,0.01,20.1868,8.32569,6.14859,6.19339
0.111,0.01,20.2062,8.30517,6.14667,6.19488
0.113,0.01,20.2255,8.28475,6.1466,6.19636
0.115,0.01,20.2447,8.26444,6.19565,6.19783
0.117,0.01,20.2638,8.24425,6.19558,6.19929
0.119,0.01,20.2828,8.22418,6.19396,6.20074
0.121,0.01,20.3016,8.20422,6.19389,6.20218
0.123,0.01,20.3204,8.18436,6.19226,6.20361
0.125,0.01,20.339,8.16461,6.19219,6.20503
0.127,0.01,20.3576,8.14497,6.18898,6.20645
0.129,0.01,20.376,8.12544,6.18891,6.20785
0.131,0.01,20.3944,8.10599,6.18885,6.20925
0.133,0.01,20.4126,8.08664,6.18718,6.21064
0.135,0.01,20.4308,8.06737,6.18551,6.21202
0.137,0.01,20.4489,8.04819,6.18544,6.2134
0.139,0.01,20.4669,8.02909,6.18537,6.21476
0.141,0.01,20.4848,8.0101,6.18369,6.21612
0.143,0.01,20.5026,7.99125,6.182,6.21747
0.145,0.01,20.5202,7.97252,6.17868,6.2188
0.147,0.01,20.5377,7.9539,6.17861,6.22013
0.149,0.01,20.5552,7.93539,6.17688,6.22145
0.151,0.01,20.5725,7.91702,6.17682,6.22276
0.153,0.01,20.5896,7.89878,6.17508,6.22406
0.155,0.01,20.6066,7.8807,6.17334,6.22534
