x,rho,E,F,T,Tr
0.001,0.01,18.6778,9.8961,6.04346,6.07425
0.003,0.01,18.6769,9.8958,6.03528,6.07418
0.005,0.01,18.676,9.89551,6.02715,6.07411
0.007,0.01,18.6751,9.89521,6.0692,6.07403
0.009,0.01,18.6742,9.89492,6.06375,6.07396
0.011,0.01,18.6733,9.89462,6.06313,6.07389
0.013,0.01,18.6724,9.89433,6.06243,6.07381
0.015,0.01,18.6715,9.89403,6.06167,6.07374
0.017,0.01,18.6706,9.89374,6.06083,6.07367
0.019,0.01,18.6697,9.89344,6.05993,6.07359
0.021,0.01,18.6688,9.89315,6.05896,6.07352
0.023,0.01,18.6679,9.89285,6.05792,6.07345
0.025,0.01,18.667,9.89256,6.05683,6.07337
0.027,0.01,18.6661,9.89226,6.05566,6.0733
0.029,0.01,18.6652,9.89197,6.05444,6.07323
0.031,0.01,18.6643,9.89167,6.05316,6.07315
0.033,0.01,18.6634,9.89138,6.05182,6.07308
0.035,0.01,18.6625,9.89108,6.05042,6.07301
0.037,0.01,18.6616,9.89079,6.04897,6.07293
0.039,0.01,18.6606,9.89049,6.04746,6.07286
0.041,0.01,18.6597,9.8902,6.04589,6.07279
0.043,0.01,18.6588,9.8899,6.04428,6.07271
0.045,0.01,18.6579,9.8896,6.04261,6.07264
0.047,0.01,18.657,9.88931,6.04089,6.07257
0.049,0.01,18.6561,9.88901,6.03912,6.07249
0.051,0.01,18.6552,9.88872,6.0373,6.07242
0.053,0.01,18.6543,9.88842,6.03544,6.07235
0.055,0.01,18.6534,9.88813,6.03352,6.07227
0.057,0.01,18.6525,9.88783,6.03157,6.0722
0.059,0.01,18.6516,9.88754,6.02956,6.07213
0.061,0.01,18.6508,9.88724,6.02752,6.07205
0.063,0.01,18.6499,9.88694,6.02543,6.07198
0.065,0.01,18.649,9.88665,6.0233,6.07191
0.067,0.01,18.6481,9.88635,6.02113,6.07183
0.069,0.01,18.6472,9.88606,6.06904,6.07176
0.071,0.01,18.6463,9.88576,6.0668,6.07169
0.073,0.01,18.6454,9.88546,6.06452,6.07161
0.075,0.01,18.6445,9.88517,6.06278,6.07154
0.077,0.01,18.6435,9.88487,6.06264,6.07147
0.079,0.01,18.6426,9.88458,6.06249,6.07139
0.081,0.01,18.6417,9.88428,6.05565,6.07132
0.083,0.01,18.6408,9.88399,6.05508,6.07125
0.085,0.01,18.6399,9.88369,6.05449,6.07117
0.087,0.01,18.639,9.88339,6.05388,6.0711
0.089,0.01,18.6381,9.8831,6.05325,6.07103
0.091,0.01,18.6372,9.8828,6.0526,6.07095
0.093,0.01,18.6363,9.88251,6.05193,6.07088
0.095,0.01,18.6354,9.88221,6.05125,6.0708
0.097,0.01,18.6345,9.88192,6.05054,6.07073
0.099,0.01,18.6336,9.88162,6.04981,6.07066
0.101,0.01,18.6327,9.88133,6.04907,6.07058
0.103,0.01,18.6318,9.88103,6.04831,6.07051
0.105,0.01,18.6309,9.88074,6.04752,6.07044
0.107,0.01,18.63,9.88044,6.04672,6.07036
0.109,0.01,18.6291,9.88015,6.0459,6.07029
0.111,0.01,18.6282,9.87985,6.04505,6.07022
0.113,0.01,18.6273,9.87956,6.04419,6.07014
0.115,0.01,18.6264,9.87926,6.04331,6.07007
0.117,0.01,18.6255,9.87897,6.04241,6.07
0.119,0.01,18.6246,9.87867,6.04148,6.06992
0.121,0.01,18.6237,9.87838,6.04054,6.06985
0.123,0.01,18.6228,9.87808,6.03958,6.06978
0.125,0.01,18.6219,9.87779,6.0386,6.0697
0.127,0.01,18.621,9.87749,6.0376,6.06963
0.129,0.01,18.6201,9.8772,6.03658,6.06956
0.131,0.01,18.6192,9.8769,6.03554,6.06948
0.133,0.01,18.6183,9.8766,6.03448,6.06941
0.135,0.01,18.6174,9.87631,6.0334,6.06934
0.137,0.01,18.6165,9.87601,6.0323,6.06926
0.139,0.01,18.6156,9.87572,6.03118,6.06919
0.141,0.01,18.6147,9.87542,6.03005,6.06912
0.143,0.01,18.6138,9.87512,6.02889,6.06904
0.145,0.01,18.6129,9.87482,6.02771,6.06897
0.147,0.01,18.612,9.87452,6.02652,6.0689
0.149,0.01,18.6111,9.87422,6.0253,6.06883
0.151,0.01,18.6102,9.87392,6.02407,6.06875
0.153,0.01,18.6094,9.87362,6.02282,6.06868
0.155,0.01,18.6085,9.87332,6.02154,6.06861
0.157,0.01,18.6076,9.87303,6.02025,6.06853
0.159,0.01,18.6067,9.87273,6.01894,6.06846
0.161,0.01,18.6058,9.87243,6.01761,6.06839
0.163,0.01,18.6049,9.87213,6.06641,6.06832
0.165,0.01,18.604,9.87183,6.06503,6.06824
0.167,0.01,18.6031,9.87154,6.06365,6.06817
0.169,0.01,18.6022,9.87124,6.06224,6.0681
0.171,0.01,18.6013,9.87094,6.06082,6.06802
0.173,0.01,18.6004,9.87064,6.06074,6.06795
0.175,0.01,18.5995,9.87035,6.05896,6.06787
0.177,0.01,18.5986,9.87005,6.0588,6.0678
0.179,0.01,18.5977,9.86975,6.05863,6.06773
0.181,0.01,18.5968,9.86945,6.05846,6.06765
0.183,0.01,18.5959,9.86915,6.05828,6.06758
0.185,0.01,18.595,9.86886,6.05811,6.06751
0.187,0.01,18.5941,9.86856,6.05792,6.06743
0.189,0.01,18.5932,9.86826,6.05774,6.06736
0.191,0.01,18.5923,9.86796,6.04578,6.06729
0.193,0.01,18.5914,9.86767,6.04522,6.06721
0.195,0.01,18.5905,9.86737,6.04464,6.06714
0.197,0.01,18.5896,9.86707,6.04406,6.06707
0.199,0.01,18.5887,9.86677,6.04347,6.06699
0.201,0.01,18.5878,9.86647,6.04286,6.06692
0.203,0.01,18.5869,9.86618,6.04225,6.06685
0.205,0.01,18.586,9.86588,6.04163,6.06677
0.207,0.01,18.5851,9.86558,6.04099,6.0667
0.209,0.01,18.5842,9.86528,6.04034,6.06663
0.211,0.01,18.5833,9.86498,6.03969,6.06655
0.213,0.01,18.5824,9.86468,6.03902,6.06648
0.215,0.01,18.5815,9.86438,6.03834,6.06641
0.217,0.01,18.5806,9.86409,6.03765,6.06633
0.219,0.01,18.5797,9.86379,6.03695,6.06626
0.221,0.01,18.5788,9.86349,6.03624,6.06619
0.223,0.01,18.5779,9.86319,6.03551,6.06611
0.225,0.01,18.577,9.86289,6.03478,6.06604
0.227,0.01,18.5761,9.86259,6.03403,6.06597
0.229,0.01,18.5752,9.86229,6.03328,6.0659
0.231,0.01,18.5743,9.86199,6.03251,6.06582
0.233,0.01,18.5734,9.8617,6.03173,6.06575
0.235,0.01,18.5725,9.8614,6.03094,6.06568
0.237,0.01,18.5716,9.8611,6.03014,6.0656
0.239,0.01,18.5707,9.86081,6.02933,6.06553
0.241,0.01,18.5698,9.86051,6.0285,6.06546
0.243,0.01,18.569,9.86021,6.02767,6.06538
0.245,0.01,18.5681,9.85991,6.02682,6.06531
0.247,0.01,18.5672,9.85962,6.02596,6.06524
0.249,0.01,18.5663,9.85932,6.0251,6.06517
0.251,0.01,18.5654,9.85902,6.02422,6.06509
0.253,0.01,18.5645,9.85872,6.02332,6.06502
0.255,0.01,18.5636,9.85842,6.02242,6.06495
0.257,0.01,18.5627,9.85812,6.02151,6.06487
0.259,0.01,18.5618,9.85783,6.02058,6.0648
0.261,0.01,18.5609,9.85753,6.01964,6.06473
0.263,0.01,18.56,9.85723,6.0187,6.06465
0.265,0.01,18.5591,9.85694,6.01774,6.06458
0.267,0.01,18.5582,9.85664,6.01676,6.06451
0.269,0.01,18.5573,9.85634,6.01578,6.06444
0.271,0.01,18.5564,9.85604,6.01479,6.06436
0.273,0.01,18.5556,9.85575,6.01378,6.06429
0.275,0.01,18.5547,9.85545,6.0629,6.06422
0.277,0.01,18.5538,9.85515,6.06188,6.06414
0.279,0.01,18.5528,9.85485,6.06084,6.06407
0.281,0.01,18.5519,9.85456,6.05977,6.064
0.283,0.01,18.551,9.85426,6.05872,6.06392
0.285,0.01,18.5501,9.85396,6.05819,6.06385
0.287,0.01,18.5492,9.85366,6.05753,6.06377
0.289,0.01,18.5483,9.85337,6.05744,6.0637
0.291,0.01,18.5474,9.85307,6.0545,6.06363
0.293,0.01,18.5465,9.85277,6.05432,6.06355
0.295,0.01,18.5456,9.85248,6.05414,6.06348
0.297,0.01,18.5447,9.85218,6.05395,6.06341
0.299,0.01,18.5438,9.85188,6.05377,6.06333
0.301,0.01,18.5429,9.85158,6.05357,6.06326
0.303,0.01,18.542,9.85129,6.05338,6.06318
0.305,0.01,18.5411,9.85099,6.05318,6.06311
0.307,0.01,18.5402,9.85069,6.05298,6.06304
0.309,0.01,18.5393,9.85039,6.05278,6.06296
0.311,0.01,18.5384,9.8501,6.05257,6.06289
0.313,0.01,18.5375,9.8498,6.05236,6.06282
0.315,0.01,18.5366,9.8495,6.05214,6.06274
0.317,0.01,18.5357,9.8492,6.05193,6.06267
0.319,0.01,18.5348,9.84891,6.05171,6.0626
0.321,0.01,18.5339,9.84861,6.05148,6.06252
0.323,0.01,18.533,9.84831,6.03532,6.06245
0.325,0.01,18.5321,9.84802,6.03476,6.06238
0.327,0.01,18.5312,9.84772,6.0342,6.0623
0.329,0.01,18.5303,9.84743,6.03362,6.06223
0.331,0.01,18.5294,9.84713,6.03304,6.06216
0.333,0.01,18.5286,9.84683,6.03245,6.06208
0.335,0.01,18.5277,9.84653,6.03186,6.06201
0.337,0.01,18.5268,9.84623,6.03125,6.06194
0.339,0.01,18.5259,9.84593,6.03064,6.06186
0.341,0.01,18.525,9.84564,6.03003,6.06179
0.343,0.01,18.5241,9.84534,6.0294,6.06172
0.345,0.01,18.5232,9.84504,6.02877,6.06164
0.347,0.01,18.5223,9.84474,6.02813,6.06157
0.349,0.01,18.5214,9.84445,6.02748,6.0615
0.351,0.01,18.5205,9.84415,6.02682,6.06142
0.353,0.01,18.5196,9.84386,6.02616,6.06135
0.355,0.01,18.5187,9.84356,6.02549,6.06128
0.357,0.01,18.5178,9.84326,6.02481,6.0612
0.359,0.01,18.5169,9.84296,6.02412,6.06113
0.361,0.01,18.516,9.84267,6.02343,6.06106
0.363,0.01,18.5151,9.84237,6.02273,6.06098
0.365,0.01,18.5142,9.84207,6.02202,6.06091
