x,rho,E,F,T,Tr
0.001,0.01,21.2273,7.34684,6.24834,6.2717
0.003,0.01,21.2268,7.34651,6.23874,6.27166
0.005,0.01,21.2262,7.34618,6.23099,6.27161
0.007,0.01,21.2256,7.34585,6.22274,6.27157
0.009,0.01,21.225,7.34552,6.26718,6.27153
0.011,0.01,21.2244,7.34519,6.26711,6.27148
0.013,0.01,21.2238,7.34486,6.26561,6.27144
0.015,0.01,21.2232,7.34452,6.26555,6.2714
0.017,0.01,21.2226,7.34419,6.2655,6.27135
0.019,0.01,21.222,7.34386,6.26398,6.27131
0.021,0.01,21.2215,7.34353,6.26391,6.27127
0.023,0.01,21.2209,7.3432,6.25948,6.27122
0.025,0.01,21.2203,7.34287,6.25941,6.27118
0.027,0.01,21.2197,7.34254,6.25787,6.27114
0.029,0.01,21.2191,7.34221,6.2578,6.27109
0.031,0.01,21.2185,7.34188,6.25626,6.27105
0.033,0.01,21.2179,7.34154,6.25478,6.27101
0.035,0.01,21.2173,7.34121,6.25471,6.27096
0.037,0.01,21.2168,7.34087,6.25183,6.27092
0.039,0.01,21.2162,7.34054,6.25011,6.27088
0.041,0.01,21.2156,7.3402,6.24867,6.27083
0.043,0.01,21.215,7.33987,6.24701,6.27079
0.045,0.01,21.2144,7.33953,6.24514,6.27075
0.047,0.01,21.2138,7.3392,6.24507,6.2707
0.049,0.01,21.2133,7.33886,6.24194,6.27066
0.051,0.01,21.2127,7.33853,6.24076,6.27062
0.053,0.01,21.2121,7.3382,6.23955,6.27057
0.055,0.01,21.2115,7.33787,6.23712,6.27053
0.057,0.01,21.2109,7.33754,6.23582,6.27049
0.059,0.01,21.2103,7.3372,6.23194,6.27044
0.061,0.01,21.2098,7.33686,6.23056,6.2704
0.063,0.01,21.2092,7.33652,6.22917,6.27036
0.065,0.01,21.2086,7.33619,6.22776,6.27032
0.067,0.01,21.208,7.33585,6.22499,6.27027
0.069,0.01,21.2074,7.33552,6.22216,6.27023
0.071,0.01,21.2069,7.33518,6.22069,6.27019
0.073,0.01,21.2063,7.33486,6.26655,6.27014
0.075,0.01,21.2057,7.33453,6.26648,6.2701
