x,rho,E,F,T,Tr
0.001,0.01,18.6772,9.89668,6.04346,6.07421
0.003,0.01,18.6763,9.89639,6.03528,6.07413
0.005,0.01,18.6754,9.89609,6.02715,6.07406
0.007,0.01,18.6745,9.8958,6.0692,6.07399
0.009,0.01,18.6736,9.8955,6.06375,6.07391
0.011,0.01,18.6727,9.89521,6.06313,6.07384
0.013,0.01,18.6718,9.89491,6.06243,6.07377
0.015,0.01,18.6709,9.89462,6.06167,6.07369
0.017,0.01,18.67,9.89432,6.06083,6.07362
0.019,0.01,18.6691,9.89403,6.05993,6.07355
0.021,0.01,18.6682,9.89373,6.05896,6.07347
0.023,0.01,18.6673,9.89344,6.05792,6.0734
0.025,0.01,18.6664,9.89314,6.05683,6.07332
0.027,0.01,18.6655,9.89285,6.05566,6.07325
0.029,0.01,18.6646,9.89255,6.05444,6.07318
0.031,0.01,18.6637,9.89226,6.05316,6.0731
0.033,0.01,18.6628,9.89196,6.05182,6.07303
0.035,0.01,18.6619,9.89166,6.05042,6.07296
0.037,0.01,18.661,9.89137,6.04897,6.07288
0.039,0.01,18.6601,9.89107,6.04746,6.07281
0.041,0.01,18.6592,9.89078,6.04589,6.07274
0.043,0.01,18.6583,9.89048,6.04428,6.07266
0.045,0.01,18.6574,9.89019,6.04261,6.07259
0.047,0.01,18.6565,9.88989,6.04089,6.07252
0.049,0.01,18.6556,9.8896,6.03912,6.07244
0.051,0.01,18.6547,9.8893,6.0373,6.07237
0.053,0.01,18.6538,9.88901,6.03544,6.0723
0.055,0.01,18.6529,9.88871,6.03352,6.07222
0.057,0.01,18.652,9.88842,6.03157,6.07215
0.059,0.01,18.6511,9.88812,6.02956,6.07208
0.061,0.01,18.6502,9.88783,6.02752,6.07201
0.063,0.01,18.6493,9.88753,6.02543,6.07193
0.065,0.01,18.6484,9.88723,6.0233,6.07186
0.067,0.01,18.6475,9.88694,6.02113,6.07179
0.069,0.01,18.6466,9.88664,6.06904,6.07171
0.071,0.01,18.6457,9.88634,6.0668,6.07164
0.073,0.01,18.6448,9.88605,6.06452,6.07157
0.075,0.01,18.6439,9.88575,6.06278,6.07149
0.077,0.01,18.643,9.88545,6.06264,6.07142
0.079,0.01,18.6421,9.88516,6.06249,6.07135
0.081,0.01,18.6412,9.88486,6.05565,6.07127
0.083,0.01,18.6403,9.88457,6.05508,6.0712
0.085,0.01,18.6393,9.88427,6.05449,6.07112
0.087,0.01,18.6384,9.88398,6.05388,6.07105
0.089,0.01,18.6375,9.88368,6.05325,6.07098
0.091,0.01,18.6366,9.88339,6.0526,6.0709
0.093,0.01,18.6357,9.88309,6.05193,6.07083
0.095,0.01,18.6348,9.8828,6.05125,6.07076
0.097,0.01,18.6339,9.8825,6.05054,6.07068
0.099,0.01,18.633,9.8822,6.04981,6.07061
0.101,0.01,18.6321,9.88191,6.04907,6.07054
0.103,0.01,18.6312,9.88161,6.04831,6.07046
0.105,0.01,18.6303,9.88132,6.04752,6.07039
0.107,0.01,18.6294,9.88102,6.04672,6.07032
0.109,0.01,18.6285,9.88073,6.0459,6.07024
0.111,0.01,18.6276,9.88043,6.04505,6.07017
0.113,0.01,18.6267,9.88014,6.04419,6.0701
0.115,0.01,18.6258,9.87984,6.04331,6.07002
0.117,0.01,18.6249,9.87955,6.04241,6.06995
0.119,0.01,18.624,9.87925,6.04148,6.06988
0.121,0.01,18.6231,9.87896,6.04054,6.0698
0.123,0.01,18.6222,9.87866,6.03958,6.06973
0.125,0.01,18.6213,9.87837,6.0386,6.06966
0.127,0.01,18.6204,9.87807,6.0376,6.06958
0.129,0.01,18.6195,9.87778,6.03658,6.06951
0.131,0.01,18.6186,9.87748,6.03554,6.06944
0.133,0.01,18.6177,9.87718,6.03448,6.06936
0.135,0.01,18.6168,9.87689,6.0334,6.06929
0.137,0.01,18.6159,9.87659,6.0323,6.06922
0.139,0.01,18.615,9.8763,6.03118,6.06914
0.141,0.01,18.6141,9.876,6.03005,6.06907
0.143,0.01,18.6132,9.87571,6.02889,6.069
0.145,0.01,18.6123,9.87541,6.02771,6.06892
0.147,0.01,18.6114,9.87511,6.02652,6.06885
0.149,0.01,18.6105,9.87481,6.0253,6.06878
0.151,0.01,18.6097,9.87451,6.02407,6.06871
0.153,0.01,18.6088,9.87421,6.02282,6.06863
0.155,0.01,18.6079,9.87391,6.02154,6.06856
0.157,0.01,18.607,9.87361,6.02025,6.06849
0.159,0.01,18.6061,9.87331,6.01894,6.06841
0.161,0.01,18.6052,9.87301,6.01761,6.06834
0.163,0.01,18.6043,9.87272,6.06641,6.06827
0.165,0.01,18.6034,9.87242,6.06503,6.06819
0.167,0.01,18.6025,9.87212,6.06365,6.06812
0.169,0.01,18.6016,9.87182,6.06224,6.06805
0.171,0.01,18.6007,9.87152,6.06082,6.06797
0.173,0.01,18.5998,9.87123,6.06074,6.0679
0.175,0.01,18.5989,9.87093,6.05896,6.06783
0.177,0.01,18.598,9.87063,6.0588,6.06775
0.179,0.01,18.5971,9.87033,6.05863,6.06768
0.181,0.01,18.5962,9.87004,6.05846,6.06761
0.183,0.01,18.5953,9.86974,6.05828,6.06753
0.185,0.01,18.5944,9.86944,6.05811,6.06746
0.187,0.01,18.5935,9.86914,6.05792,6.06739
0.189,0.01,18.5926,9.86884,6.05774,6.06731
0.191,0.01,18.5917,9.86855,6.04578,6.06724
0.193,0.01,18.5908,9.86825,6.04522,6.06717
0.195,0.01,18.5899,9.86795,6.04464,6.06709
0.197,0.01,18.589,9.86765,6.04406,6.06702
0.199,0.01,18.5881,9.86735,6.04347,6.06695
0.201,0.01,18.5872,9.86706,6.04286,6.06687
0.203,0.01,18.5863,9.86676,6.04225,6.0668
0.205,0.01,18.5854,9.86646,6.04163,6.06673
0.207,0.01,18.5845,9.86616,6.04099,6.06665
0.209,0.01,18.5836,9.86586,6.04034,6.06658
0.211,0.01,18.5827,9.86556,6.03969,6.06651
0.213,0.01,18.5818,9.86527,6.03902,6.06643
0.215,0.01,18.5809,9.86497,6.03834,6.06636
0.217,0.01,18.58,9.86467,6.03765,6.06629
0.219,0.01,18.5791,9.86437,6.03695,6.06621
0.221,0.01,18.5782,9.86407,6.03624,6.06614
0.223,0.01,18.5773,9.86377,6.03551,6.06607
0.225,0.01,18.5764,9.86348,6.03478,6.06599
0.227,0.01,18.5755,9.86318,6.03403,6.06592
0.229,0.01,18.5746,9.86288,6.03328,6.06585
0.231,0.01,18.5737,9.86258,6.03251,6.06577
0.233,0.01,18.5728,9.86228,6.03173,6.0657
0.235,0.01,18.5719,9.86198,6.03094,6.06563
0.237,0.01,18.571,9.86169,6.03014,6.06556
0.239,0.01,18.5702,9.86139,6.02933,6.06548
0.241,0.01,18.5693,9.86109,6.0285,6.06541
0.243,0.01,18.5684,9.86079,6.02767,6.06534
0.245,0.01,18.5675,9.86049,6.02682,6.06526
0.247,0.01,18.5666,9.8602,6.02596,6.06519
0.249,0.01,18.5657,9.8599,6.0251,6.06512
0.251,0.01,18.5648,9.8596,6.02422,6.06504
0.253,0.01,18.5639,9.8593,6.02332,6.06497
0.255,0.01,18.563,9.859,6.02242,6.0649
0.257,0.01,18.5621,9.8587,6.02151,6.06482
0.259,0.01,18.5612,9.85841,6.02058,6.06475
0.261,0.01,18.5603,9.85811,6.01964,6.06468
0.263,0.01,18.5594,9.85782,6.0187,6.06461
0.265,0.01,18.5585,9.85752,6.01774,6.06453
0.267,0.01,18.5576,9.85722,6.01676,6.06446
0.269,0.01,18.5567,9.85692,6.01578,6.06439
0.271,0.01,18.5559,9.85663,6.01479,6.06431
0.273,0.01,18.555,9.85633,6.01378,6.06424
0.275,0.01,18.5541,9.85603,6.0629,6.06417
0.277,0.01,18.5532,9.85573,6.06188,6.06409
0.279,0.01,18.5523,9.85543,6.06084,6.06402
0.281,0.01,18.5514,9.85513,6.05977,6.06395
0.283,0.01,18.5505,9.85484,6.05872,6.06387
0.285,0.01,18.5496,9.85454,6.05819,6.0638
0.287,0.01,18.5487,9.85424,6.05753,6.06373
0.289,0.01,18.5478,9.85395,6.05744,6.06365
0.291,0.01,18.5469,9.85365,6.0545,6.06358
0.293,0.01,18.5459,9.85335,6.05432,6.06351
0.295,0.01,18.545,9.85305,6.05414,6.06343
0.297,0.01,18.5441,9.85276,6.05395,6.06336
0.299,0.01,18.5432,9.85246,6.05377,6.06328
0.301,0.01,18.5423,9.85216,6.05357,6.06321
0.303,0.01,18.5414,9.85186,6.05338,6.06314
0.305,0.01,18.5405,9.85157,6.05318,6.06306
0.307,0.01,18.5396,9.85127,6.05298,6.06299
0.309,0.01,18.5387,9.85097,6.05278,6.06292
0.311,0.01,18.5378,9.85067,6.05257,6.06284
0.313,0.01,18.5369,9.85038,6.05236,6.06277
0.315,0.01,18.536,9.85008,6.05214,6.0627
0.317,0.01,18.5351,9.84978,6.05193,6.06262
0.319,0.01,18.5342,9.84948,6.05171,6.06255
0.321,0.01,18.5333,9.84919,6.05148,6.06247
0.323,0.01,18.5324,9.84889,6.03532,6.0624
0.325,0.01,18.5315,9.8486,6.03476,6.06233
0.327,0.01,18.5307,9.8483,6.0342,6.06225
0.329,0.01,18.5298,9.848,6.03362,6.06218
0.331,0.01,18.5289,9.84771,6.03304,6.06211
0.333,0.01,18.528,9.84741,6.03245,6.06203
0.335,0.01,18.5271,9.84711,6.03186,6.06196
0.337,0.01,18.5262,9.84681,6.03125,6.06189
0.339,0.01,18.5253,9.84651,6.03064,6.06181
0.341,0.01,18.5244,9.84621,6.03003,6.06174
0.343,0.01,18.5235,9.84592,6.0294,6.06167
0.345,0.01,18.5226,9.84562,6.02877,6.06159
0.347,0.01,18.5217,9.84532,6.02813,6.06152
0.349,0.01,18.5208,9.84503,6.02748,6.06145
0.351,0.01,18.5199,9.84473,6.02682,6.06138
0.353,0.01,18.519,9.84443,6.02616,6.0613
0.355,0.01,18.5181,9.84414,6.02549,6.06123
0.357,0.01,18.5172,9.84384,6.02481,6.06116
0.359,0.01,18.5163,9.84354,6.02412,6.06108
0.361,0.01,18.5154,9.84324,6.02343,6.06101
0.363,0.01,18.5145,9.84295,6.02273,6.06094
0.365,0.01,18.5136,9.84265,6.02202,6.06086
0.367,0.01,18.5127,9.84235,6.0213,6.06079
0.369,0.01,18.5119,9.84206,6.02058,6.06072
0.371,0.01,18.511,9.84176,6.01985,6.06064
0.373,0.01,18.5101,9.84146,6.01911,6.06057
0.375,0.01,18.5092,9.84117,6.01836,6.0605
0.377,0.01,18.5083,9.84087,6.0176,6.06042
0.379,0.01,18.5074,9.84057,6.01684,6.06035
0.381,0.01,18.5065,9.84027,6.01607,6.06028
0.383,0.01,18.5056,9.83998,6.01529,6.0602
0.385,0.01,18.5047,9.83968,6.0145,6.06013
0.387,0.01,18.5038,9.83938,6.01371,6.06006
0.389,0.01,18.5029,9.83908,6.0129,6.05999
0.391,0.01,18.502,9.83879,6.01209,6.05991
0.393,0.01,18.5011,9.83849,6.01127,6.05984
0.395,0.01,18.5002,9.83819,6.01045,6.05977
0.397,0.01,18.4994,9.83789,6.00961,6.05969
0.399,0.01,18.4985,9.83759,6.05891,6.05962
0.401,0.01,18.4976,9.8373,6.05806,6.05955
0.403,0.01,18.4967,9.83701,6.05719,6.05947
0.405,0.01,18.4958,9.83671,6.05633,6.0594
0.407,0.01,18.4949,9.83641,6.05545,6.05933
0.409,0.01,18.494,9.83611,6.05501,6.05925
0.411,0.01,18.4931,9.83581,6.05396,6.05918
0.413,0.01,18.4922,9.83551,6.05386,6.05911
0.415,0.01,18.4913,9.83521,6.05376,6.05903
0.417,0.01,18.4904,9.83491,6.05366,6.05896
0.419,0.01,18.4895,9.83461,6.05356,6.05888
0.421,0.01,18.4886,9.83431,6.04942,6.05881
0.423,0.01,18.4877,9.83401,6.04922,6.05874
0.425,0.01,18.4868,9.83371,6.04903,6.05866
0.427,0.01,18.4859,9.83341,6.04883,6.05859
0.429,0.01,18.485,9.83311,6.04863,6.05852
0.431,0.01,18.4841,9.83281,6.04842,6.05844
0.433,0.01,18.4832,9.83251,6.04821,6.05837
0.435,0.01,18.4823,9.83221,6.048,6.0583
0.437,0.01,18.4814,9.83191,6.04779,6.05822
0.439,0.01,18.4805,9.8316,6.04757,6.05815
0.441,0.01,18.4796,9.8313,6.04736,6.05808
0.443,0.01,18.4787,9.831,6.04714,6.058
0.445,0.01,18.4778,9.8307,6.04691,6.05793
0.447,0.01,18.4769,9.8304,6.04669,6.05786
0.449,0.01,18.476,9.8301,6.04646,6.05778
0.451,0.01,18.4751,9.8298,6.04622,6.05771
0.453,0.01,18.4742,9.8295,6.04599,6.05764
0.455,0.01,18.4734,9.8292,6.04575,6.05756
0.457,0.01,18.4725,9.8289,6.04551,6.05749
0.459,0.01,18.4716,9.8286,6.04527,6.05742
0.461,0.01,18.4707,9.8283,6.04502,6.05734
0.463,0.01,18.4698,9.828,6.04477,6.05727
0.465,0.01,18.4689,9.8277,6.04452,6.05719
0.467,0.01,18.468,9.82741,6.04426,6.05712
0.469,0.01,18.4671,9.82711,6.0247,6.05705
0.471,0.01,18.4662,9.82681,6.02414,6.05698
0.473,0.01,18.4653,9.82651,6.02358,6.0569
0.475,0.01,18.4644,9.82621,6.02301,6.05683
0.477,0.01,18.4635,9.82591,6.02243,6.05676
0.479,0.01,18.4626,9.82561,6.02185,6.05668
0.481,0.01,18.4617,9.82531,6.02127,6.05661
0.483,0.01,18.4608,9.82501,6.02067,6.05654
