x,rho,E,F,T,Tr
0.001,0.01,18.7244,9.8495,6.04346,6.07804
0.003,0.01,18.7235,9.84921,6.03528,6.07797
0.005,0.01,18.7226,9.84892,6.02715,6.07789
0.007,0.01,18.7217,9.84863,6.0692,6.07782
0.009,0.01,18.7208,9.84834,6.06375,6.07775
0.011,0.01,18.7199,9.84804,6.06313,6.07767
0.013,0.01,18.719,9.84775,6.06243,6.0776
0.015,0.01,18.7181,9.84746,6.06167,6.07753
0.017,0.01,18.7172,9.84717,6.06083,6.07745
0.019,0.01,18.7163,9.84687,6.05993,6.07738
0.021,0.01,18.7154,9.84658,6.05896,6.07731
0.023,0.01,18.7145,9.84629,6.05792,6.07724
0.025,0.01,18.7136,9.846,6.05683,6.07716
0.027,0.01,18.7127,9.84571,6.05566,6.07709
0.029,0.01,18.7118,9.84541,6.05444,6.07702
0.031,0.01,18.7109,9.84512,6.05316,6.07694
0.033,0.01,18.71,9.84483,6.05182,6.07687
0.035,0.01,18.7091,9.84454,6.05042,6.0768
0.037,0.01,18.7082,9.84425,6.04897,6.07672
0.039,0.01,18.7073,9.84395,6.04746,6.07665
0.041,0.01,18.7064,9.84366,6.04589,6.07658
0.043,0.01,18.7055,9.84337,6.04428,6.0765
0.045,0.01,18.7046,9.84308,6.04261,6.07643
0.047,0.01,18.7037,9.84279,6.04089,6.07636
0.049,0.01,18.7028,9.8425,6.03912,6.07629
0.051,0.01,18.7019,9.8422,6.0373,6.07621
0.053,0.01,18.701,9.84191,6.03544,6.07614
0.055,0.01,18.7001,9.84162,6.03352,6.07607
0.057,0.01,18.6992,9.84132,6.03157,6.07599
0.059,0.01,18.6983,9.84103,6.02956,6.07592
0.061,0.01,18.6974,9.84074,6.02752,6.07585
0.063,0.01,18.6965,9.84044,6.02543,6.07578
0.065,0.01,18.6956,9.84015,6.07344,6.0757
0.067,0.01,18.6947,9.83986,6.07127,6.07563
0.069,0.01,18.6938,9.83957,6.06904,6.07556
0.071,0.01,18.6929,9.83928,6.0668,6.07548
0.073,0.01,18.692,9.83898,6.06452,6.07541
0.075,0.01,18.6911,9.83869,6.06278,6.07534
0.077,0.01,18.6902,9.8384,6.06264,6.07526
0.079,0.01,18.6893,9.83811,6.06249,6.07519
0.081,0.01,18.6884,9.83781,6.05565,6.07512
0.083,0.01,18.6875,9.83752,6.05508,6.07504
0.085,0.01,18.6866,9.83723,6.05449,6.07497
0.087,0.01,18.6857,9.83693,6.05388,6.0749
0.089,0.01,18.6848,9.83664,6.05325,6.07482
0.091,0.01,18.6839,9.83634,6.0526,6.07475
0.093,0.01,18.683,9.83605,6.05193,6.07468
0.095,0.01,18.6821,9.83575,6.05125,6.07461
0.097,0.01,18.6812,9.83546,6.05054,6.07453
0.099,0.01,18.6803,9.83516,6.04981,6.07446
0.101,0.01,18.6794,9.83487,6.04907,6.07439
0.103,0.01,18.6785,9.83458,6.04831,6.07431
0.105,0.01,18.6776,9.83428,6.04752,6.07424
0.107,0.01,18.6767,9.83399,6.04672,6.07417
0.109,0.01,18.6758,9.83369,6.0459,6.07409
0.111,0.01,18.675,9.8334,6.04505,6.07402
0.113,0.01,18.6741,9.8331,6.04419,6.07395
0.115,0.01,18.6732,9.83281,6.04331,6.07388
0.117,0.01,18.6723,9.83251,6.04241,6.0738
0.119,0.01,18.6714,9.83221,6.04148,6.07373
0.121,0.01,18.6705,9.83192,6.04054,6.07366
0.123,0.01,18.6696,9.83163,6.03958,6.07359
0.125,0.01,18.6687,9.83133,6.0386,6.07351
0.127,0.01,18.6678,9.83104,6.0376,6.07344
0.129,0.01,18.6669,9.83074,6.03658,6.07337
0.131,0.01,18.666,9.83044,6.03554,6.07329
0.133,0.01,18.6651,9.83015,6.03448,6.07322
0.135,0.01,18.6642,9.82985,6.0334,6.07315
0.137,0.01,18.6633,9.82956,6.0323,6.07308
0.139,0.01,18.6624,9.82926,6.03118,6.073
0.141,0.01,18.6615,9.82897,6.03005,6.07293
0.143,0.01,18.6606,9.82867,6.02889,6.07286
0.145,0.01,18.6598,9.82838,6.02771,6.07279
0.147,0.01,18.6589,9.82808,6.02652,6.07271
0.149,0.01,18.658,9.82779,6.0253,6.07264
0.151,0.01,18.6571,9.82749,6.02407,6.07257
0.153,0.01,18.6562,9.8272,6.02282,6.0725
0.155,0.01,18.6553,9.8269,6.07167,6.07242
0.157,0.01,18.6544,9.82661,6.07038,6.07235
0.159,0.01,18.6535,9.82631,6.06907,6.07228
0.161,0.01,18.6526,9.82602,6.06775,6.0722
0.163,0.01,18.6517,9.82573,6.06641,6.07213
0.165,0.01,18.6508,9.82543,6.06503,6.07206
0.167,0.01,18.6499,9.82514,6.06365,6.07198
0.169,0.01,18.649,9.82484,6.06224,6.07191
0.171,0.01,18.6481,9.82455,6.06082,6.07184
0.173,0.01,18.6472,9.82425,6.06074,6.07176
0.175,0.01,18.6463,9.82396,6.05896,6.07169
0.177,0.01,18.6454,9.82366,6.0588,6.07162
0.179,0.01,18.6445,9.82337,6.05863,6.07154
0.181,0.01,18.6436,9.82307,6.05846,6.07147
0.183,0.01,18.6427,9.82278,6.05828,6.0714
0.185,0.01,18.6418,9.82248,6.05811,6.07132
0.187,0.01,18.6409,9.82219,6.05792,6.07125
0.189,0.01,18.64,9.82189,6.05774,6.07118
0.191,0.01,18.6391,9.8216,6.04578,6.07111
0.193,0.01,18.6382,9.82131,6.04522,6.07103
0.195,0.01,18.6373,9.82101,6.04464,6.07096
0.197,0.01,18.6364,9.82072,6.04406,6.07089
0.199,0.01,18.6355,9.82042,6.04347,6.07081
0.201,0.01,18.6346,9.82013,6.04286,6.07074
0.203,0.01,18.6337,9.81983,6.04225,6.07067
0.205,0.01,18.6329,9.81953,6.04163,6.0706
0.207,0.01,18.632,9.81924,6.04099,6.07052
