x,rho,E,F,T,Tr
0.005,0.01,25.7682,2.80523,6.55937,6.58313
0.015,0.01,25.7702,2.80134,6.55926,6.58326
0.025,0.01,25.772,2.79772,6.55915,6.58337
0.035,0.01,25.7735,2.79433,6.55904,6.58347
0.045,0.01,25.7749,2.79116,6.55892,6.58356
0.055,0.01,25.776,2.78819,6.56507,6.58363
0.065,0.01,25.7769,2.78539,6.56495,6.58369
0.075,0.01,25.7777,2.78275,6.56482,6.58374
0.085,0.01,25.7784,2.78025,6.56469,6.58378
0.095,0.01,25.7789,2.77789,6.56456,6.58381
0.105,0.01,25.7793,2.77566,6.56442,6.58384
0.115,0.01,25.7796,2.77352,6.56427,6.58386
0.125,0.01,25.7797,2.77149,6.56412,6.58387
0.135,0.01,25.7798,2.76955,6.56395,6.58387
0.145,0.01,25.7798,2.76769,6.56377,6.58387
0.155,0.01,25.7797,2.7659,6.56358,6.58387
0.165,0.01,25.7796,2.76418,6.56337,6.58386
0.175,0.01,25.7794,2.76252,6.55677,6.58384
0.185,0.01,25.7791,2.76092,6.55655,6.58383
0.195,0.01,25.7788,2.75936,6.55631,6.58381
0.205,0.01,25.7784,2.75785,6.55608,6.58378
0.215,0.01,25.778,2.75637,6.55585,6.58375
0.225,0.01,25.7775,2.75493,6.55562,6.58372
0.235,0.01,25.777,2.75352,6.55539,6.58369
0.245,0.01,25.7764,2.75214,6.55516,6.58366
0.255,0.01,25.7759,2.75078,6.55493,6.58362
0.265,0.01,25.7753,2.74945,6.5547,6.58358
0.275,0.01,25.7746,2.74813,6.55447,6.58354
0.285,0.01,25.774,2.74683,6.55424,6.5835
0.295,0.01,25.7733,2.74553,6.55401,6.58346
0.305,0.01,25.7726,2.74425,6.55378,6.58341
0.315,0.01,25.7718,2.74297,6.55355,6.58336
0.325,0.01,25.7711,2.7417,6.55331,6.58331
0.335,0.01,25.7703,2.74044,6.55308,6.58326
0.345,0.01,25.7694,2.73918,6.55285,6.58321
0.355,0.01,25.7686,2.73791,6.56503,6.58316
0.365,0.01,25.7677,2.73664,6.56479,6.5831
0.375,0.01,25.7669,2.73536,6.56455,6.58304
0.385,0.01,25.7659,2.73407,6.56432,6.58299
0.395,0.01,25.765,2.73278,6.56408,6.58293
0.405,0.01,25.764,2.73147,6.56384,6.58286
0.415,0.01,25.763,2.73015,6.5636,6.5828
0.425,0.01,25.762,2.7288,6.56336,6.58274
0.435,0.01,25.761,2.72744,6.56313,6.58267
0.445,0.01,25.7599,2.72606,6.56289,6.5826
0.455,0.01,25.7588,2.72465,6.56265,6.58253
0.465,0.01,25.7576,2.7232,6.56241,6.58245
0.475,0.01,25.7564,2.72173,6.56217,6.58238
0.485,0.01,25.7551,2.72022,6.56194,6.5823
0.495,0.01,25.7539,2.71866,6.5617,6.58221
0.505,0.01,25.7525,2.71706,6.56146,6.58213
0.515,0.01,25.7511,2.7154,6.56122,6.58204
0.525,0.01,25.7496,2.7137,6.56098,6.58195
0.535,0.01,25.7481,2.71195,6.56074,6.58185
0.545,0.01,25.7466,2.71014,6.56051,6.58175
0.555,0.01,25.745,2.70828,6.56027,6.58165
0.565,0.01,25.7433,2.70638,6.54777,6.58154
0.575,0.01,25.7416,2.70444,6.54754,6.58143
0.585,0.01,25.7399,2.70247,6.54731,6.58132
0.595,0.01,25.7381,2.70049,6.54707,6.58121
0.605,0.01,25.7364,2.6985,6.54684,6.5811
0.615,0.01,25.7346,2.6965,6.54661,6.58098
0.625,0.01,25.7328,2.6945,6.54638,6.58087
0.635,0.01,25.731,2.69248,6.54615,6.58076
0.645,0.01,25.7292,2.69046,6.54592,6.58064
0.655,0.01,25.7275,2.68845,6.54568,6.58053
0.665,0.01,25.7257,2.68644,6.54545,6.58041
0.675,0.01,25.7239,2.68443,6.54522,6.5803
0.685,0.01,25.7221,2.68241,6.54499,6.58019
0.695,0.01,25.7203,2.6804,6.54475,6.58007
0.705,0.01,25.7185,2.67839,6.54452,6.57996
0.715,0.01,25.7167,2.67638,6.54429,6.57984
0.725,0.01,25.715,2.67436,6.54406,6.57973
0.735,0.01,25.7132,2.67235,6.54383,6.57961
0.745,0.01,25.7114,2.67034,6.5436,6.5795
0.755,0.01,25.7096,2.66833,6.54336,6.57939
0.765,0.01,25.7078,2.66632,6.54313,6.57927
0.775,0.01,25.7061,2.66431,6.5429,6.57916
0.785,0.0436831,25.7013,2.66229,6.56869,6.57886
0.795,0.212099,25.6789,2.66028,6.5755,6.57742
0.805,0.717346,25.5976,2.65827,6.57195,6.57221
0.815,1.72784,25.3844,2.65626,6.55835,6.55848
0.825,3.24358,24.9527,2.65427,6.53029,6.53042
0.835,4.96142,24.2449,2.6523,6.48348,6.48361
0.845,6.47716,23.2674,2.65035,6.41711,6.41724
0.855,7.48765,22.0885,2.64844,6.33423,6.33436
0.865,7.9929,20.8004,2.64658,6.23979,6.23992
0.875,8.16132,19.4779,2.64476,6.13814,6.13828
0.885,8.195,18.1621,2.643,6.03174,6.03189
0.895,8.16132,16.8706,2.64129,5.92152,5.92167
0.905,7.9929,15.6196,2.63963,5.80854,5.8087
0.915,7.48765,14.4442,2.63802,5.69604,5.69619
0.925,6.47716,13.4042,2.63646,5.59062,5.59077
0.935,4.96142,12.5673,2.63494,5.50122,5.50138
0.945,3.24358,11.9755,2.63346,5.43528,5.43544
0.955,1.72784,11.6207,2.632,5.39456,5.39473
0.965,0.717346,11.4473,2.63054,5.37432,5.37449
0.975,0.212099,11.3816,2.6291,5.36591,5.36676
0.985,0.0436831,11.3635,2.62766,5.36034,5.36463
0.995,0.01,11.3597,2.62622,5.32806,5.36418
