x,rho,E,F,T,Tr
0.001,0.01,21.1766,7.39758,6.24834,6.26795
0.003,0.01,21.176,7.39723,6.23874,6.26791
0.005,0.01,21.1754,7.39688,6.23099,6.26786
0.007,0.01,21.1749,7.39654,6.22274,6.26782
0.009,0.01,21.1743,7.39619,6.21703,6.26778
0.011,0.01,21.1737,7.39584,6.26711,6.26774
0.013,0.01,21.1731,7.3955,6.26561,6.26769
0.015,0.01,21.1726,7.39516,6.26555,6.26765
0.017,0.01,21.172,7.39481,6.2655,6.26761
0.019,0.01,21.1714,7.39444,6.26398,6.26757
0.021,0.01,21.1709,7.39407,6.26391,6.26753
0.023,0.01,21.1703,7.39369,6.25948,6.26748
0.025,0.01,21.1698,7.39332,6.25941,6.26744
0.027,0.01,21.1692,7.39297,6.25787,6.2674
0.029,0.01,21.1686,7.39262,6.2578,6.26736
0.031,0.01,21.168,7.39227,6.25626,6.26732
0.033,0.01,21.1674,7.39192,6.25478,6.26727
0.035,0.01,21.1669,7.39158,6.25471,6.26723
0.037,0.01,21.1663,7.39123,6.25183,6.26719
0.039,0.01,21.1657,7.39088,6.25011,6.26714
0.041,0.01,21.1651,7.39053,6.24867,6.2671
0.043,0.01,21.1646,7.39019,6.24701,6.26706
0.045,0.01,21.164,7.38984,6.24514,6.26702
0.047,0.01,21.1634,7.38949,6.24507,6.26697
0.049,0.01,21.1628,7.38915,6.24194,6.26693
0.051,0.01,21.1623,7.3888,6.24076,6.26689
0.053,0.01,21.1617,7.38845,6.23955,6.26685
0.055,0.01,21.1611,7.38811,6.23712,6.2668
0.057,0.01,21.1605,7.38776,6.23582,6.26676
0.059,0.01,21.1599,7.38742,6.23194,6.26672
0.061,0.01,21.1594,7.38707,6.23056,6.26667
0.063,0.01,21.1588,7.38672,6.22917,6.26663
0.065,0.01,21.1582,7.38638,6.22776,6.26659
0.067,0.01,21.1576,7.38603,6.22499,6.26655
0.069,0.01,21.1571,7.38569,6.22216,6.2665
0.071,0.01,21.1565,7.38534,6.22069,6.26646
0.073,0.01,21.1559,7.385,6.21639,6.26642
0.075,0.01,21.1553,7.38465,6.21632,6.26638
0.077,0.01,21.1548,7.38431,6.21625,6.26633
0.079,0.01,21.1542,7.38396,6.21619,6.26629
0.081,0.01,21.1536,7.38361,6.25755,6.26625
0.083,0.01,21.153,7.38327,6.25748,6.26621
0.085,0.01,21.1525,7.38292,6.25741,6.26616
0.087,0.01,21.1519,7.38257,6.25585,6.26612
0.089,0.01,21.1513,7.38222,6.25578,6.26608
0.091,0.01,21.1507,7.38187,6.25571,6.26604
0.093,0.01,21.1502,7.38153,6.25416,6.26599
0.095,0.01,21.1496,7.38118,6.25409,6.26595
0.097,0.01,21.149,7.38083,6.25402,6.26591
0.099,0.01,21.1484,7.38049,6.25395,6.26586
0.101,0.01,21.1478,7.38015,6.25239,6.26582
0.103,0.01,21.1473,7.3798,6.25231,6.26578
0.105,0.01,21.1467,7.37946,6.24942,6.26573
0.107,0.01,21.1461,7.37912,6.24935,6.26569
0.109,0.01,21.1455,7.37877,6.24927,6.26565
0.111,0.01,21.1449,7.37843,6.24759,6.26561
0.113,0.01,21.1444,7.37808,6.24752,6.26556
0.115,0.01,21.1438,7.37773,6.2461,6.26552
0.117,0.01,21.1432,7.37739,6.24603,6.26548
0.119,0.01,21.1426,7.37704,6.24439,6.26543
0.121,0.01,21.142,7.37669,6.24432,6.26539
0.123,0.01,21.1415,7.37634,6.24247,6.26535
0.125,0.01,21.1409,7.376,6.2424,6.26531
0.127,0.01,21.1403,7.37565,6.2393,6.26526
0.129,0.01,21.1397,7.37531,6.23923,6.26522
0.131,0.01,21.1392,7.37496,6.23916,6.26518
0.133,0.01,21.1386,7.37462,6.23798,6.26514
0.135,0.01,21.138,7.37428,6.23678,6.26509
0.137,0.01,21.1374,7.37394,6.23671,6.26505
0.139,0.01,21.1369,7.3736,6.23664,6.26501
0.141,0.01,21.1363,7.37325,6.23421,6.26496
0.143,0.01,21.1357,7.3729,6.23292,6.26492
0.145,0.01,21.1351,7.37256,6.22904,6.26488
0.147,0.01,21.1345,7.37221,6.22897,6.26484
0.149,0.01,21.134,7.37187,6.22759,6.26479
0.151,0.01,21.1334,7.37152,6.22752,6.26475
0.153,0.01,21.1328,7.37118,6.22612,6.26471
0.155,0.01,21.1322,7.37083,6.22471,6.26467
0.157,0.01,21.1317,7.37049,6.22464,6.26462
0.159,0.01,21.1311,7.37014,6.22187,6.26458
0.161,0.01,21.1305,7.3698,6.2218,6.26454
