x,rho,E,F,T,Tr
0.001,0.01,21.0613,7.51284,6.24834,6.2594
0.003,0.01,21.0606,7.51265,6.23874,6.25935
0.005,0.01,21.0598,7.51247,6.23099,6.25929
0.007,0.01,21.0591,7.51228,6.22274,6.25923
0.009,0.01,21.0583,7.51209,6.21703,6.25918
0.011,0.01,21.0576,7.51191,6.21696,6.25912
0.013,0.01,21.0568,7.51172,6.21546,6.25907
0.015,0.01,21.0561,7.51153,6.2154,6.25901
0.017,0.01,21.0553,7.51135,6.21534,6.25896
0.019,0.01,21.0546,7.51116,6.21383,6.2589
0.021,0.01,21.0538,7.51098,6.21376,6.25885
0.023,0.01,21.0531,7.51079,6.20933,6.25879
0.025,0.01,21.0523,7.5106,6.20926,6.25873
0.027,0.01,21.0516,7.51042,6.25787,6.25868
0.029,0.01,21.0508,7.51023,6.2578,6.25862
0.031,0.01,21.0501,7.51004,6.25626,6.25857
0.033,0.01,21.0493,7.50986,6.25478,6.25851
0.035,0.01,21.0486,7.50967,6.25471,6.25846
0.037,0.01,21.0478,7.50948,6.25183,6.2584
0.039,0.01,21.0471,7.5093,6.25011,6.25834
0.041,0.01,21.0463,7.50911,6.24867,6.25829
0.043,0.01,21.0456,7.50893,6.24701,6.25823
0.045,0.01,21.0448,7.50874,6.24514,6.25818
0.047,0.01,21.0441,7.50855,6.24507,6.25812
0.049,0.01,21.0433,7.50837,6.24194,6.25806
0.051,0.01,21.0425,7.50819,6.24076,6.25801
0.053,0.01,21.0418,7.508,6.23955,6.25795
0.055,0.01,21.041,7.50782,6.23712,6.2579
0.057,0.01,21.0403,7.50764,6.23582,6.25784
0.059,0.01,21.0395,7.50746,6.23194,6.25778
0.061,0.01,21.0388,7.50727,6.23056,6.25773
0.063,0.01,21.038,7.50709,6.22917,6.25767
0.065,0.01,21.0373,7.5069,6.22776,6.25762
0.067,0.01,21.0365,7.50672,6.22499,6.25756
0.069,0.01,21.0358,7.50653,6.22216,6.25751
0.071,0.01,21.035,7.50634,6.22069,6.25745
0.073,0.01,21.0343,7.50615,6.21639,6.25739
0.075,0.01,21.0336,7.50596,6.21632,6.25734
0.077,0.01,21.0328,7.50578,6.21625,6.25728
0.079,0.01,21.0321,7.50559,6.21619,6.25723
0.081,0.01,21.0313,7.50541,6.2074,6.25717
0.083,0.01,21.0306,7.50522,6.20733,6.25712
0.085,0.01,21.0298,7.50503,6.20726,6.25706
0.087,0.01,21.0291,7.50484,6.25585,6.257
0.089,0.01,21.0283,7.50466,6.25578,6.25695
0.091,0.01,21.0276,7.50447,6.25571,6.25689
0.093,0.01,21.0268,7.50428,6.25416,6.25684
0.095,0.01,21.0261,7.5041,6.25409,6.25678
0.097,0.01,21.0253,7.50391,6.25402,6.25672
0.099,0.01,21.0246,7.50373,6.25395,6.25667
0.101,0.01,21.0238,7.50354,6.25239,6.25661
0.103,0.01,21.023,7.50336,6.25231,6.25656
0.105,0.01,21.0223,7.50318,6.24942,6.2565
0.107,0.01,21.0215,7.503,6.24935,6.25644
0.109,0.01,21.0208,7.50281,6.24927,6.25639
0.111,0.01,21.02,7.50263,6.24759,6.25633
0.113,0.01,21.0193,7.50245,6.24752,6.25627
0.115,0.01,21.0185,7.50226,6.2461,6.25622
0.117,0.01,21.0177,7.50208,6.24603,6.25616
0.119,0.01,21.017,7.50189,6.24439,6.25611
0.121,0.01,21.0162,7.5017,6.24432,6.25605
0.123,0.01,21.0155,7.50151,6.24247,6.256
0.125,0.01,21.0147,7.50132,6.2424,6.25594
0.127,0.01,21.014,7.50114,6.2393,6.25588
0.129,0.01,21.0132,7.50095,6.23923,6.25583
0.131,0.01,21.0125,7.50076,6.23916,6.25577
0.133,0.01,21.0117,7.50057,6.23798,6.25572
0.135,0.01,21.011,7.50039,6.23678,6.25566
0.137,0.01,21.0102,7.5002,6.23671,6.2556
0.139,0.01,21.0095,7.50002,6.23664,6.25555
0.141,0.01,21.0087,7.49983,6.23421,6.25549
0.143,0.01,21.008,7.49965,6.23292,6.25544
0.145,0.01,21.0072,7.49946,6.22904,6.25538
0.147,0.01,21.0065,7.49928,6.22897,6.25532
0.149,0.01,21.0057,7.49909,6.22759,6.25527
0.151,0.01,21.005,7.4989,6.22752,6.25521
0.153,0.01,21.0042,7.49872,6.22612,6.25516
0.155,0.01,21.0035,7.49854,6.22471,6.2551
0.157,0.01,21.0027,7.49835,6.22464,6.25504
0.159,0.01,21.002,7.49817,6.22187,6.25499
0.161,0.01,21.0012,7.49799,6.2218,6.25493
0.163,0.01,21.0005,7.4978,6.21896,6.25488
0.165,0.01,20.9997,7.49762,6.21749,6.25482
0.167,0.01,20.999,7.49744,6.21742,6.25477
0.169,0.01,20.9982,7.49725,6.21454,6.25471
0.171,0.01,20.9975,7.49706,6.21304,6.25465
0.173,0.01,20.9967,7.49688,6.21298,6.2546
0.175,0.01,20.996,7.49669,6.21291,6.25454
0.177,0.01,20.9953,7.4965,6.2114,6.25449
0.179,0.01,20.9945,7.49632,6.21133,6.25443
0.181,0.01,20.9938,7.49613,6.21126,6.25438
0.183,0.01,20.993,7.49594,6.21119,6.25432
0.185,0.01,20.9923,7.49576,6.21112,6.25427
0.187,0.01,20.9915,7.49557,6.21106,6.25421
0.189,0.01,20.9908,7.49538,6.21099,6.25415
0.191,0.01,20.99,7.4952,6.24928,6.2541
0.193,0.01,20.9893,7.49501,6.2492,6.25404
0.195,0.01,20.9885,7.49482,6.24918,6.25399
0.197,0.01,20.9878,7.49464,6.24639,6.25393
0.199,0.01,20.987,7.49445,6.24632,6.25387
0.201,0.01,20.9863,7.49426,6.24624,6.25382
0.203,0.01,20.9855,7.49408,6.24617,6.25376
0.205,0.01,20.9848,7.49389,6.24471,6.25371
0.207,0.01,20.984,7.49371,6.24463,6.25365
0.209,0.01,20.9833,7.49352,6.24456,6.25359
0.211,0.01,20.9825,7.49334,6.24263,6.25354
0.213,0.01,20.9817,7.49315,6.24256,6.25348
0.215,0.01,20.981,7.49296,6.24248,6.25343
0.217,0.01,20.9802,7.49277,6.24089,6.25337
0.219,0.01,20.9795,7.49258,6.24082,6.25331
0.221,0.01,20.9788,7.49239,6.24075,6.25326
0.223,0.01,20.978,7.4922,6.23799,6.2532
0.225,0.01,20.9773,7.492,6.23792,6.25315
0.227,0.01,20.9765,7.4918,6.23582,6.25309
0.229,0.01,20.9758,7.49158,6.23575,6.25304
0.231,0.01,20.9751,7.49135,6.23568,6.25299
0.233,0.01,20.9744,7.4911,6.23453,6.25294
0.235,0.01,20.9738,7.49083,6.23446,6.25289
0.237,0.01,20.9731,7.49054,6.23439,6.25284
0.239,0.01,20.9725,7.49023,6.23432,6.25279
0.241,0.01,20.9719,7.48991,6.23198,6.25274
0.243,0.01,20.9713,7.48959,6.23072,6.2527
0.245,0.01,20.9706,7.48925,6.23065,6.25265
0.247,0.01,20.97,7.48891,6.23058,6.25261
0.249,0.01,20.9695,7.48857,6.22804,6.25257
0.251,0.01,20.9689,7.48822,6.22797,6.25252
0.253,0.01,20.9683,7.48787,6.22536,6.25248
0.255,0.01,20.9677,7.48752,6.22529,6.25243
0.257,0.01,20.9671,7.48717,6.22522,6.25239
0.259,0.01,20.9665,7.48682,6.22384,6.25235
0.261,0.01,20.9659,7.48647,6.22244,6.2523
0.263,0.01,20.9653,7.48613,6.22237,6.25226
0.265,0.01,20.9647,7.48578,6.2223,6.25221
0.267,0.01,20.9642,7.48543,6.22089,6.25217
0.269,0.01,20.9636,7.48508,6.22082,6.25213
0.271,0.01,20.963,7.48474,6.21805,6.25208
0.273,0.01,20.9624,7.48439,6.2166,6.25204
0.275,0.01,20.9618,7.48404,6.21514,6.25199
0.277,0.01,20.9612,7.48369,6.21507,6.25195
0.279,0.01,20.9606,7.48334,6.2136,6.25191
0.281,0.01,20.96,7.48298,6.21353,6.25186
0.283,0.01,20.9594,7.48263,6.21065,6.25182
0.285,0.01,20.9588,7.48228,6.21058,6.25177
0.287,0.01,20.9583,7.48192,6.21051,6.25173
0.289,0.01,20.9577,7.48157,6.21044,6.25169
0.291,0.01,20.9571,7.48121,6.2075,6.25164
0.293,0.01,20.9565,7.48086,6.20743,6.2516
0.295,0.01,20.9559,7.4805,6.20736,6.25155
0.297,0.01,20.9553,7.48015,6.20729,6.25151
0.299,0.01,20.9547,7.47979,6.20722,6.25147
0.301,0.01,20.9541,7.47944,6.20716,6.25142
0.303,0.01,20.9535,7.47908,6.20709,6.25138
0.305,0.01,20.9529,7.47871,6.20702,6.25133
0.307,0.01,20.9523,7.47836,6.20695,6.25129
0.309,0.01,20.9517,7.47799,6.20688,6.25125
0.311,0.01,20.9512,7.47763,6.20681,6.2512
0.313,0.01,20.9506,7.47727,6.20675,6.25116
0.315,0.01,20.95,7.4769,6.20668,6.25111
0.317,0.01,20.9494,7.47654,6.20661,6.25107
0.319,0.01,20.9488,7.47617,6.20654,6.25102
0.321,0.01,20.9482,7.4758,6.20356,6.25098
0.323,0.01,20.9476,7.47543,6.23919,6.25094
0.325,0.01,20.947,7.47507,6.23912,6.25089
0.327,0.01,20.9464,7.4747,6.23905,6.25085
0.329,0.01,20.9458,7.47434,6.23897,6.2508
0.331,0.01,20.9452,7.47397,6.2368,6.25076
0.333,0.01,20.9446,7.4736,6.23673,6.25071
0.335,0.01,20.944,7.47324,6.23666,6.25067
0.337,0.01,20.9434,7.47287,6.23398,6.25062
0.339,0.01,20.9428,7.4725,6.2339,6.25058
0.341,0.01,20.9422,7.47212,6.23383,6.25053
0.343,0.01,20.9416,7.47175,6.23178,6.25049
0.345,0.01,20.941,7.47138,6.23171,6.25044
0.347,0.01,20.9404,7.471,6.23164,6.2504
0.349,0.01,20.9398,7.47063,6.2305,6.25035
0.351,0.01,20.9392,7.47026,6.23043,6.25031
0.353,0.01,20.9386,7.46988,6.23036,6.25026
0.355,0.01,20.938,7.46951,6.22805,6.25022
0.357,0.01,20.9374,7.46914,6.22798,6.25017
0.359,0.01,20.9368,7.46876,6.22673,6.25013
0.361,0.01,20.9362,7.46838,6.22666,6.25008
0.363,0.01,20.9355,7.46801,6.22659,6.25004
0.365,0.01,20.9349,7.46763,6.22652,6.24999
0.367,0.01,20.9343,7.46725,6.22275,6.24995
0.369,0.01,20.9337,7.46687,6.22268,6.2499
0.371,0.01,20.9331,7.46649,6.22261,6.24986
0.373,0.01,20.9325,7.46611,6.22254,6.24981
0.375,0.01,20.9319,7.46573,6.22119,6.24976
0.377,0.01,20.9313,7.46534,6.21981,6.24972
0.379,0.01,20.9307,7.46495,6.21974,6.24967
0.381,0.01,20.9301,7.46456,6.21967,6.24963
0.383,0.01,20.9295,7.46417,6.2196,6.24958
0.385,0.01,20.9289,7.46378,6.21821,6.24954
0.387,0.01,20.9283,7.46339,6.21814,6.24949
0.389,0.01,20.9277,7.463,6.21539,6.24945
0.391,0.01,20.9271,7.46261,6.21532,6.2494
0.393,0.01,20.9264,7.46222,6.21525,6.24936
0.395,0.01,20.9258,7.46183,6.21243,6.24931
0.397,0.01,20.9252,7.46144,6.21236,6.24927
0.399,0.01,20.9246,7.46105,6.2109,6.24922
0.401,0.01,20.924,7.46066,6.21083,6.24917
0.403,0.01,20.9234,7.46027,6.21076,6.24913
0.405,0.01,20.9228,7.45987,6.20929,6.24908
0.407,0.01,20.9221,7.45948,6.20922,6.24904
0.409,0.01,20.9215,7.45909,6.20915,6.24899
0.411,0.01,20.9209,7.45869,6.20626,6.24894
0.413,0.01,20.9203,7.45829,6.2062,6.2489
0.415,0.01,20.9197,7.4579,6.20613,6.24885
0.417,0.01,20.9191,7.4575,6.20606,6.24881
0.419,0.01,20.9185,7.4571,6.20599,6.24876
0.421,0.01,20.9178,7.45669,6.20304,6.24871
0.423,0.01,20.9172,7.45629,6.20297,6.24867
0.425,0.01,20.9166,7.45589,6.20291,6.24862
0.427,0.01,20.916,7.45549,6.20284,6.24858
0.429,0.01,20.9154,7.45509,6.20277,6.24853
0.431,0.01,20.9148,7.45468,6.2027,6.24848
0.433,0.01,20.9142,7.45427,6.20263,6.24844
0.435,0.01,20.9135,7.45386,6.20256,6.24839
0.437,0.01,20.9129,7.45345,6.20249,6.24835
0.439,0.01,20.9123,7.45304,6.20243,6.2483
0.441,0.01,20.9117,7.45264,6.20236,6.24825
0.443,0.01,20.911,7.45224,6.19792,6.24821
0.445,0.01,20.9104,7.45183,6.19785,6.24816
0.447,0.01,20.9098,7.45143,6.19778,6.24811
0.449,0.01,20.9092,7.45102,6.19771,6.24807
0.451,0.01,20.9085,7.45061,6.19764,6.24802
0.453,0.01,20.9079,7.45019,6.19757,6.24797
0.455,0.01,20.9073,7.44978,6.19751,6.24793
0.457,0.01,20.9067,7.44937,6.19744,6.24788
0.459,0.01,20.906,7.44895,6.19737,6.24783
0.461,0.01,20.9054,7.44854,6.1973,6.24779
0.463,0.01,20.9048,7.44812,6.19723,6.24774
0.465,0.01,20.9041,7.44771,6.19716,6.24769
0.467,0.01,20.9035,7.4473,6.19709,6.24764
0.469,0.01,20.9029,7.44689,6.22929,6.2476
0.471,0.01,20.9022,7.44648,6.22729,6.24755
0.473,0.01,20.9016,7.44607,6.22722,6.2475
0.475,0.01,20.901,7.44565,6.22715,6.24745
0.477,0.01,20.9003,7.44524,6.22603,6.24741
0.479,0.01,20.8997,7.44482,6.22596,6.24736
0.481,0.01,20.8991,7.4444,6.22589,6.24731
0.483,0.01,20.8984,7.44398,6.22361,6.24727
0.485,0.01,20.8978,7.44356,6.22354,6.24722
0.487,0.01,20.8972,7.44315,6.22347,6.24717
0.489,0.01,20.8965,7.44273,6.22224,6.24712
0.491,0.01,20.8959,7.44231,6.22217,6.24707
0.493,0.01,20.8953,7.44189,6.2221,6.24703
0.495,0.01,20.8946,7.44148,6.21835,6.24698
0.497,0.01,20.894,7.44106,6.21829,6.24693
0.499,0.01,20.8933,7.44064,6.21822,6.24688
0.501,0.01,20.8927,7.44022,6.21815,6.24684
0.503,0.01,20.8921,7.43981,6.21808,6.24679
0.505,0.01,20.8914,7.43939,6.21673,6.24674
0.507,0.01,20.8908,7.43897,6.21666,6.24669
0.509,0.01,20.8902,7.43856,6.21528,6.24665
0.511,0.01,20.8895,7.43814,6.21522,6.2466
0.513,0.01,20.8889,7.43772,6.21515,6.24655
0.515,0.01,20.8883,7.4373,6.21375,6.2465
0.517,0.01,20.8876,7.43688,6.21368,6.24646
0.519,0.01,20.887,7.43645,6.21362,6.24641
0.521,0.01,20.8864,7.43602,6.21355,6.24636
0.523,0.01,20.8858,7.4356,6.2108,6.24632
0.525,0.01,20.8851,7.43518,6.21073,6.24627
0.527,0.01,20.8845,7.43476,6.21066,6.24622
0.529,0.01,20.8839,7.43434,6.20784,6.24618
0.531,0.01,20.8832,7.43392,6.20777,6.24613
0.533,0.01,20.8826,7.4335,6.20631,6.24608
0.535,0.01,20.882,7.43308,6.20624,6.24603
0.537,0.01,20.8813,7.43267,6.20617,6.24599
0.539,0.01,20.8807,7.43225,6.2061,6.24594
0.541,0.01,20.8801,7.43182,6.20323,6.24589
0.543,0.01,20.8794,7.43141,6.20316,6.24584
0.545,0.01,20.8788,7.43099,6.20309,6.2458
0.547,0.01,20.8782,7.43057,6.20302,6.24575
0.549,0.01,20.8775,7.43016,6.20295,6.2457
0.551,0.01,20.8769,7.42974,6.20288,6.24565
0.553,0.01,20.8763,7.42932,6.20282,6.24561
0.555,0.01,20.8756,7.4289,6.20275,6.24556
0.557,0.01,20.875,7.42848,6.20268,6.24551
0.559,0.01,20.8744,7.42806,6.19684,6.24546
0.561,0.01,20.8737,7.42764,6.19677,6.24542
0.563,0.01,20.8731,7.42722,6.19671,6.24537
0.565,0.01,20.8725,7.4268,6.19664,6.24532
0.567,0.01,20.8719,7.42638,6.19657,6.24528
0.569,0.01,20.8712,7.42596,6.1965,6.24523
0.571,0.01,20.8706,7.42554,6.19643,6.24518
0.573,0.01,20.87,7.42512,6.19636,6.24514
0.575,0.01,20.8693,7.42471,6.19629,6.24509
0.577,0.01,20.8687,7.42429,6.24346,6.24504
0.579,0.01,20.868,7.42387,6.24339,6.24499
0.581,0.01,20.8674,7.42346,6.24334,6.24494
0.583,0.01,20.8668,7.42304,6.24326,6.2449
0.585,0.01,20.8661,7.42262,6.24318,6.24485
0.587,0.01,20.8655,7.42219,6.2431,6.2448
0.589,0.01,20.8649,7.42177,6.24306,6.24475
0.591,0.01,20.8642,7.42135,6.24298,6.24471
0.593,0.01,20.8636,7.42094,6.2429,6.24466
0.595,0.01,20.8629,7.42052,6.24285,6.24461
0.597,0.01,20.8623,7.4201,6.24277,6.24456
0.599,0.01,20.8617,7.41968,6.2427,6.24452
0.601,0.01,20.861,7.41926,6.24115,6.24447
0.603,0.01,20.8604,7.41884,6.24108,6.24442
0.605,0.01,20.8598,7.41843,6.241,6.24437
0.607,0.01,20.8591,7.41801,6.24095,6.24432
0.609,0.0100002,20.8585,7.41759,6.24087,6.24428
0.611,0.0100008,20.8578,7.41717,6.24079,6.24423
0.613,0.0100032,20.8572,7.41675,6.24071,6.24418
0.615,0.0100122,20.8566,7.41633,6.2406,6.24413
0.617,0.0100409,20.8559,7.41591,6.2404,6.24409
0.619,0.0101244,20.8553,7.41549,6.23694,6.24404
0.621,0.0103454,20.8546,7.41507,6.21145,6.24399
0.623,0.0108817,20.8539,7.41466,6.20045,6.24394
0.625,0.0120809,20.8532,7.41424,6.22621,6.24388
0.627,0.0145642,20.8522,7.41382,6.22688,6.24381
0.629,0.0193435,20.851,7.4134,6.23345,6.24371
0.631,0.027918,20.8491,7.41299,6.24267,6.24357
0.633,0.0422971,20.8461,7.41258,6.23922,6.24335
0.635,0.0648842,20.8414,7.41216,6.23528,6.243
0.637,0.09818,20.8342,7.41173,6.23984,6.24246
0.639,0.144308,20.8232,7.41131,6.24073,6.24164
0.641,0.204442,20.8074,7.4109,6.23874,6.24045
0.643,0.278277,20.7854,7.41048,6.23743,6.2388
0.645,0.363729,20.756,7.41005,6.23542,6.23659
0.647,0.456991,20.7184,7.40963,6.23297,6.23377
0.649,0.553009,20.6721,7.4092,6.22944,6.23028
0.651,0.646271,20.617,7.40878,6.22548,6.22613
0.653,0.731723,20.5538,7.40836,6.22124,6.22135
0.655,0.805558,20.4832,7.40793,6.21538,6.216
0.657,0.865692,20.4066,7.4075,6.20982,6.21018
0.659,0.91182,20.3252,7.40706,6.2039,6.20398
0.661,0.945116,20.2402,7.40662,6.19718,6.19748
0.663,0.967703,20.1528,7.40619,6.19037,6.19078
0.665,0.982082,20.0637,7.40575,6.18344,6.18393
0.667,0.990657,19.9737,7.4053,6.1766,6.17698
0.669,0.995436,19.8832,7.40486,6.16976,6.16997
0.671,0.997919,19.7925,7.4044,6.1625,6.16292
0.673,0.999118,19.7017,7.40394,6.1558,6.15584
0.675,0.999655,19.611,7.40348,6.14866,6.14874
0.677,0.999876,19.5203,7.40302,6.14126,6.14162
0.679,0.999959,19.4297,7.40256,6.13408,6.13449
0.681,0.999988,19.3393,7.40211,6.12681,6.12733
0.683,0.999997,19.2489,7.40164,6.11979,6.12016
0.685,0.999999,19.1587,7.40116,6.11271,6.11298
0.687,1,19.0685,7.40068,6.1055,6.10577
0.689,1,18.9785,7.4002,6.09821,6.09856
0.691,1,18.8886,7.39971,6.09081,6.09132
0.693,1,18.7988,7.39923,6.08363,6.08407
0.695,1,18.7091,7.39874,6.07636,6.0768
0.697,1,18.6196,7.39825,6.06943,6.06951
0.699,1,18.5301,7.39776,6.06204,6.06221
0.701,1,18.4408,7.39727,6.05452,6.05489
0.703,1,18.3515,7.39677,6.04726,6.04755
0.705,1,18.2624,7.39626,6.04015,6.0402
0.707,1,18.1734,7.39576,6.03257,6.03282
0.709,1,18.0846,7.39525,6.02522,6.02544
0.711,1,17.9958,7.39473,6.01793,6.01803
0.713,0.999999,17.9071,7.39421,6.01017,6.0106
0.715,0.999997,17.8186,7.39369,6.00311,6.00316
0.717,0.999988,17.7302,7.39318,5.99521,5.9957
0.719,0.999959,17.6419,7.39266,5.98773,5.98822
0.721,0.999876,17.5537,7.39213,5.98045,5.98072
0.723,0.999655,17.4657,7.39159,5.97298,5.97321
0.725,0.999118,17.3778,7.39106,5.96518,5.96568
0.727,0.997919,17.2901,7.39052,5.95763,5.95814
0.729,0.995436,17.2027,7.38999,5.95008,5.95059
0.731,0.990657,17.1157,7.38945,5.94277,5.94306
0.733,0.982082,17.0294,7.38891,5.9354,5.93555
0.735,0.967703,16.9442,7.38837,5.92769,5.92812
0.737,0.945116,16.8608,7.38782,5.92051,5.92081
0.739,0.91182,16.7799,7.38727,5.91325,5.91369
0.741,0.865692,16.7026,7.38672,5.90677,5.90687
0.743,0.805558,16.63,7.38617,5.90029,5.90044
0.745,0.731723,16.5633,7.38562,5.89377,5.89452
0.747,0.646271,16.5037,7.38506,5.88855,5.88921
0.749,0.553009,16.4518,7.3845,5.88387,5.88457
0.751,0.456991,16.4083,7.38394,5.87986,5.88067
0.753,0.363729,16.3729,7.38338,5.87643,5.87751
0.755,0.278277,16.3454,7.38281,5.8738,5.87503
0.757,0.204442,16.3247,7.38225,5.87309,5.87318
0.759,0.144308,16.3099,7.38169,5.87033,5.87184
0.761,0.09818,16.2997,7.38112,5.86827,5.87092
0.763,0.0648842,16.2929,7.38055,5.86351,5.87031
0.765,0.0422971,16.2886,7.37998,5.86447,5.86992
0.767,0.027918,16.2858,7.37942,5.86646,5.86967
0.769,0.0193435,16.284,7.37885,5.84855,5.86951
0.771,0.0145642,16.2829,7.37828,5.85682,5.86941
0.773,0.0120809,16.282,7.37772,5.82947,5.86933
0.775,0.0108817,16.2813,7.37715,5.83165,5.86927
0.777,0.0103454,16.2807,7.37659,5.8577,5.86921
0.779,0.0101244,16.2801,7.37602,5.85847,5.86916
0.781,0.0100409,16.2795,7.37545,5.85856,5.8691
0.783,0.0100122,16.2789,7.37489,5.85841,5.86905
0.785,0.0100032,16.2784,7.37433,5.85816,5.869
0.787,0.0100008,16.2778,7.37376,5.85782,5.86895
0.789,0.0100002,16.2772,7.3732,5.85752,5.8689
0.791,0.01,16.2766,7.37263,5.85723,5.86884
0.793,0.01,16.2761,7.37206,5.83117,5.86879
