x,rho,E,F,T,Tr
0.005,0.01,25.2804,3.29272,6.50807,6.55175
0.015,0.01,25.2786,3.2924,6.50794,6.55163
0.025,0.01,25.2767,3.29208,6.50782,6.55152
0.035,0.01,25.2749,3.29175,6.50769,6.5514
0.045,0.01,25.2731,3.29143,6.5295,6.55128
0.055,0.01,25.2713,3.29111,6.52936,6.55116
0.065,0.01,25.2694,3.29078,6.52921,6.55104
0.075,0.01,25.2676,3.29046,6.52906,6.55092
0.085,0.01,25.2658,3.29013,6.5289,6.55081
0.095,0.01,25.264,3.28981,6.52874,6.55069
0.105,0.01,25.2621,3.28949,6.52856,6.55057
0.115,0.01,25.2603,3.28917,6.50636,6.55045
0.125,0.01,25.2585,3.28885,6.50615,6.55033
0.135,0.01,25.2567,3.28853,6.50592,6.55021
0.145,0.01,25.2549,3.28821,6.50569,6.5501
0.155,0.01,25.253,3.28789,6.50546,6.54998
0.165,0.01,25.2512,3.28756,6.50523,6.54986
0.175,0.01,25.2494,3.28724,6.505,6.54974
0.185,0.01,25.2476,3.28691,6.50477,6.54962
0.195,0.01,25.2458,3.28659,6.50453,6.54951
0.205,0.01,25.2439,3.28627,6.5043,6.54939
0.215,0.01,25.2421,3.28595,6.50407,6.54927
0.225,0.01,25.2403,3.28563,6.50384,6.54915
0.235,0.01,25.2385,3.28531,6.52557,6.54903
0.245,0.01,25.2366,3.28498,6.52532,6.54892
0.255,0.01,25.2348,3.28465,6.52507,6.5488
0.265,0.01,25.233,3.28432,6.52482,6.54868
0.275,0.01,25.2312,3.284,6.52457,6.54856
0.285,0.01,25.2294,3.28368,6.52432,6.54844
0.295,0.01,25.2275,3.28336,6.53168,6.54832
0.305,0.01,25.2257,3.28304,6.53142,6.54821
0.315,0.01,25.2239,3.28271,6.53117,6.54809
0.325,0.01,25.222,3.28239,6.53091,6.54797
0.335,0.01,25.2202,3.28207,6.53065,6.54785
0.345,0.01,25.2184,3.28174,6.5304,6.54773
0.355,0.01,25.2166,3.28141,6.53014,6.54761
0.365,0.01,25.2147,3.28109,6.52988,6.54749
0.375,0.01,25.2129,3.28076,6.52963,6.54738
0.385,0.01,25.2111,3.28044,6.52937,6.54726
0.395,0.01,25.2093,3.28012,6.52912,6.54714
0.405,0.01,25.2074,3.27979,6.52886,6.54702
0.415,0.0347819,25.203,3.27947,6.53749,6.54673
0.425,0.158691,25.1825,3.27914,6.54395,6.5454
0.435,0.53042,25.109,3.27881,6.53974,6.54062
0.445,1.27388,24.9161,3.27847,6.52797,6.52802
0.455,2.38906,24.5255,3.27811,6.50223,6.50229
0.465,3.65294,23.8846,3.2777,6.45935,6.45938
0.475,4.76812,22.9984,3.27722,6.39854,6.39861
0.485,5.51158,21.9279,3.27665,6.32273,6.32282
0.495,5.88331,20.7564,3.27598,6.23651,6.23662
0.505,6.00722,19.5514,3.2752,6.14394,6.14407
0.515,6.032,18.3502,3.27431,6.04729,6.04744
0.525,6.00722,17.1687,3.27332,5.94756,5.94765
0.535,5.88331,16.0217,3.27224,5.84562,5.84572
0.545,5.51158,14.9415,3.27106,5.74449,5.74461
0.555,4.76812,13.9837,3.26981,5.65011,5.65024
0.565,3.65294,13.2111,3.26849,5.57038,5.57052
0.575,2.38906,12.6638,3.26712,5.51177,5.51192
0.585,1.27388,12.3352,3.26571,5.47534,5.47581
0.595,0.53042,12.1744,3.26429,5.45771,5.45787
0.605,0.158691,12.1134,3.26287,5.4499,5.45102
0.615,0.0347819,12.0965,3.26145,5.44827,5.44912
0.625,0.01,12.0929,3.26003,5.40363,5.44871
0.635,0.01,12.0914,3.25861,5.40351,5.44855
0.645,0.01,12.09,3.25718,5.40338,5.44839
0.655,0.01,12.0886,3.25576,5.40326,5.44823
0.665,0.01,12.0871,3.25434,5.40313,5.44806
0.675,0.01,12.0857,3.25293,5.40301,5.4479
0.685,0.01,12.0843,3.25152,5.40289,5.44774
0.695,0.01,12.0828,3.25009,5.40276,5.44758
0.705,0.01,12.0814,3.24867,5.40264,5.44742
0.715,0.01,12.0799,3.24725,5.40252,5.44726
0.725,0.01,12.0785,3.24582,5.40239,5.44709
0.735,0.01,12.0771,3.2444,5.40227,5.44693
0.745,0.01,12.0756,3.24298,5.44369,5.44677
0.755,0.01,12.0742,3.24156,5.44353,5.44661
0.765,0.01,12.0727,3.24013,5.44337,5.44644
0.775,0.01,12.0713,3.23871,5.44321,5.44628
0.785,0.01,12.0698,3.23729,5.44304,5.44612
0.795,0.01,12.0684,3.23586,5.44304,5.44595
0.805,0.01,12.067,3.23444,5.44288,5.44579
0.815,0.01,12.0655,3.23302,5.44272,5.44563
0.825,0.01,12.0641,3.2316,5.44255,5.44547
0.835,0.01,12.0626,3.23018,5.44239,5.4453
0.845,0.01,12.0612,3.22875,5.44239,5.44514
0.855,0.01,12.0598,3.22733,5.44223,5.44498
0.865,0.01,12.0583,3.22591,5.44206,5.44481
0.875,0.01,12.0569,3.22448,5.4419,5.44465
0.885,0.01,12.0554,3.22307,5.44174,5.44449
0.895,0.01,12.054,3.22165,5.44174,5.44433
0.905,0.01,12.0526,3.22022,5.44158,5.44417
0.915,0.01,12.0511,3.21879,5.44141,5.444
0.925,0.01,12.0497,3.21737,5.44141,5.44384
0.935,0.01,12.0483,3.21594,5.44125,5.44368
0.945,0.01,12.0469,3.21453,5.44125,5.44352
0.955,0.01,12.0454,3.21311,5.44109,5.44336
0.965,0.01,12.044,3.21169,5.44108,5.4432
0.975,0.01,12.0426,3.21028,5.44108,5.44304
0.985,0.01,12.0412,3.20886,5.44108,5.44288
0.995,0.01,12.0397,3.20743,5.44092,5.44272
