x,rho,E,F,T,Tr
0.001,0.01,18.7099,9.86402,6.04346,6.07686
0.003,0.01,18.709,9.86373,6.03528,6.07679
0.005,0.01,18.7081,9.86343,6.02715,6.07672
0.007,0.01,18.7072,9.86314,6.0692,6.07664
0.009,0.01,18.7063,9.86284,6.06375,6.07657
0.011,0.01,18.7054,9.86255,6.06313,6.0765
0.013,0.01,18.7045,9.86225,6.06243,6.07642
0.015,0.01,18.7036,9.86196,6.06167,6.07635
0.017,0.01,18.7027,9.86166,6.06083,6.07628
0.019,0.01,18.7018,9.86137,6.05993,6.0762
0.021,0.01,18.7009,9.86108,6.05896,6.07613
0.023,0.01,18.7,9.86078,6.05792,6.07606
0.025,0.01,18.6991,9.86049,6.05683,6.07598
0.027,0.01,18.6982,9.86019,6.05566,6.07591
0.029,0.01,18.6973,9.8599,6.05444,6.07584
0.031,0.01,18.6964,9.8596,6.05316,6.07576
0.033,0.01,18.6955,9.85931,6.05182,6.07569
0.035,0.01,18.6946,9.85901,6.05042,6.07562
0.037,0.01,18.6937,9.85872,6.04897,6.07555
0.039,0.01,18.6928,9.85842,6.04746,6.07547
0.041,0.01,18.6919,9.85813,6.04589,6.0754
0.043,0.01,18.691,9.85784,6.04428,6.07533
0.045,0.01,18.6901,9.85754,6.04261,6.07525
0.047,0.01,18.6892,9.85725,6.04089,6.07518
0.049,0.01,18.6883,9.85695,6.03912,6.07511
0.051,0.01,18.6874,9.85665,6.0373,6.07503
0.053,0.01,18.6865,9.85636,6.03544,6.07496
0.055,0.01,18.6856,9.85607,6.03352,6.07489
0.057,0.01,18.6847,9.85577,6.03157,6.07482
0.059,0.01,18.6838,9.85548,6.02956,6.07474
0.061,0.01,18.6829,9.85519,6.02752,6.07467
0.063,0.01,18.682,9.85489,6.02543,6.0746
0.065,0.01,18.6811,9.8546,6.07344,6.07452
0.067,0.01,18.6802,9.8543,6.07127,6.07445
0.069,0.01,18.6793,9.85401,6.06904,6.07438
0.071,0.01,18.6784,9.85372,6.0668,6.0743
0.073,0.01,18.6775,9.85342,6.06452,6.07423
0.075,0.01,18.6766,9.85313,6.06278,6.07416
0.077,0.01,18.6757,9.85284,6.06264,6.07408
0.079,0.01,18.6748,9.85254,6.06249,6.07401
0.081,0.01,18.6739,9.85225,6.05565,6.07394
0.083,0.01,18.673,9.85195,6.05508,6.07386
0.085,0.01,18.6721,9.85166,6.05449,6.07379
0.087,0.01,18.6712,9.85137,6.05388,6.07372
0.089,0.01,18.6703,9.85107,6.05325,6.07364
0.091,0.01,18.6694,9.85078,6.0526,6.07357
0.093,0.01,18.6685,9.85048,6.05193,6.0735
0.095,0.01,18.6676,9.85019,6.05125,6.07342
0.097,0.01,18.6667,9.8499,6.05054,6.07335
0.099,0.01,18.6658,9.84961,6.04981,6.07328
0.101,0.01,18.6649,9.84932,6.04907,6.07321
0.103,0.01,18.664,9.84902,6.04831,6.07313
0.105,0.01,18.6631,9.84873,6.04752,6.07306
0.107,0.01,18.6622,9.84844,6.04672,6.07299
0.109,0.01,18.6613,9.84814,6.0459,6.07291
0.111,0.01,18.6604,9.84785,6.04505,6.07284
0.113,0.01,18.6595,9.84755,6.04419,6.07277
0.115,0.01,18.6586,9.84726,6.04331,6.07269
0.117,0.01,18.6577,9.84696,6.04241,6.07262
0.119,0.01,18.6568,9.84667,6.04148,6.07255
0.121,0.01,18.6559,9.84638,6.04054,6.07247
0.123,0.01,18.655,9.84608,6.03958,6.0724
0.125,0.01,18.6541,9.84579,6.0386,6.07233
0.127,0.01,18.6532,9.8455,6.0376,6.07225
0.129,0.01,18.6523,9.8452,6.03658,6.07218
0.131,0.01,18.6514,9.84491,6.03554,6.07211
0.133,0.01,18.6505,9.84462,6.03448,6.07204
0.135,0.01,18.6496,9.84432,6.0334,6.07196
0.137,0.01,18.6487,9.84403,6.0323,6.07189
0.139,0.01,18.6479,9.84373,6.03118,6.07182
0.141,0.01,18.647,9.84344,6.03005,6.07174
0.143,0.01,18.6461,9.84315,6.02889,6.07167
0.145,0.01,18.6452,9.84285,6.02771,6.0716
0.147,0.01,18.6443,9.84256,6.02652,6.07153
0.149,0.01,18.6434,9.84227,6.0253,6.07145
0.151,0.01,18.6425,9.84197,6.02407,6.07138
0.153,0.01,18.6416,9.84168,6.02282,6.07131
0.155,0.01,18.6407,9.84138,6.02154,6.07123
0.157,0.01,18.6398,9.84108,6.07038,6.07116
0.159,0.01,18.6389,9.84079,6.06907,6.07109
0.161,0.01,18.638,9.8405,6.06775,6.07101
0.163,0.01,18.6371,9.8402,6.06641,6.07094
0.165,0.01,18.6362,9.83991,6.06503,6.07087
0.167,0.01,18.6353,9.83962,6.06365,6.07079
0.169,0.01,18.6344,9.83933,6.06224,6.07072
0.171,0.01,18.6335,9.83903,6.06082,6.07065
0.173,0.01,18.6326,9.83874,6.06074,6.07057
0.175,0.01,18.6317,9.83844,6.05896,6.0705
0.177,0.01,18.6308,9.83815,6.0588,6.07043
0.179,0.01,18.6299,9.83786,6.05863,6.07035
0.181,0.01,18.629,9.83756,6.05846,6.07028
0.183,0.01,18.6281,9.83727,6.05828,6.07021
