x,rho,E,F,T,Tr
0.001,0.01,21.1266,7.44752,6.24834,6.26425
0.003,0.01,21.1261,7.44717,6.23874,6.26421
0.005,0.01,21.1255,7.44683,6.23099,6.26416
0.007,0.01,21.1249,7.44648,6.22274,6.26412
0.009,0.01,21.1243,7.44613,6.21703,6.26408
0.011,0.01,21.1237,7.44578,6.21696,6.26404
0.013,0.01,21.1232,7.44543,6.21546,6.26399
0.015,0.01,21.1226,7.44508,6.2154,6.26395
0.017,0.01,21.122,7.44474,6.21534,6.26391
0.019,0.01,21.1214,7.44439,6.21383,6.26386
0.021,0.01,21.1209,7.44404,6.21376,6.26382
0.023,0.01,21.1203,7.44369,6.25948,6.26378
0.025,0.01,21.1197,7.44334,6.25941,6.26373
0.027,0.01,21.1191,7.44299,6.25787,6.26369
0.029,0.01,21.1185,7.44264,6.2578,6.26365
0.031,0.01,21.118,7.44229,6.25626,6.26361
0.033,0.01,21.1174,7.44193,6.25478,6.26356
0.035,0.01,21.1168,7.44158,6.25471,6.26352
0.037,0.01,21.1162,7.44122,6.25183,6.26348
0.039,0.01,21.1156,7.44087,6.25011,6.26343
0.041,0.01,21.1151,7.44052,6.24867,6.26339
0.043,0.01,21.1145,7.44017,6.24701,6.26335
0.045,0.01,21.1139,7.43982,6.24514,6.26331
0.047,0.01,21.1133,7.43947,6.24507,6.26326
0.049,0.01,21.1127,7.43912,6.24194,6.26322
0.051,0.01,21.1122,7.43877,6.24076,6.26318
0.053,0.01,21.1116,7.43842,6.23955,6.26313
0.055,0.01,21.111,7.43807,6.23712,6.26309
0.057,0.01,21.1104,7.43772,6.23582,6.26305
0.059,0.01,21.1098,7.43737,6.23194,6.263
0.061,0.01,21.1093,7.43702,6.23056,6.26296
0.063,0.01,21.1087,7.43667,6.22917,6.26292
0.065,0.01,21.1081,7.43632,6.22776,6.26288
0.067,0.01,21.1075,7.43598,6.22499,6.26283
0.069,0.01,21.1069,7.43563,6.22216,6.26279
0.071,0.01,21.1064,7.43528,6.22069,6.26275
0.073,0.01,21.1058,7.43493,6.21639,6.2627
0.075,0.01,21.1052,7.43458,6.21632,6.26266
0.077,0.01,21.1046,7.43422,6.21625,6.26262
0.079,0.01,21.1041,7.43387,6.21619,6.26258
0.081,0.01,21.1035,7.43352,6.25755,6.26253
0.083,0.01,21.1029,7.43317,6.25748,6.26249
0.085,0.01,21.1023,7.43282,6.25741,6.26245
0.087,0.01,21.1018,7.43247,6.25585,6.2624
0.089,0.01,21.1012,7.43212,6.25578,6.26236
0.091,0.01,21.1006,7.43177,6.25571,6.26232
0.093,0.01,21.1,7.43142,6.25416,6.26227
0.095,0.01,21.0994,7.43107,6.25409,6.26223
0.097,0.01,21.0988,7.43072,6.25402,6.26219
0.099,0.01,21.0983,7.43037,6.25395,6.26214
0.101,0.01,21.0977,7.43002,6.25239,6.2621
0.103,0.01,21.0971,7.42967,6.25231,6.26206
0.105,0.01,21.0965,7.42932,6.24942,6.26202
0.107,0.01,21.0959,7.42897,6.24935,6.26197
0.109,0.01,21.0954,7.42862,6.24927,6.26193
0.111,0.01,21.0948,7.42827,6.24759,6.26189
0.113,0.01,21.0942,7.42792,6.24752,6.26184
0.115,0.01,21.0936,7.42757,6.2461,6.2618
0.117,0.01,21.093,7.42722,6.24603,6.26176
0.119,0.01,21.0925,7.42687,6.24439,6.26171
0.121,0.01,21.0919,7.42652,6.24432,6.26167
0.123,0.01,21.0913,7.42617,6.24247,6.26163
0.125,0.01,21.0907,7.42582,6.2424,6.26158
0.127,0.01,21.0901,7.42547,6.2393,6.26154
0.129,0.01,21.0896,7.42512,6.23923,6.2615
0.131,0.01,21.089,7.42477,6.23916,6.26146
0.133,0.01,21.0884,7.42442,6.23798,6.26141
0.135,0.01,21.0878,7.42407,6.23678,6.26137
0.137,0.01,21.0872,7.42372,6.23671,6.26133
0.139,0.01,21.0867,7.42337,6.23664,6.26128
0.141,0.01,21.0861,7.42302,6.23421,6.26124
0.143,0.01,21.0855,7.42267,6.23292,6.2612
0.145,0.01,21.0849,7.42233,6.22904,6.26115
0.147,0.01,21.0843,7.42198,6.22897,6.26111
0.149,0.01,21.0838,7.42163,6.22759,6.26107
0.151,0.01,21.0832,7.42128,6.22752,6.26103
0.153,0.01,21.0826,7.42093,6.22612,6.26098
0.155,0.01,21.082,7.42058,6.22471,6.26094
0.157,0.01,21.0815,7.42023,6.22464,6.2609
0.159,0.01,21.0809,7.41987,6.22187,6.26085
0.161,0.01,21.0803,7.41952,6.2218,6.26081
0.163,0.01,21.0797,7.41917,6.21896,6.26077
0.165,0.01,21.0792,7.41882,6.21749,6.26073
0.167,0.01,21.0786,7.41847,6.21742,6.26068
0.169,0.01,21.078,7.41812,6.21454,6.26064
0.171,0.01,21.0774,7.41777,6.21304,6.2606
0.173,0.01,21.0769,7.41741,6.21298,6.26056
0.175,0.01,21.0763,7.41706,6.21291,6.26051
0.177,0.01,21.0757,7.41671,6.2114,6.26047
0.179,0.01,21.0751,7.41636,6.21133,6.26043
0.181,0.01,21.0746,7.41601,6.21126,6.26039
0.183,0.01,21.074,7.41566,6.21119,6.26034
0.185,0.01,21.0734,7.4153,6.21112,6.2603
0.187,0.01,21.0728,7.41495,6.21106,6.26026
0.189,0.01,21.0723,7.41459,6.21099,6.26022
0.191,0.01,21.0717,7.41424,6.24928,6.26017
0.193,0.01,21.0711,7.41389,6.2492,6.26013
0.195,0.01,21.0705,7.41355,6.24918,6.26009
0.197,0.01,21.0699,7.4132,6.24639,6.26004
0.199,0.01,21.0694,7.41285,6.24632,6.26
0.201,0.01,21.0688,7.4125,6.24624,6.25996
0.203,0.01,21.0682,7.41215,6.24617,6.25991
0.205,0.01,21.0676,7.4118,6.24471,6.25987
0.207,0.01,21.067,7.41145,6.24463,6.25983
0.209,0.01,21.0665,7.41109,6.24456,6.25979
0.211,0.01,21.0659,7.41074,6.24263,6.25974
0.213,0.01,21.0653,7.41038,6.24256,6.2597
0.215,0.01,21.0648,7.41002,6.24248,6.25966
0.217,0.01,21.0642,7.40966,6.24089,6.25962
0.219,0.01,21.0636,7.4093,6.24082,6.25957
0.221,0.01,21.063,7.40895,6.24075,6.25953
0.223,0.01,21.0625,7.4086,6.23799,6.25949
0.225,0.01,21.0619,7.40825,6.23792,6.25944
0.227,0.01,21.0613,7.4079,6.23582,6.2594
0.229,0.01,21.0607,7.40755,6.23575,6.25936
0.231,0.01,21.0601,7.40719,6.23568,6.25932
0.233,0.01,21.0596,7.40684,6.23453,6.25927
0.235,0.01,21.059,7.40649,6.23446,6.25923
0.237,0.01,21.0584,7.40614,6.23439,6.25919
0.239,0.01,21.0578,7.40579,6.23432,6.25914
0.241,0.01,21.0573,7.40544,6.23198,6.2591
0.243,0.01,21.0567,7.40508,6.23072,6.25906
0.245,0.01,21.0561,7.40473,6.23065,6.25902
0.247,0.01,21.0555,7.40438,6.23058,6.25897
0.249,0.01,21.055,7.40403,6.22804,6.25893
0.251,0.01,21.0544,7.40368,6.22797,6.25889
0.253,0.01,21.0538,7.40333,6.22536,6.25884
0.255,0.01,21.0532,7.40298,6.22529,6.2588
0.257,0.01,21.0527,7.40262,6.22522,6.25876
0.259,0.01,21.0521,7.40227,6.22384,6.25872
0.261,0.01,21.0515,7.40192,6.22244,6.25867
0.263,0.01,21.0509,7.40157,6.22237,6.25863
0.265,0.01,21.0504,7.40122,6.2223,6.25859
0.267,0.01,21.0498,7.40086,6.22089,6.25854
0.269,0.01,21.0492,7.40051,6.22082,6.2585
0.271,0.01,21.0486,7.40016,6.21805,6.25846
0.273,0.01,21.0481,7.39981,6.2166,6.25842
0.275,0.01,21.0475,7.39946,6.21514,6.25837
0.277,0.01,21.0469,7.39911,6.21507,6.25833
0.279,0.01,21.0463,7.39875,6.2136,6.25829
0.281,0.01,21.0458,7.3984,6.21353,6.25825
0.283,0.01,21.0452,7.39804,6.21065,6.2582
0.285,0.01,21.0446,7.39769,6.21058,6.25816
0.287,0.01,21.044,7.39734,6.21051,6.25812
0.289,0.01,21.0435,7.39699,6.21044,6.25808
0.291,0.01,21.0429,7.39663,6.2075,6.25803
0.293,0.01,21.0423,7.39628,6.20743,6.25799
0.295,0.01,21.0418,7.39593,6.20736,6.25795
0.297,0.01,21.0412,7.39557,6.20729,6.25791
0.299,0.01,21.0406,7.39522,6.20722,6.25786
0.301,0.01,21.04,7.39487,6.20716,6.25782
0.303,0.01,21.0395,7.39452,6.20709,6.25778
0.305,0.01,21.0389,7.39417,6.20702,6.25774
