x,rho,E,F,T,Tr
0.001,0.01,21.1525,7.42166,6.24834,6.26617
0.003,0.01,21.1519,7.42131,6.23874,6.26612
0.005,0.01,21.1513,7.42096,6.23099,6.26608
0.007,0.01,21.1508,7.42062,6.22274,6.26604
0.009,0.01,21.1502,7.42027,6.21703,6.266
0.011,0.01,21.1496,7.41992,6.21696,6.26595
0.013,0.01,21.1491,7.41957,6.21546,6.26591
0.015,0.01,21.1485,7.41922,6.2154,6.26587
0.017,0.01,21.1479,7.41887,6.21534,6.26583
0.019,0.01,21.1473,7.41853,6.26398,6.26578
0.021,0.01,21.1467,7.41818,6.26391,6.26574
0.023,0.01,21.1462,7.41783,6.25948,6.2657
0.025,0.01,21.1456,7.41748,6.25941,6.26565
0.027,0.01,21.145,7.41713,6.25787,6.26561
0.029,0.01,21.1444,7.41678,6.2578,6.26557
0.031,0.01,21.1438,7.41643,6.25626,6.26552
0.033,0.01,21.1433,7.41609,6.25478,6.26548
0.035,0.01,21.1427,7.41574,6.25471,6.26544
0.037,0.01,21.1421,7.41539,6.25183,6.2654
0.039,0.01,21.1415,7.41504,6.25011,6.26535
0.041,0.01,21.1409,7.41469,6.24867,6.26531
0.043,0.01,21.1404,7.41434,6.24701,6.26527
0.045,0.01,21.1398,7.41399,6.24514,6.26522
0.047,0.01,21.1392,7.41365,6.24507,6.26518
0.049,0.01,21.1386,7.4133,6.24194,6.26514
0.051,0.01,21.138,7.41296,6.24076,6.26509
0.053,0.01,21.1375,7.41261,6.23955,6.26505
0.055,0.01,21.1369,7.41226,6.23712,6.26501
0.057,0.01,21.1363,7.41191,6.23582,6.26497
0.059,0.01,21.1357,7.41157,6.23194,6.26492
0.061,0.01,21.1352,7.41122,6.23056,6.26488
0.063,0.01,21.1346,7.41086,6.22917,6.26484
0.065,0.01,21.134,7.41051,6.22776,6.2648
0.067,0.01,21.1334,7.41015,6.22499,6.26475
0.069,0.01,21.1329,7.4098,6.22216,6.26471
0.071,0.01,21.1323,7.40944,6.22069,6.26467
0.073,0.01,21.1317,7.40909,6.21639,6.26463
0.075,0.01,21.1312,7.40875,6.21632,6.26458
0.077,0.01,21.1306,7.4084,6.21625,6.26454
0.079,0.01,21.13,7.40805,6.21619,6.2645
0.081,0.01,21.1294,7.4077,6.25755,6.26446
0.083,0.01,21.1289,7.40735,6.25748,6.26441
0.085,0.01,21.1283,7.407,6.25741,6.26437
0.087,0.01,21.1277,7.40666,6.25585,6.26433
0.089,0.01,21.1271,7.40631,6.25578,6.26428
0.091,0.01,21.1265,7.40596,6.25571,6.26424
0.093,0.01,21.1259,7.40561,6.25416,6.2642
0.095,0.01,21.1254,7.40526,6.25409,6.26416
0.097,0.01,21.1248,7.40492,6.25402,6.26411
0.099,0.01,21.1242,7.40457,6.25395,6.26407
0.101,0.01,21.1236,7.40422,6.25239,6.26403
0.103,0.01,21.123,7.40387,6.25231,6.26398
0.105,0.01,21.1225,7.40352,6.24942,6.26394
0.107,0.01,21.1219,7.40317,6.24935,6.2639
0.109,0.01,21.1213,7.40282,6.24927,6.26386
0.111,0.01,21.1207,7.40248,6.24759,6.26381
0.113,0.01,21.1202,7.40213,6.24752,6.26377
0.115,0.01,21.1196,7.40178,6.2461,6.26373
0.117,0.01,21.119,7.40144,6.24603,6.26368
0.119,0.01,21.1184,7.40109,6.24439,6.26364
0.121,0.01,21.1178,7.40074,6.24432,6.2636
0.123,0.01,21.1173,7.40039,6.24247,6.26356
0.125,0.01,21.1167,7.40004,6.2424,6.26351
0.127,0.01,21.1161,7.39969,6.2393,6.26347
0.129,0.01,21.1155,7.39934,6.23923,6.26343
0.131,0.01,21.115,7.39899,6.23916,6.26338
0.133,0.01,21.1144,7.39864,6.23798,6.26334
0.135,0.01,21.1138,7.39829,6.23678,6.2633
0.137,0.01,21.1132,7.39795,6.23671,6.26326
0.139,0.01,21.1127,7.3976,6.23664,6.26321
0.141,0.01,21.1121,7.39725,6.23421,6.26317
0.143,0.01,21.1115,7.3969,6.23292,6.26313
0.145,0.01,21.1109,7.39654,6.22904,6.26309
0.147,0.01,21.1104,7.39619,6.22897,6.26304
0.149,0.01,21.1098,7.39585,6.22759,6.263
0.151,0.01,21.1092,7.3955,6.22752,6.26296
0.153,0.01,21.1086,7.39515,6.22612,6.26291
0.155,0.01,21.1081,7.3948,6.22471,6.26287
0.157,0.01,21.1075,7.39445,6.22464,6.26283
