x,rho,E,F,T,Tr
0.001,0.01,21.1422,7.43196,6.24834,6.2654
0.003,0.01,21.1416,7.43162,6.23874,6.26536
0.005,0.01,21.141,7.43127,6.23099,6.26532
0.007,0.01,21.1405,7.43092,6.22274,6.26527
0.009,0.01,21.1399,7.43058,6.21703,6.26523
0.011,0.01,21.1393,7.43023,6.21696,6.26519
0.013,0.01,21.1387,7.42988,6.21546,6.26515
0.015,0.01,21.1382,7.42953,6.2154,6.2651
0.017,0.01,21.1376,7.42918,6.21534,6.26506
0.019,0.01,21.137,7.42883,6.26398,6.26502
0.021,0.01,21.1364,7.42848,6.26391,6.26497
0.023,0.01,21.1358,7.42814,6.25948,6.26493
0.025,0.01,21.1353,7.42779,6.25941,6.26489
0.027,0.01,21.1347,7.42744,6.25787,6.26485
0.029,0.01,21.1341,7.42709,6.2578,6.2648
0.031,0.01,21.1335,7.42675,6.25626,6.26476
0.033,0.01,21.1329,7.4264,6.25478,6.26472
0.035,0.01,21.1323,7.42605,6.25471,6.26467
0.037,0.01,21.1318,7.4257,6.25183,6.26463
0.039,0.01,21.1312,7.42535,6.25011,6.26459
0.041,0.01,21.1306,7.425,6.24867,6.26454
0.043,0.01,21.13,7.42465,6.24701,6.2645
0.045,0.01,21.1294,7.4243,6.24514,6.26446
0.047,0.01,21.1289,7.42396,6.24507,6.26441
0.049,0.01,21.1283,7.42361,6.24194,6.26437
0.051,0.01,21.1277,7.42326,6.24076,6.26433
0.053,0.01,21.1271,7.42292,6.23955,6.26429
0.055,0.01,21.1265,7.42258,6.23712,6.26424
0.057,0.01,21.126,7.42223,6.23582,6.2642
0.059,0.01,21.1254,7.42189,6.23194,6.26416
0.061,0.01,21.1248,7.42154,6.23056,6.26411
0.063,0.01,21.1242,7.42119,6.22917,6.26407
0.065,0.01,21.1237,7.42084,6.22776,6.26403
0.067,0.01,21.1231,7.42049,6.22499,6.26399
0.069,0.01,21.1225,7.42014,6.22216,6.26394
0.071,0.01,21.1219,7.41979,6.22069,6.2639
0.073,0.01,21.1214,7.41944,6.21639,6.26386
0.075,0.01,21.1208,7.41909,6.21632,6.26382
0.077,0.01,21.1202,7.41875,6.21625,6.26377
0.079,0.01,21.1196,7.4184,6.21619,6.26373
0.081,0.01,21.119,7.41805,6.25755,6.26369
0.083,0.01,21.1185,7.4177,6.25748,6.26364
0.085,0.01,21.1179,7.41735,6.25741,6.2636
0.087,0.01,21.1173,7.41699,6.25585,6.26356
0.089,0.01,21.1167,7.41665,6.25578,6.26352
0.091,0.01,21.1161,7.4163,6.25571,6.26347
0.093,0.01,21.1156,7.41595,6.25416,6.26343
0.095,0.01,21.115,7.4156,6.25409,6.26339
0.097,0.01,21.1144,7.41525,6.25402,6.26334
0.099,0.01,21.1138,7.41489,6.25395,6.2633
0.101,0.01,21.1133,7.41454,6.25239,6.26326
0.103,0.01,21.1127,7.41419,6.25231,6.26321
