x,rho,E,F,T,Tr
0.001,0.01,18.6631,9.91079,6.04346,6.07306
0.003,0.01,18.6622,9.91049,6.03528,6.07299
0.005,0.01,18.6613,9.91019,6.02715,6.07291
0.007,0.01,18.6604,9.90989,6.0692,6.07284
0.009,0.01,18.6595,9.9096,6.06375,6.07277
0.011,0.01,18.6586,9.9093,6.06313,6.07269
0.013,0.01,18.6577,9.909,6.06243,6.07262
0.015,0.01,18.6568,9.9087,6.06167,6.07255
0.017,0.01,18.6559,9.9084,6.06083,6.07247
0.019,0.01,18.655,9.90811,6.05993,6.0724
0.021,0.01,18.6541,9.90781,6.05896,6.07233
0.023,0.01,18.6532,9.90751,6.05792,6.07225
0.025,0.01,18.6523,9.90721,6.05683,6.07218
0.027,0.01,18.6514,9.90692,6.05566,6.0721
0.029,0.01,18.6505,9.90662,6.05444,6.07203
0.031,0.01,18.6496,9.90632,6.05316,6.07196
0.033,0.01,18.6487,9.90602,6.05182,6.07188
0.035,0.01,18.6478,9.90573,6.05042,6.07181
0.037,0.01,18.6469,9.90543,6.04897,6.07174
0.039,0.01,18.646,9.90513,6.04746,6.07166
0.041,0.01,18.6451,9.90483,6.04589,6.07159
0.043,0.01,18.6442,9.90454,6.04428,6.07152
0.045,0.01,18.6433,9.90424,6.04261,6.07144
0.047,0.01,18.6424,9.90394,6.04089,6.07137
0.049,0.01,18.6415,9.90364,6.03912,6.0713
0.051,0.01,18.6406,9.90335,6.0373,6.07122
0.053,0.01,18.6397,9.90305,6.03544,6.07115
0.055,0.01,18.6388,9.90275,6.03352,6.07108
0.057,0.01,18.6379,9.90245,6.03157,6.07101
0.059,0.01,18.637,9.90215,6.02956,6.07093
0.061,0.01,18.6361,9.90185,6.02752,6.07086
0.063,0.01,18.6352,9.90155,6.02543,6.07079
0.065,0.01,18.6343,9.90126,6.0233,6.07071
0.067,0.01,18.6334,9.90096,6.02113,6.07064
0.069,0.01,18.6325,9.90066,6.06904,6.07057
0.071,0.01,18.6316,9.90037,6.0668,6.07049
0.073,0.01,18.6307,9.90007,6.06452,6.07042
0.075,0.01,18.6298,9.89977,6.06278,6.07035
0.077,0.01,18.6289,9.89947,6.06264,6.07027
0.079,0.01,18.628,9.89918,6.06249,6.0702
0.081,0.01,18.6271,9.89888,6.05565,6.07012
0.083,0.01,18.6262,9.89858,6.05508,6.07005
0.085,0.01,18.6253,9.89829,6.05449,6.06998
0.087,0.01,18.6244,9.89799,6.05388,6.0699
0.089,0.01,18.6235,9.89769,6.05325,6.06983
0.091,0.01,18.6226,9.89739,6.0526,6.06976
0.093,0.01,18.6217,9.89709,6.05193,6.06968
0.095,0.01,18.6207,9.8968,6.05125,6.06961
0.097,0.01,18.6198,9.8965,6.05054,6.06954
0.099,0.01,18.6189,9.8962,6.04981,6.06946
0.101,0.01,18.618,9.89591,6.04907,6.06939
0.103,0.01,18.6171,9.89561,6.04831,6.06932
0.105,0.01,18.6162,9.89531,6.04752,6.06924
0.107,0.01,18.6153,9.89502,6.04672,6.06917
0.109,0.01,18.6144,9.89472,6.0459,6.0691
0.111,0.01,18.6135,9.89442,6.04505,6.06902
0.113,0.01,18.6126,9.89412,6.04419,6.06895
0.115,0.01,18.6117,9.89383,6.04331,6.06887
0.117,0.01,18.6108,9.89353,6.04241,6.0688
0.119,0.01,18.6099,9.89323,6.04148,6.06873
0.121,0.01,18.609,9.89294,6.04054,6.06865
0.123,0.01,18.6081,9.89264,6.03958,6.06858
0.125,0.01,18.6072,9.89234,6.0386,6.06851
0.127,0.01,18.6063,9.89205,6.0376,6.06843
0.129,0.01,18.6054,9.89175,6.03658,6.06836
0.131,0.01,18.6045,9.89145,6.03554,6.06829
0.133,0.01,18.6036,9.89115,6.03448,6.06821
0.135,0.01,18.6027,9.89086,6.0334,6.06814
0.137,0.01,18.6018,9.89056,6.0323,6.06807
0.139,0.01,18.6009,9.89027,6.03118,6.06799
0.141,0.01,18.6,9.88997,6.03005,6.06792
0.143,0.01,18.5991,9.88967,6.02889,6.06785
0.145,0.01,18.5982,9.88938,6.02771,6.06778
0.147,0.01,18.5973,9.88908,6.02652,6.0677
0.149,0.01,18.5965,9.88878,6.0253,6.06763
0.151,0.01,18.5956,9.88849,6.02407,6.06756
0.153,0.01,18.5947,9.88819,6.02282,6.06748
0.155,0.01,18.5938,9.88789,6.02154,6.06741
0.157,0.01,18.5929,9.88759,6.02025,6.06734
0.159,0.01,18.592,9.8873,6.01894,6.06726
0.161,0.01,18.5911,9.887,6.01761,6.06719
0.163,0.01,18.5902,9.8867,6.06641,6.06712
0.165,0.01,18.5893,9.8864,6.06503,6.06704
0.167,0.01,18.5884,9.88611,6.06365,6.06697
0.169,0.01,18.5875,9.88581,6.06224,6.0669
0.171,0.01,18.5866,9.88551,6.06082,6.06682
0.173,0.01,18.5857,9.88521,6.06074,6.06675
0.175,0.01,18.5848,9.88492,6.05896,6.06667
0.177,0.01,18.5839,9.88462,6.0588,6.0666
0.179,0.01,18.583,9.88432,6.05863,6.06653
0.181,0.01,18.582,9.88403,6.05846,6.06645
0.183,0.01,18.5811,9.88373,6.05828,6.06638
0.185,0.01,18.5802,9.88343,6.05811,6.06631
0.187,0.01,18.5793,9.88313,6.05792,6.06623
0.189,0.01,18.5784,9.88284,6.05774,6.06616
0.191,0.01,18.5775,9.88254,6.04578,6.06608
0.193,0.01,18.5766,9.88224,6.04522,6.06601
0.195,0.01,18.5757,9.88195,6.04464,6.06594
0.197,0.01,18.5748,9.88165,6.04406,6.06586
0.199,0.01,18.5739,9.88135,6.04347,6.06579
0.201,0.01,18.573,9.88106,6.04286,6.06572
0.203,0.01,18.5721,9.88076,6.04225,6.06564
0.205,0.01,18.5712,9.88046,6.04163,6.06557
0.207,0.01,18.5703,9.88016,6.04099,6.0655
0.209,0.01,18.5694,9.87987,6.04034,6.06542
0.211,0.01,18.5685,9.87957,6.03969,6.06535
0.213,0.01,18.5676,9.87927,6.03902,6.06528
0.215,0.01,18.5667,9.87898,6.03834,6.0652
0.217,0.01,18.5658,9.87868,6.03765,6.06513
0.219,0.01,18.5649,9.87838,6.03695,6.06506
0.221,0.01,18.564,9.87809,6.03624,6.06498
0.223,0.01,18.5631,9.87779,6.03551,6.06491
0.225,0.01,18.5622,9.87749,6.03478,6.06483
0.227,0.01,18.5613,9.8772,6.03403,6.06476
0.229,0.01,18.5604,9.8769,6.03328,6.06469
0.231,0.01,18.5595,9.8766,6.03251,6.06461
0.233,0.01,18.5586,9.8763,6.03173,6.06454
0.235,0.01,18.5577,9.87601,6.03094,6.06447
0.237,0.01,18.5568,9.87571,6.03014,6.06439
0.239,0.01,18.5559,9.87541,6.02933,6.06432
0.241,0.01,18.555,9.87511,6.0285,6.06425
0.243,0.01,18.5541,9.87481,6.02767,6.06418
0.245,0.01,18.5533,9.87451,6.02682,6.0641
0.247,0.01,18.5524,9.8742,6.02596,6.06403
0.249,0.01,18.5515,9.8739,6.0251,6.06396
0.251,0.01,18.5506,9.8736,6.02422,6.06388
0.253,0.01,18.5497,9.87331,6.02332,6.06381
0.255,0.01,18.5488,9.87301,6.02242,6.06374
0.257,0.01,18.5479,9.87271,6.02151,6.06366
0.259,0.01,18.547,9.87241,6.02058,6.06359
0.261,0.01,18.5461,9.87211,6.01964,6.06352
0.263,0.01,18.5452,9.87181,6.0187,6.06345
0.265,0.01,18.5443,9.87151,6.01774,6.06337
0.267,0.01,18.5434,9.87121,6.01676,6.0633
0.269,0.01,18.5425,9.87091,6.01578,6.06323
0.271,0.01,18.5416,9.87061,6.01479,6.06315
0.273,0.01,18.5408,9.87031,6.01378,6.06308
0.275,0.01,18.5399,9.87001,6.01277,6.06301
0.277,0.01,18.539,9.86972,6.06188,6.06293
0.279,0.01,18.5381,9.86942,6.06084,6.06286
0.281,0.01,18.5372,9.86912,6.05977,6.06279
0.283,0.01,18.5363,9.86882,6.05872,6.06271
0.285,0.01,18.5354,9.86852,6.05819,6.06264
0.287,0.01,18.5345,9.86822,6.05753,6.06257
0.289,0.01,18.5336,9.86792,6.05744,6.06249
0.291,0.01,18.5327,9.86762,6.0545,6.06242
0.293,0.01,18.5318,9.86732,6.05432,6.06234
0.295,0.01,18.5309,9.86702,6.05414,6.06227
0.297,0.01,18.53,9.86672,6.05395,6.0622
0.299,0.01,18.5291,9.86642,6.05377,6.06212
0.301,0.01,18.5282,9.86612,6.05357,6.06205
0.303,0.01,18.5273,9.86582,6.05338,6.06198
0.305,0.01,18.5264,9.86552,6.05318,6.0619
0.307,0.01,18.5255,9.86522,6.05298,6.06183
0.309,0.01,18.5246,9.86492,6.05278,6.06176
0.311,0.01,18.5237,9.86462,6.05257,6.06168
0.313,0.01,18.5228,9.86432,6.05236,6.06161
0.315,0.01,18.5219,9.86402,6.05214,6.06154
0.317,0.01,18.521,9.86372,6.05193,6.06146
0.319,0.01,18.5201,9.86343,6.05171,6.06139
0.321,0.01,18.5192,9.86313,6.05148,6.06132
0.323,0.01,18.5183,9.86283,6.03532,6.06124
0.325,0.01,18.5174,9.86253,6.03476,6.06117
0.327,0.01,18.5165,9.86223,6.0342,6.0611
0.329,0.01,18.5156,9.86193,6.03362,6.06102
0.331,0.01,18.5147,9.86163,6.03304,6.06095
0.333,0.01,18.5138,9.86133,6.03245,6.06088
0.335,0.01,18.5129,9.86103,6.03186,6.0608
0.337,0.01,18.512,9.86073,6.03125,6.06073
0.339,0.01,18.5111,9.86043,6.03064,6.06066
0.341,0.01,18.5102,9.86013,6.03003,6.06058
0.343,0.01,18.5093,9.85983,6.0294,6.06051
0.345,0.01,18.5084,9.85953,6.02877,6.06044
0.347,0.01,18.5075,9.85923,6.02813,6.06036
0.349,0.01,18.5066,9.85893,6.02748,6.06029
0.351,0.01,18.5057,9.85863,6.02682,6.06022
0.353,0.01,18.5048,9.85833,6.02616,6.06014
0.355,0.01,18.5039,9.85803,6.02549,6.06007
0.357,0.01,18.5031,9.85773,6.02481,6.06
0.359,0.01,18.5022,9.85743,6.02412,6.05992
0.361,0.01,18.5013,9.85713,6.02343,6.05985
0.363,0.01,18.5004,9.85683,6.02273,6.05978
0.365,0.01,18.4995,9.85654,6.02202,6.0597
0.367,0.01,18.4986,9.85624,6.0213,6.05963
0.369,0.01,18.4977,9.85593,6.02058,6.05956
0.371,0.01,18.4968,9.85563,6.01985,6.05948
0.373,0.01,18.4959,9.85533,6.01911,6.05941
0.375,0.01,18.495,9.85504,6.01836,6.05934
0.377,0.01,18.4941,9.85474,6.0176,6.05926
0.379,0.01,18.4932,9.85444,6.01684,6.05919
0.381,0.01,18.4923,9.85414,6.01607,6.05912
0.383,0.01,18.4914,9.85384,6.01529,6.05904
0.385,0.01,18.4905,9.85354,6.0145,6.05897
0.387,0.01,18.4897,9.85325,6.01371,6.0589
0.389,0.01,18.4888,9.85295,6.0129,6.05883
0.391,0.01,18.4879,9.85265,6.01209,6.05875
0.393,0.01,18.487,9.85235,6.01127,6.05868
0.395,0.01,18.4861,9.85205,6.01045,6.05861
0.397,0.01,18.4852,9.85176,6.00961,6.05853
0.399,0.01,18.4843,9.85146,6.00877,6.05846
0.401,0.01,18.4834,9.85116,6.00792,6.05839
0.403,0.01,18.4825,9.85086,6.05719,6.05831
0.405,0.01,18.4816,9.85056,6.05633,6.05824
0.407,0.01,18.4807,9.85026,6.05545,6.05817
0.409,0.01,18.4798,9.84996,6.05501,6.05809
0.411,0.01,18.4789,9.84966,6.05396,6.05802
0.413,0.01,18.478,9.84936,6.05386,6.05794
0.415,0.01,18.4771,9.84906,6.05376,6.05787
0.417,0.01,18.4762,9.84876,6.05366,6.0578
0.419,0.01,18.4753,9.84847,6.05356,6.05772
0.421,0.01,18.4744,9.84817,6.04942,6.05765
0.423,0.01,18.4735,9.84787,6.04922,6.05758
0.425,0.01,18.4726,9.84757,6.04903,6.0575
0.427,0.01,18.4717,9.84727,6.04883,6.05743
0.429,0.01,18.4708,9.84697,6.04863,6.05735
0.431,0.01,18.4699,9.84667,6.04842,6.05728
0.433,0.01,18.469,9.84637,6.04821,6.05721
0.435,0.01,18.4681,9.84607,6.048,6.05713
0.437,0.01,18.4672,9.84577,6.04779,6.05706
0.439,0.01,18.4663,9.84548,6.04757,6.05699
0.441,0.01,18.4654,9.84518,6.04736,6.05691
0.443,0.01,18.4645,9.84488,6.04714,6.05684
0.445,0.01,18.4636,9.84458,6.04691,6.05676
0.447,0.01,18.4627,9.84428,6.04669,6.05669
0.449,0.01,18.4618,9.84398,6.04646,6.05662
0.451,0.01,18.4609,9.84368,6.04622,6.05654
0.453,0.01,18.46,9.84338,6.04599,6.05647
0.455,0.01,18.4591,9.84309,6.04575,6.0564
0.457,0.01,18.4582,9.84279,6.04551,6.05632
0.459,0.01,18.4573,9.84249,6.04527,6.05625
0.461,0.01,18.4564,9.84219,6.04502,6.05617
0.463,0.01,18.4555,9.84189,6.04477,6.0561
0.465,0.01,18.4546,9.84159,6.04452,6.05603
0.467,0.01,18.4537,9.84129,6.04426,6.05595
0.469,0.01,18.4528,9.84099,6.0247,6.05588
0.471,0.01,18.4519,9.84069,6.02414,6.05581
0.473,0.01,18.451,9.8404,6.02358,6.05573
0.475,0.01,18.4501,9.8401,6.02301,6.05566
0.477,0.01,18.4493,9.8398,6.02243,6.05559
0.479,0.01,18.4484,9.8395,6.02185,6.05551
0.481,0.01,18.4475,9.8392,6.02127,6.05544
0.483,0.01,18.4466,9.8389,6.02067,6.05537
0.485,0.01,18.4457,9.8386,6.02008,6.05529
0.487,0.01,18.4448,9.8383,6.01947,6.05522
0.489,0.01,18.4439,9.83801,6.01887,6.05515
0.491,0.01,18.443,9.83771,6.01825,6.05507
0.493,0.01,18.4421,9.83741,6.01763,6.055
0.495,0.01,18.4412,9.83711,6.017,6.05493
0.497,0.01,18.4403,9.83681,6.01637,6.05485
