x,rho,E,F,T,Tr
0.001,0.01,21.136,7.43818,6.24834,6.26494
0.003,0.01,21.1354,7.43783,6.23874,6.2649
0.005,0.01,21.1348,7.43748,6.23099,6.26486
0.007,0.01,21.1342,7.43713,6.22274,6.26481
0.009,0.01,21.1337,7.43679,6.21703,6.26477
0.011,0.01,21.1331,7.43644,6.21696,6.26473
0.013,0.01,21.1325,7.43609,6.21546,6.26469
0.015,0.01,21.1319,7.43575,6.2154,6.26464
0.017,0.01,21.1314,7.4354,6.21534,6.2646
0.019,0.01,21.1308,7.43505,6.21383,6.26456
0.021,0.01,21.1302,7.4347,6.21376,6.26451
0.023,0.01,21.1296,7.43435,6.25948,6.26447
0.025,0.01,21.1291,7.434,6.25941,6.26443
0.027,0.01,21.1285,7.43365,6.25787,6.26439
0.029,0.01,21.1279,7.4333,6.2578,6.26434
0.031,0.01,21.1273,7.43295,6.25626,6.2643
0.033,0.01,21.1267,7.4326,6.25478,6.26426
0.035,0.01,21.1261,7.43225,6.25471,6.26421
0.037,0.01,21.1256,7.4319,6.25183,6.26417
0.039,0.01,21.125,7.43155,6.25011,6.26413
0.041,0.01,21.1244,7.43121,6.24867,6.26408
0.043,0.01,21.1238,7.43086,6.24701,6.26404
0.045,0.01,21.1232,7.43051,6.24514,6.264
0.047,0.01,21.1227,7.43016,6.24507,6.26395
0.049,0.01,21.1221,7.42981,6.24194,6.26391
0.051,0.01,21.1215,7.42946,6.24076,6.26387
0.053,0.01,21.1209,7.42911,6.23955,6.26383
0.055,0.01,21.1203,7.42876,6.23712,6.26378
0.057,0.01,21.1198,7.42841,6.23582,6.26374
0.059,0.01,21.1192,7.42806,6.23194,6.2637
0.061,0.01,21.1186,7.42772,6.23056,6.26365
0.063,0.01,21.118,7.42737,6.22917,6.26361
0.065,0.01,21.1174,7.42702,6.22776,6.26357
0.067,0.01,21.1169,7.42667,6.22499,6.26353
0.069,0.01,21.1163,7.42632,6.22216,6.26348
0.071,0.01,21.1157,7.42597,6.22069,6.26344
0.073,0.01,21.1151,7.42562,6.21639,6.2634
0.075,0.01,21.1146,7.42527,6.21632,6.26335
0.077,0.01,21.114,7.42492,6.21625,6.26331
0.079,0.01,21.1134,7.42457,6.21619,6.26327
0.081,0.01,21.1128,7.42422,6.25755,6.26323
0.083,0.01,21.1123,7.42388,6.25748,6.26318
0.085,0.01,21.1117,7.42353,6.25741,6.26314
0.087,0.01,21.1111,7.42318,6.25585,6.2631
0.089,0.01,21.1105,7.42284,6.25578,6.26305
0.091,0.01,21.1099,7.42249,6.25571,6.26301
