x,rho,E,F,T,Tr
0.001,0.01,21.1897,7.38446,6.24834,6.26892
0.003,0.01,21.1891,7.38412,6.23874,6.26888
0.005,0.01,21.1886,7.38377,6.23099,6.26883
0.007,0.01,21.188,7.38343,6.22274,6.26879
0.009,0.01,21.1874,7.38308,6.26718,6.26875
0.011,0.01,21.1868,7.38274,6.26711,6.26871
0.013,0.01,21.1862,7.38239,6.26561,6.26866
0.015,0.01,21.1857,7.38204,6.26555,6.26862
0.017,0.01,21.1851,7.3817,6.2655,6.26858
0.019,0.01,21.1845,7.38135,6.26398,6.26854
0.021,0.01,21.1839,7.381,6.26391,6.26849
0.023,0.01,21.1833,7.38066,6.25948,6.26845
0.025,0.01,21.1828,7.38032,6.25941,6.26841
0.027,0.01,21.1822,7.37998,6.25787,6.26836
0.029,0.01,21.1816,7.37964,6.2578,6.26832
0.031,0.01,21.181,7.3793,6.25626,6.26828
0.033,0.01,21.1804,7.37895,6.25478,6.26823
0.035,0.01,21.1799,7.37861,6.25471,6.26819
0.037,0.01,21.1793,7.37827,6.25183,6.26815
0.039,0.01,21.1787,7.37792,6.25011,6.26811
0.041,0.01,21.1781,7.37758,6.24867,6.26806
0.043,0.01,21.1775,7.37723,6.24701,6.26802
0.045,0.01,21.177,7.37689,6.24514,6.26798
0.047,0.01,21.1764,7.37654,6.24507,6.26793
0.049,0.01,21.1758,7.37619,6.24194,6.26789
0.051,0.01,21.1752,7.37585,6.24076,6.26785
0.053,0.01,21.1747,7.37551,6.23955,6.26781
0.055,0.01,21.1741,7.37516,6.23712,6.26776
0.057,0.01,21.1735,7.3748,6.23582,6.26772
0.059,0.01,21.1729,7.37446,6.23194,6.26768
0.061,0.01,21.1724,7.37412,6.23056,6.26764
0.063,0.01,21.1718,7.37378,6.22917,6.26759
0.065,0.01,21.1712,7.37343,6.22776,6.26755
0.067,0.01,21.1706,7.37309,6.22499,6.26751
0.069,0.01,21.1701,7.37274,6.22216,6.26747
0.071,0.01,21.1695,7.3724,6.22069,6.26742
0.073,0.01,21.1689,7.37206,6.26655,6.26738
0.075,0.01,21.1683,7.37171,6.26648,6.26734
0.077,0.01,21.1677,7.37137,6.26642,6.26729
0.079,0.01,21.1672,7.37103,6.26635,6.26725
0.081,0.01,21.1666,7.37068,6.25755,6.26721
0.083,0.01,21.166,7.37034,6.25748,6.26716
0.085,0.01,21.1654,7.37,6.25741,6.26712
0.087,0.01,21.1648,7.36966,6.25585,6.26708
0.089,0.01,21.1642,7.36932,6.25578,6.26704
0.091,0.01,21.1637,7.36899,6.25571,6.26699
0.093,0.01,21.1631,7.36865,6.25416,6.26695
0.095,0.01,21.1625,7.36831,6.25409,6.26691
0.097,0.01,21.1619,7.36797,6.25402,6.26686
0.099,0.01,21.1613,7.36763,6.25395,6.26682
0.101,0.01,21.1608,7.36729,6.25239,6.26678
0.103,0.01,21.1602,7.36694,6.25231,6.26674
0.105,0.01,21.1596,7.3666,6.24942,6.26669
0.107,0.01,21.159,7.36626,6.24935,6.26665
0.109,0.01,21.1585,7.36592,6.24927,6.26661
0.111,0.01,21.1579,7.36557,6.24759,6.26656
0.113,0.01,21.1573,7.36523,6.24752,6.26652
0.115,0.01,21.1567,7.36489,6.2461,6.26648
0.117,0.01,21.1561,7.36455,6.24603,6.26643
0.119,0.01,21.1555,7.36421,6.24439,6.26639
0.121,0.01,21.155,7.36387,6.24432,6.26635
0.123,0.01,21.1544,7.36353,6.24247,6.26631
0.125,0.01,21.1538,7.36319,6.2424,6.26626
0.127,0.01,21.1532,7.36285,6.2393,6.26622
0.129,0.01,21.1526,7.36251,6.23923,6.26618
0.131,0.01,21.1521,7.36217,6.23916,6.26613
0.133,0.01,21.1515,7.36183,6.23798,6.26609
0.135,0.01,21.1509,7.36148,6.23678,6.26605
0.137,0.01,21.1503,7.36114,6.23671,6.266
0.139,0.01,21.1497,7.3608,6.23664,6.26596
0.141,0.01,21.1492,7.36046,6.23421,6.26592
0.143,0.01,21.1486,7.36012,6.23292,6.26588
0.145,0.01,21.148,7.35979,6.22904,6.26583
0.147,0.01,21.1474,7.35945,6.22897,6.26579
0.149,0.01,21.1468,7.35911,6.22759,6.26575
0.151,0.01,21.1462,7.35877,6.22752,6.2657
0.153,0.01,21.1457,7.35844,6.22612,6.26566
0.155,0.01,21.1451,7.3581,6.22471,6.26562
0.157,0.01,21.1445,7.35775,6.22464,6.26557
0.159,0.01,21.1439,7.35741,6.22187,6.26553
0.161,0.01,21.1434,7.35707,6.2218,6.26549
0.163,0.01,21.1428,7.35673,6.21896,6.26545
0.165,0.01,21.1422,7.35639,6.21749,6.2654
0.167,0.01,21.1416,7.35604,6.21742,6.26536
0.169,0.01,21.1411,7.35569,6.26469,6.26532
0.171,0.01,21.1405,7.35535,6.26319,6.26528
0.173,0.01,21.1399,7.35501,6.26312,6.26523
0.175,0.01,21.1393,7.35468,6.26305,6.26519
0.177,0.01,21.1387,7.35434,6.26154,6.26514
0.179,0.01,21.1381,7.354,6.26148,6.2651
0.181,0.01,21.1375,7.35366,6.26141,6.26506
0.183,0.01,21.137,7.35332,6.26134,6.26501
0.185,0.01,21.1364,7.35297,6.26127,6.26497
0.187,0.01,21.1358,7.35263,6.2612,6.26493
0.189,0.01,21.1352,7.35229,6.26113,6.26489
0.191,0.01,21.1346,7.35195,6.24928,6.26484
0.193,0.01,21.134,7.35161,6.2492,6.2648
0.195,0.01,21.1335,7.35128,6.24918,6.26476
0.197,0.01,21.1329,7.35094,6.24639,6.26471
0.199,0.01,21.1323,7.35061,6.24632,6.26467
0.201,0.01,21.1317,7.35027,6.24624,6.26462
0.203,0.01,21.1311,7.34994,6.24617,6.26458
0.205,0.01,21.1305,7.3496,6.24471,6.26454
0.207,0.01,21.1299,7.34927,6.24463,6.26449
0.209,0.01,21.1294,7.34893,6.24456,6.26445
0.211,0.01,21.1288,7.34859,6.24263,6.26441
0.213,0.01,21.1282,7.34825,6.24256,6.26437
0.215,0.01,21.1276,7.34791,6.24248,6.26432
0.217,0.01,21.127,7.34758,6.24089,6.26428
0.219,0.01,21.1265,7.34724,6.24082,6.26424
0.221,0.01,21.1259,7.3469,6.24075,6.26419
0.223,0.01,21.1253,7.34657,6.23799,6.26415
0.225,0.01,21.1247,7.34623,6.23792,6.26411
0.227,0.01,21.1241,7.3459,6.23582,6.26406
0.229,0.01,21.1235,7.34556,6.23575,6.26402
0.231,0.01,21.1229,7.34523,6.23568,6.26398
0.233,0.01,21.1223,7.3449,6.23453,6.26393
0.235,0.01,21.1218,7.34456,6.23446,6.26389
0.237,0.01,21.1212,7.34422,6.23439,6.26385
0.239,0.01,21.1206,7.34388,6.23432,6.2638
0.241,0.01,21.12,7.34355,6.23198,6.26376
0.243,0.01,21.1194,7.34321,6.23072,6.26372
0.245,0.01,21.1188,7.34288,6.23065,6.26367
0.247,0.01,21.1183,7.34255,6.23058,6.26363
0.249,0.01,21.1177,7.34221,6.22804,6.26358
0.251,0.01,21.1171,7.34187,6.22797,6.26354
0.253,0.01,21.1165,7.34154,6.22536,6.2635
0.255,0.01,21.1159,7.3412,6.22529,6.26346
0.257,0.01,21.1153,7.34086,6.22522,6.26341
0.259,0.01,21.1148,7.34052,6.22384,6.26337
0.261,0.01,21.1142,7.34018,6.22244,6.26333
0.263,0.01,21.1136,7.33984,6.22237,6.26328
0.265,0.01,21.113,7.3395,6.2223,6.26324
0.267,0.01,21.1124,7.33916,6.22089,6.2632
0.269,0.01,21.1119,7.33882,6.22082,6.26315
0.271,0.01,21.1113,7.33848,6.21805,6.26311
0.273,0.01,21.1107,7.33815,6.2166,6.26307
0.275,0.01,21.1101,7.33781,6.21514,6.26302
0.277,0.01,21.1095,7.33748,6.21507,6.26298
0.279,0.01,21.109,7.33714,6.2136,6.26294
0.281,0.01,21.1084,7.3368,6.21353,6.2629
0.283,0.01,21.1078,7.33645,6.26081,6.26285
0.285,0.01,21.1072,7.33611,6.26074,6.26281
0.287,0.01,21.1066,7.33577,6.26067,6.26277
0.289,0.01,21.1061,7.33543,6.2606,6.26272
0.291,0.01,21.1055,7.33509,6.25766,6.26268
0.293,0.01,21.1049,7.33476,6.25759,6.26264
0.295,0.01,21.1043,7.33443,6.25753,6.26259
0.297,0.01,21.1037,7.33409,6.25746,6.26255
0.299,0.01,21.1031,7.33376,6.25739,6.26251
0.301,0.01,21.1025,7.33343,6.25732,6.26246
0.303,0.01,21.1019,7.33309,6.25725,6.26242
0.305,0.01,21.1014,7.33276,6.25718,6.26237
0.307,0.01,21.1008,7.33242,6.25712,6.26233
0.309,0.01,21.1002,7.33209,6.25705,6.26229
0.311,0.01,21.0996,7.33176,6.25698,6.26224
0.313,0.01,21.099,7.33143,6.25691,6.2622
0.315,0.01,21.0984,7.33109,6.25684,6.26216
0.317,0.01,21.0978,7.33075,6.25677,6.26211
0.319,0.01,21.0972,7.33042,6.2567,6.26207
0.321,0.01,21.0966,7.33008,6.25372,6.26202
0.323,0.01,21.0961,7.32974,6.23919,6.26198
0.325,0.01,21.0955,7.32941,6.23912,6.26194
0.327,0.01,21.0949,7.32908,6.23905,6.26189
0.329,0.01,21.0943,7.32875,6.23897,6.26185
0.331,0.01,21.0937,7.32842,6.2368,6.26181
0.333,0.01,21.0931,7.32808,6.23673,6.26176
0.335,0.01,21.0925,7.32775,6.23666,6.26172
0.337,0.01,21.0919,7.32741,6.23398,6.26168
0.339,0.01,21.0914,7.32707,6.2339,6.26163
0.341,0.01,21.0908,7.32674,6.23383,6.26159
0.343,0.01,21.0902,7.3264,6.23178,6.26155
0.345,0.01,21.0896,7.32607,6.23171,6.2615
0.347,0.01,21.089,7.32574,6.23164,6.26146
0.349,0.01,21.0884,7.3254,6.2305,6.26142
0.351,0.01,21.0879,7.32506,6.23043,6.26137
0.353,0.01,21.0873,7.32473,6.23036,6.26133
0.355,0.01,21.0867,7.32439,6.22805,6.26129
0.357,0.01,21.0861,7.32406,6.22798,6.26124
0.359,0.01,21.0855,7.32373,6.22673,6.2612
0.361,0.01,21.0849,7.3234,6.22666,6.26115
0.363,0.01,21.0843,7.32307,6.22659,6.26111
0.365,0.01,21.0837,7.32273,6.22652,6.26107
0.367,0.01,21.0832,7.3224,6.22275,6.26102
0.369,0.01,21.0826,7.32206,6.22268,6.26098
