x,rho,E,F,T,Tr
0.001,0.01,21.1701,7.40409,6.24834,6.26747
0.003,0.01,21.1695,7.40375,6.23874,6.26742
0.005,0.01,21.1689,7.4034,6.23099,6.26738
0.007,0.01,21.1683,7.40306,6.22274,6.26734
0.009,0.01,21.1678,7.40271,6.21703,6.2673
0.011,0.01,21.1672,7.40236,6.21696,6.26725
0.013,0.01,21.1666,7.40202,6.26561,6.26721
0.015,0.01,21.166,7.40167,6.26555,6.26717
0.017,0.01,21.1655,7.40132,6.2655,6.26713
0.019,0.01,21.1649,7.40098,6.26398,6.26708
0.021,0.01,21.1643,7.40063,6.26391,6.26704
0.023,0.01,21.1637,7.40028,6.25948,6.267
0.025,0.01,21.1631,7.39994,6.25941,6.26695
0.027,0.01,21.1625,7.39959,6.25787,6.26691
0.029,0.01,21.162,7.39924,6.2578,6.26687
0.031,0.01,21.1614,7.39889,6.25626,6.26682
0.033,0.01,21.1608,7.39855,6.25478,6.26678
0.035,0.01,21.1602,7.3982,6.25471,6.26674
0.037,0.01,21.1597,7.39785,6.25183,6.2667
0.039,0.01,21.1591,7.39751,6.25011,6.26665
0.041,0.01,21.1585,7.39716,6.24867,6.26661
0.043,0.01,21.1579,7.39681,6.24701,6.26657
0.045,0.01,21.1573,7.39646,6.24514,6.26652
0.047,0.01,21.1568,7.39611,6.24507,6.26648
0.049,0.01,21.1562,7.39577,6.24194,6.26644
0.051,0.01,21.1556,7.39542,6.24076,6.2664
0.053,0.01,21.155,7.39508,6.23955,6.26635
0.055,0.01,21.1545,7.39472,6.23712,6.26631
0.057,0.01,21.1539,7.39436,6.23582,6.26627
0.059,0.01,21.1534,7.39398,6.23194,6.26623
0.061,0.01,21.1528,7.3936,6.23056,6.26619
0.063,0.01,21.1523,7.39323,6.22917,6.26615
0.065,0.01,21.1517,7.39288,6.22776,6.26611
0.067,0.01,21.1511,7.39253,6.22499,6.26606
0.069,0.01,21.1505,7.39218,6.22216,6.26602
0.071,0.01,21.15,7.39184,6.22069,6.26598
0.073,0.01,21.1494,7.39149,6.21639,6.26594
0.075,0.01,21.1488,7.39114,6.21632,6.26589
0.077,0.01,21.1483,7.39079,6.21625,6.26585
0.079,0.01,21.1477,7.39044,6.21619,6.26581
0.081,0.01,21.1471,7.3901,6.25755,6.26577
0.083,0.01,21.1465,7.38975,6.25748,6.26572
0.085,0.01,21.1459,7.3894,6.25741,6.26568
0.087,0.01,21.1454,7.38905,6.25585,6.26564
0.089,0.01,21.1448,7.38871,6.25578,6.26559
0.091,0.01,21.1442,7.38836,6.25571,6.26555
0.093,0.01,21.1436,7.38802,6.25416,6.26551
0.095,0.01,21.1431,7.38767,6.25409,6.26547
0.097,0.01,21.1425,7.38733,6.25402,6.26542
0.099,0.01,21.1419,7.38698,6.25395,6.26538
0.101,0.01,21.1413,7.38664,6.25239,6.26534
0.103,0.01,21.1407,7.38629,6.25231,6.2653
0.105,0.01,21.1402,7.38594,6.24942,6.26525
0.107,0.01,21.1396,7.3856,6.24935,6.26521
0.109,0.01,21.139,7.38525,6.24927,6.26517
0.111,0.01,21.1384,7.38491,6.24759,6.26512
0.113,0.01,21.1378,7.38456,6.24752,6.26508
0.115,0.01,21.1373,7.38421,6.2461,6.26504
0.117,0.01,21.1367,7.38387,6.24603,6.26499
0.119,0.01,21.1361,7.38352,6.24439,6.26495
0.121,0.01,21.1355,7.38317,6.24432,6.26491
0.123,0.01,21.135,7.38282,6.24247,6.26487
0.125,0.01,21.1344,7.38247,6.2424,6.26482
0.127,0.01,21.1338,7.38212,6.2393,6.26478
0.129,0.01,21.1332,7.38177,6.23923,6.26474
0.131,0.01,21.1327,7.38142,6.23916,6.2647
0.133,0.01,21.1321,7.38108,6.23798,6.26465
0.135,0.01,21.1315,7.38073,6.23678,6.26461
0.137,0.01,21.1309,7.38039,6.23671,6.26457
0.139,0.01,21.1304,7.38004,6.23664,6.26453
0.141,0.01,21.1298,7.3797,6.23421,6.26448
0.143,0.01,21.1292,7.37935,6.23292,6.26444
0.145,0.01,21.1286,7.37901,6.22904,6.2644
0.147,0.01,21.128,7.37866,6.22897,6.26435
0.149,0.01,21.1275,7.37832,6.22759,6.26431
0.151,0.01,21.1269,7.37797,6.22752,6.26427
0.153,0.01,21.1263,7.37763,6.22612,6.26423
0.155,0.01,21.1257,7.37728,6.22471,6.26418
0.157,0.01,21.1252,7.37693,6.22464,6.26414
0.159,0.01,21.1246,7.37658,6.22187,6.2641
0.161,0.01,21.124,7.37623,6.2218,6.26406
0.163,0.01,21.1234,7.37588,6.21896,6.26401
0.165,0.01,21.1229,7.37554,6.21749,6.26397
0.167,0.01,21.1223,7.37519,6.21742,6.26393
0.169,0.01,21.1217,7.37484,6.21454,6.26389
0.171,0.01,21.1211,7.3745,6.26319,6.26384
0.173,0.01,21.1206,7.37416,6.26312,6.2638
0.175,0.01,21.12,7.37381,6.26305,6.26376
0.177,0.01,21.1194,7.37347,6.26154,6.26371
0.179,0.01,21.1188,7.37312,6.26148,6.26367
0.181,0.01,21.1182,7.37278,6.26141,6.26363
0.183,0.01,21.1177,7.37244,6.26134,6.26358
0.185,0.01,21.1171,7.37209,6.26127,6.26354
0.187,0.01,21.1165,7.37175,6.2612,6.2635
0.189,0.01,21.1159,7.3714,6.26113,6.26346
0.191,0.01,21.1153,7.37105,6.24928,6.26341
0.193,0.01,21.1148,7.37071,6.2492,6.26337
0.195,0.01,21.1142,7.37036,6.24918,6.26333
0.197,0.01,21.1136,7.37002,6.24639,6.26328
0.199,0.01,21.113,7.36967,6.24632,6.26324
0.201,0.01,21.1124,7.36933,6.24624,6.2632
0.203,0.01,21.1119,7.36899,6.24617,6.26315
0.205,0.01,21.1113,7.36864,6.24471,6.26311
0.207,0.01,21.1107,7.3683,6.24463,6.26307
0.209,0.01,21.1101,7.36796,6.24456,6.26302
0.211,0.01,21.1095,7.36762,6.24263,6.26298
0.213,0.01,21.109,7.36727,6.24256,6.26294
0.215,0.01,21.1084,7.36693,6.24248,6.2629
0.217,0.01,21.1078,7.36658,6.24089,6.26285
0.219,0.01,21.1072,7.36624,6.24082,6.26281
0.221,0.01,21.1066,7.36589,6.24075,6.26277
0.223,0.01,21.1061,7.36555,6.23799,6.26272
0.225,0.01,21.1055,7.3652,6.23792,6.26268
0.227,0.01,21.1049,7.36486,6.23582,6.26264
0.229,0.01,21.1043,7.36452,6.23575,6.2626
0.231,0.01,21.1037,7.36417,6.23568,6.26255
0.233,0.01,21.1032,7.36383,6.23453,6.26251
0.235,0.01,21.1026,7.36349,6.23446,6.26247
0.237,0.01,21.102,7.36315,6.23439,6.26242
0.239,0.01,21.1014,7.36281,6.23432,6.26238
0.241,0.01,21.1008,7.36246,6.23198,6.26234
0.243,0.01,21.1003,7.36212,6.23072,6.26229
0.245,0.01,21.0997,7.36178,6.23065,6.26225
0.247,0.01,21.0991,7.36143,6.23058,6.26221
0.249,0.01,21.0985,7.36108,6.22804,6.26217
0.251,0.01,21.098,7.36074,6.22797,6.26212
0.253,0.01,21.0974,7.3604,6.22536,6.26208
0.255,0.01,21.0968,7.36006,6.22529,6.26204
0.257,0.01,21.0962,7.35972,6.22522,6.26199
0.259,0.01,21.0956,7.35938,6.22384,6.26195
0.261,0.01,21.095,7.35904,6.22244,6.26191
0.263,0.01,21.0945,7.3587,6.22237,6.26186
0.265,0.01,21.0939,7.35836,6.2223,6.26182
0.267,0.01,21.0933,7.35802,6.22089,6.26178
0.269,0.01,21.0927,7.35767,6.22082,6.26173
0.271,0.01,21.0921,7.35733,6.21805,6.26169
0.273,0.01,21.0916,7.35698,6.2166,6.26165
0.275,0.01,21.091,7.35664,6.21514,6.26161
0.277,0.01,21.0904,7.35629,6.21507,6.26156
0.279,0.01,21.0898,7.35595,6.2136,6.26152
0.281,0.01,21.0893,7.35561,6.21353,6.26148
0.283,0.01,21.0887,7.35525,6.26081,6.26144
0.285,0.01,21.0881,7.35491,6.26074,6.26139
0.287,0.01,21.0875,7.35457,6.26067,6.26135
0.289,0.01,21.0869,7.35424,6.2606,6.26131
0.291,0.01,21.0864,7.3539,6.25766,6.26126
0.293,0.01,21.0858,7.35356,6.25759,6.26122
0.295,0.01,21.0852,7.35322,6.25753,6.26118
0.297,0.01,21.0846,7.35287,6.25746,6.26113
0.299,0.01,21.084,7.35253,6.25739,6.26109
0.301,0.01,21.0835,7.35219,6.25732,6.26105
0.303,0.01,21.0829,7.35185,6.25725,6.261
0.305,0.01,21.0823,7.35151,6.25718,6.26096
0.307,0.01,21.0817,7.35117,6.25712,6.26092
0.309,0.01,21.0811,7.35084,6.25705,6.26087
0.311,0.01,21.0805,7.3505,6.25698,6.26083
0.313,0.01,21.0799,7.35017,6.25691,6.26079
0.315,0.01,21.0794,7.34983,6.25684,6.26074
0.317,0.01,21.0788,7.34949,6.25677,6.2607
0.319,0.01,21.0782,7.34915,6.2567,6.26066
0.321,0.01,21.0776,7.34882,6.25372,6.26061
0.323,0.01,21.077,7.34848,6.23919,6.26057
0.325,0.01,21.0764,7.34813,6.23912,6.26053
0.327,0.01,21.0759,7.34779,6.23905,6.26048
0.329,0.01,21.0753,7.34745,6.23897,6.26044
0.331,0.01,21.0747,7.34711,6.2368,6.2604
0.333,0.01,21.0741,7.34677,6.23673,6.26035
0.335,0.01,21.0735,7.34643,6.23666,6.26031
0.337,0.01,21.0729,7.34609,6.23398,6.26027
0.339,0.01,21.0724,7.34576,6.2339,6.26022
0.341,0.01,21.0718,7.34542,6.23383,6.26018
0.343,0.01,21.0712,7.34509,6.23178,6.26013
0.345,0.01,21.0706,7.34475,6.23171,6.26009
0.347,0.01,21.07,7.34441,6.23164,6.26005
0.349,0.01,21.0694,7.34407,6.2305,6.26
0.351,0.01,21.0688,7.34373,6.23043,6.25996
0.353,0.01,21.0683,7.34339,6.23036,6.25992
0.355,0.01,21.0677,7.34305,6.22805,6.25987
0.357,0.01,21.0671,7.34272,6.22798,6.25983
0.359,0.01,21.0665,7.34238,6.22673,6.25979
0.361,0.01,21.0659,7.34204,6.22666,6.25974
0.363,0.01,21.0653,7.34171,6.22659,6.2597
0.365,0.01,21.0648,7.34137,6.22652,6.25966
0.367,0.01,21.0642,7.34103,6.22275,6.25961
0.369,0.01,21.0636,7.34068,6.22268,6.25957
0.371,0.01,21.063,7.34034,6.22261,6.25953
0.373,0.01,21.0624,7.34,6.22254,6.25948
0.375,0.01,21.0619,7.33966,6.22119,6.25944
