x,rho,E,F,T,Tr
0.001,0.01,21.1584,7.4158,6.24834,6.2666
0.003,0.01,21.1578,7.41545,6.23874,6.26656
0.005,0.01,21.1572,7.4151,6.23099,6.26652
0.007,0.01,21.1566,7.41474,6.22274,6.26647
0.009,0.01,21.1561,7.4144,6.21703,6.26643
0.011,0.01,21.1555,7.41405,6.21696,6.26639
0.013,0.01,21.1549,7.41371,6.26561,6.26634
0.015,0.01,21.1543,7.41336,6.26555,6.2663
0.017,0.01,21.1537,7.41302,6.2655,6.26626
0.019,0.01,21.1532,7.41267,6.26398,6.26622
0.021,0.01,21.1526,7.41232,6.26391,6.26617
0.023,0.01,21.152,7.41198,6.25948,6.26613
0.025,0.01,21.1514,7.41163,6.25941,6.26609
0.027,0.01,21.1508,7.41129,6.25787,6.26604
0.029,0.01,21.1503,7.41094,6.2578,6.266
0.031,0.01,21.1497,7.41059,6.25626,6.26596
0.033,0.01,21.1491,7.41023,6.25478,6.26592
0.035,0.01,21.1486,7.40988,6.25471,6.26587
0.037,0.01,21.148,7.40952,6.25183,6.26583
0.039,0.01,21.1474,7.40917,6.25011,6.26579
0.041,0.01,21.1468,7.40883,6.24867,6.26575
0.043,0.01,21.1462,7.40848,6.24701,6.2657
0.045,0.01,21.1457,7.40813,6.24514,6.26566
0.047,0.01,21.1451,7.40778,6.24507,6.26562
0.049,0.01,21.1445,7.40744,6.24194,6.26557
0.051,0.01,21.1439,7.40709,6.24076,6.26553
0.053,0.01,21.1434,7.40674,6.23955,6.26549
0.055,0.01,21.1428,7.40639,6.23712,6.26545
0.057,0.01,21.1422,7.40605,6.23582,6.2654
0.059,0.01,21.1416,7.4057,6.23194,6.26536
0.061,0.01,21.141,7.40535,6.23056,6.26532
0.063,0.01,21.1405,7.405,6.22917,6.26527
0.065,0.01,21.1399,7.40466,6.22776,6.26523
0.067,0.01,21.1393,7.40431,6.22499,6.26519
0.069,0.01,21.1387,7.40396,6.22216,6.26515
0.071,0.01,21.1382,7.40361,6.22069,6.2651
0.073,0.01,21.1376,7.40327,6.21639,6.26506
0.075,0.01,21.137,7.40292,6.21632,6.26502
0.077,0.01,21.1364,7.40257,6.21625,6.26498
0.079,0.01,21.1359,7.40222,6.21619,6.26493
0.081,0.01,21.1353,7.40187,6.25755,6.26489
0.083,0.01,21.1347,7.40153,6.25748,6.26485
0.085,0.01,21.1341,7.40118,6.25741,6.26481
0.087,0.01,21.1335,7.40083,6.25585,6.26476
0.089,0.01,21.133,7.40048,6.25578,6.26472
