x,rho,E,F,T,Tr
0.001,0.01,21.1684,7.40581,6.24834,6.26734
0.003,0.01,21.1678,7.40546,6.23874,6.2673
0.005,0.01,21.1672,7.40512,6.23099,6.26725
0.007,0.01,21.1666,7.40477,6.22274,6.26721
0.009,0.01,21.1661,7.40442,6.21703,6.26717
0.011,0.01,21.1655,7.40408,6.21696,6.26713
0.013,0.01,21.1649,7.40373,6.26561,6.26708
0.015,0.01,21.1643,7.40338,6.26555,6.26704
0.017,0.01,21.1637,7.40304,6.2655,6.267
0.019,0.01,21.1632,7.40269,6.26398,6.26696
0.021,0.01,21.1626,7.40234,6.26391,6.26691
0.023,0.01,21.162,7.402,6.25948,6.26687
0.025,0.01,21.1614,7.40165,6.25941,6.26683
0.027,0.01,21.1608,7.4013,6.25787,6.26678
0.029,0.01,21.1603,7.40096,6.2578,6.26674
0.031,0.01,21.1597,7.40061,6.25626,6.2667
0.033,0.01,21.1591,7.40026,6.25478,6.26665
0.035,0.01,21.1585,7.39992,6.25471,6.26661
0.037,0.01,21.1579,7.39957,6.25183,6.26657
0.039,0.01,21.1574,7.39922,6.25011,6.26653
0.041,0.01,21.1568,7.39887,6.24867,6.26648
0.043,0.01,21.1562,7.39853,6.24701,6.26644
0.045,0.01,21.1556,7.39818,6.24514,6.2664
0.047,0.01,21.155,7.39783,6.24507,6.26635
0.049,0.01,21.1545,7.39748,6.24194,6.26631
0.051,0.01,21.1539,7.39713,6.24076,6.26627
0.053,0.01,21.1533,7.39679,6.23955,6.26623
0.055,0.01,21.1527,7.39644,6.23712,6.26618
0.057,0.01,21.1522,7.39609,6.23582,6.26614
0.059,0.01,21.1516,7.39574,6.23194,6.2661
0.061,0.01,21.151,7.3954,6.23056,6.26606
0.063,0.01,21.1504,7.39505,6.22917,6.26601
0.065,0.01,21.1499,7.3947,6.22776,6.26597
0.067,0.01,21.1493,7.39433,6.22499,6.26593
0.069,0.01,21.1488,7.39395,6.22216,6.26589
0.071,0.01,21.1482,7.39357,6.22069,6.26585
0.073,0.01,21.1477,7.39321,6.21639,6.26581
0.075,0.01,21.1471,7.39285,6.21632,6.26577
0.077,0.01,21.1465,7.3925,6.21625,6.26572
0.079,0.01,21.146,7.39216,6.21619,6.26568
0.081,0.01,21.1454,7.39181,6.25755,6.26564
0.083,0.01,21.1448,7.39147,6.25748,6.2656
0.085,0.01,21.1442,7.39112,6.25741,6.26555
0.087,0.01,21.1437,7.39077,6.25585,6.26551
0.089,0.01,21.1431,7.39043,6.25578,6.26547
0.091,0.01,21.1425,7.39008,6.25571,6.26543
