x,rho,E,F,T,Tr
0.001,0.01,21.1315,7.44269,6.24834,6.26461
0.003,0.01,21.1309,7.44234,6.23874,6.26457
0.005,0.01,21.1303,7.44199,6.23099,6.26452
0.007,0.01,21.1297,7.44163,6.22274,6.26448
0.009,0.01,21.1292,7.44128,6.21703,6.26444
0.011,0.01,21.1286,7.44093,6.21696,6.2644
0.013,0.01,21.128,7.44057,6.21546,6.26435
0.015,0.01,21.1275,7.44022,6.2154,6.26431
0.017,0.01,21.1269,7.43988,6.21534,6.26427
0.019,0.01,21.1263,7.43953,6.21383,6.26422
0.021,0.01,21.1257,7.43918,6.21376,6.26418
0.023,0.01,21.1251,7.43883,6.25948,6.26414
0.025,0.01,21.1246,7.43848,6.25941,6.2641
0.027,0.01,21.124,7.43813,6.25787,6.26405
0.029,0.01,21.1234,7.43778,6.2578,6.26401
0.031,0.01,21.1228,7.43743,6.25626,6.26397
0.033,0.01,21.1222,7.43708,6.25478,6.26392
0.035,0.01,21.1216,7.43674,6.25471,6.26388
0.037,0.01,21.1211,7.43639,6.25183,6.26384
0.039,0.01,21.1205,7.43604,6.25011,6.26379
0.041,0.01,21.1199,7.43569,6.24867,6.26375
0.043,0.01,21.1193,7.43535,6.24701,6.26371
0.045,0.01,21.1187,7.435,6.24514,6.26366
0.047,0.01,21.1182,7.43464,6.24507,6.26362
0.049,0.01,21.1176,7.43429,6.24194,6.26358
0.051,0.01,21.117,7.43394,6.24076,6.26354
0.053,0.01,21.1164,7.43359,6.23955,6.26349
0.055,0.01,21.1158,7.43324,6.23712,6.26345
0.057,0.01,21.1153,7.43289,6.23582,6.26341
0.059,0.01,21.1147,7.43254,6.23194,6.26336
0.061,0.01,21.1141,7.43219,6.23056,6.26332
0.063,0.01,21.1135,7.43184,6.22917,6.26328
0.065,0.01,21.113,7.43149,6.22776,6.26324
0.067,0.01,21.1124,7.43115,6.22499,6.26319
0.069,0.01,21.1118,7.4308,6.22216,6.26315
0.071,0.01,21.1112,7.43045,6.22069,6.26311
0.073,0.01,21.1106,7.4301,6.21639,6.26306
0.075,0.01,21.1101,7.42975,6.21632,6.26302
0.077,0.01,21.1095,7.4294,6.21625,6.26298
0.079,0.01,21.1089,7.42905,6.21619,6.26294
0.081,0.01,21.1083,7.4287,6.25755,6.26289
0.083,0.01,21.1078,7.42835,6.25748,6.26285
0.085,0.01,21.1072,7.428,6.25741,6.26281
0.087,0.01,21.1066,7.42765,6.25585,6.26276
0.089,0.01,21.106,7.4273,6.25578,6.26272
0.091,0.01,21.1054,7.42695,6.25571,6.26268
0.093,0.01,21.1048,7.4266,6.25416,6.26263
0.095,0.01,21.1043,7.42626,6.25409,6.26259
0.097,0.01,21.1037,7.4259,6.25402,6.26255
0.099,0.01,21.1031,7.42555,6.25395,6.2625
0.101,0.01,21.1025,7.4252,6.25239,6.26246
0.103,0.01,21.1019,7.42485,6.25231,6.26242
0.105,0.01,21.1014,7.4245,6.24942,6.26238
0.107,0.01,21.1008,7.42415,6.24935,6.26233
0.109,0.01,21.1002,7.4238,6.24927,6.26229
0.111,0.01,21.0996,7.42346,6.24759,6.26225
0.113,0.01,21.099,7.42311,6.24752,6.2622
0.115,0.01,21.0985,7.42276,6.2461,6.26216
0.117,0.01,21.0979,7.42241,6.24603,6.26212
0.119,0.01,21.0973,7.42207,6.24439,6.26207
0.121,0.01,21.0967,7.42172,6.24432,6.26203
0.123,0.01,21.0961,7.42137,6.24247,6.26199
0.125,0.01,21.0955,7.42102,6.2424,6.26194
0.127,0.01,21.095,7.42067,6.2393,6.2619
0.129,0.01,21.0944,7.42032,6.23923,6.26186
0.131,0.01,21.0938,7.41997,6.23916,6.26182
0.133,0.01,21.0932,7.41962,6.23798,6.26177
0.135,0.01,21.0927,7.41926,6.23678,6.26173
0.137,0.01,21.0921,7.41891,6.23671,6.26169
0.139,0.01,21.0915,7.41857,6.23664,6.26164
0.141,0.01,21.0909,7.41822,6.23421,6.2616
0.143,0.01,21.0904,7.41786,6.23292,6.26156
0.145,0.01,21.0898,7.41751,6.22904,6.26152
0.147,0.01,21.0892,7.41716,6.22897,6.26147
0.149,0.01,21.0886,7.41681,6.22759,6.26143
0.151,0.01,21.088,7.41646,6.22752,6.26139
0.153,0.01,21.0875,7.41611,6.22612,6.26134
0.155,0.01,21.0869,7.41576,6.22471,6.2613
0.157,0.01,21.0863,7.41541,6.22464,6.26126
0.159,0.01,21.0857,7.41505,6.22187,6.26122
0.161,0.01,21.0852,7.4147,6.2218,6.26117
0.163,0.01,21.0846,7.41435,6.21896,6.26113
0.165,0.01,21.084,7.414,6.21749,6.26109
0.167,0.01,21.0834,7.41365,6.21742,6.26105
0.169,0.01,21.0829,7.4133,6.21454,6.261
0.171,0.01,21.0823,7.41295,6.21304,6.26096
0.173,0.01,21.0817,7.4126,6.21298,6.26092
0.175,0.01,21.0811,7.41225,6.21291,6.26087
0.177,0.01,21.0806,7.4119,6.2114,6.26083
0.179,0.01,21.08,7.41155,6.21133,6.26079
0.181,0.01,21.0794,7.4112,6.21126,6.26075
0.183,0.01,21.0788,7.41085,6.21119,6.2607
0.185,0.01,21.0783,7.41049,6.21112,6.26066
0.187,0.01,21.0777,7.41013,6.21106,6.26062
0.189,0.01,21.0772,7.40977,6.21099,6.26058
0.191,0.01,21.0766,7.40942,6.24928,6.26054
0.193,0.01,21.076,7.40906,6.2492,6.26049
0.195,0.01,21.0754,7.40871,6.24918,6.26045
0.197,0.01,21.0748,7.40836,6.24639,6.26041
0.199,0.01,21.0743,7.40801,6.24632,6.26036
0.201,0.01,21.0737,7.40766,6.24624,6.26032
0.203,0.01,21.0731,7.40731,6.24617,6.26028
0.205,0.01,21.0725,7.40696,6.24471,6.26024
0.207,0.01,21.072,7.4066,6.24463,6.26019
0.209,0.01,21.0714,7.40625,6.24456,6.26015
0.211,0.01,21.0708,7.4059,6.24263,6.26011
0.213,0.01,21.0702,7.40555,6.24256,6.26006
0.215,0.01,21.0696,7.4052,6.24248,6.26002
0.217,0.01,21.0691,7.40485,6.24089,6.25998
0.219,0.01,21.0685,7.4045,6.24082,6.25993
0.221,0.01,21.0679,7.40415,6.24075,6.25989
0.223,0.01,21.0673,7.4038,6.23799,6.25985
0.225,0.01,21.0667,7.40345,6.23792,6.25981
0.227,0.01,21.0662,7.4031,6.23582,6.25976
0.229,0.01,21.0656,7.40275,6.23575,6.25972
0.231,0.01,21.065,7.40239,6.23568,6.25968
0.233,0.01,21.0644,7.40204,6.23453,6.25963
0.235,0.01,21.0639,7.40169,6.23446,6.25959
0.237,0.01,21.0633,7.40134,6.23439,6.25955
0.239,0.01,21.0627,7.40099,6.23432,6.25951
0.241,0.01,21.0621,7.40064,6.23198,6.25946
0.243,0.01,21.0616,7.40029,6.23072,6.25942
0.245,0.01,21.061,7.39994,6.23065,6.25938
0.247,0.01,21.0604,7.39958,6.23058,6.25933
0.249,0.01,21.0598,7.39923,6.22804,6.25929
0.251,0.01,21.0593,7.39888,6.22797,6.25925
0.253,0.01,21.0587,7.39853,6.22536,6.25921
0.255,0.01,21.0581,7.39817,6.22529,6.25916
0.257,0.01,21.0575,7.39782,6.22522,6.25912
0.259,0.01,21.057,7.39747,6.22384,6.25908
0.261,0.01,21.0564,7.39712,6.22244,6.25904
0.263,0.01,21.0558,7.39677,6.22237,6.25899
0.265,0.01,21.0552,7.39641,6.2223,6.25895
0.267,0.01,21.0547,7.39606,6.22089,6.25891
0.269,0.01,21.0541,7.39571,6.22082,6.25887
0.271,0.01,21.0535,7.39536,6.21805,6.25882
0.273,0.01,21.0529,7.39501,6.2166,6.25878
0.275,0.01,21.0524,7.39466,6.21514,6.25874
0.277,0.01,21.0518,7.39431,6.21507,6.25869
0.279,0.01,21.0512,7.39395,6.2136,6.25865
0.281,0.01,21.0507,7.39357,6.21353,6.25861
0.283,0.01,21.0502,7.39317,6.21065,6.25857
0.285,0.01,21.0496,7.39281,6.21058,6.25853
0.287,0.01,21.049,7.39245,6.21051,6.25849
0.289,0.01,21.0484,7.3921,6.21044,6.25845
0.291,0.01,21.0479,7.39175,6.25766,6.2584
0.293,0.01,21.0473,7.3914,6.25759,6.25836
0.295,0.01,21.0467,7.39105,6.25753,6.25832
0.297,0.01,21.0461,7.39069,6.25746,6.25827
0.299,0.01,21.0456,7.39034,6.25739,6.25823
0.301,0.01,21.045,7.38999,6.25732,6.25819
0.303,0.01,21.0444,7.38964,6.25725,6.25815
0.305,0.01,21.0438,7.38929,6.25718,6.2581
0.307,0.01,21.0432,7.38894,6.25712,6.25806
0.309,0.01,21.0427,7.38859,6.25705,6.25802
0.311,0.01,21.0421,7.38824,6.25698,6.25797
0.313,0.01,21.0415,7.38789,6.25691,6.25793
0.315,0.01,21.0409,7.38754,6.25684,6.25789
0.317,0.01,21.0404,7.38719,6.25677,6.25784
0.319,0.01,21.0398,7.38684,6.2567,6.2578
0.321,0.01,21.0392,7.38649,6.25372,6.25776
0.323,0.01,21.0386,7.38614,6.23919,6.25772
0.325,0.01,21.0381,7.38579,6.23912,6.25767
0.327,0.01,21.0375,7.38544,6.23905,6.25763
0.329,0.01,21.0369,7.38509,6.23897,6.25759
0.331,0.01,21.0363,7.38474,6.2368,6.25754
0.333,0.01,21.0358,7.38439,6.23673,6.2575
0.335,0.01,21.0352,7.38405,6.23666,6.25746
0.337,0.01,21.0346,7.3837,6.23398,6.25742
0.339,0.01,21.034,7.38335,6.2339,6.25737
0.341,0.01,21.0335,7.383,6.23383,6.25733
0.343,0.01,21.0329,7.38264,6.23178,6.25729
0.345,0.01,21.0323,7.38229,6.23171,6.25725
0.347,0.01,21.0317,7.38194,6.23164,6.2572
0.349,0.01,21.0312,7.38159,6.2305,6.25716
0.351,0.01,21.0306,7.38124,6.23043,6.25712
0.353,0.01,21.03,7.38089,6.23036,6.25708
0.355,0.01,21.0295,7.38054,6.22805,6.25703
0.357,0.01,21.0289,7.38019,6.22798,6.25699
0.359,0.01,21.0283,7.37984,6.22673,6.25695
0.361,0.01,21.0277,7.3795,6.22666,6.25691
0.363,0.01,21.0272,7.37915,6.22659,6.25686
0.365,0.01,21.0266,7.3788,6.22652,6.25682
0.367,0.01,21.026,7.37845,6.22275,6.25678
0.369,0.01,21.0254,7.3781,6.22268,6.25673
0.371,0.01,21.0248,7.37775,6.22261,6.25669
0.373,0.01,21.0243,7.3774,6.22254,6.25665
0.375,0.01,21.0237,7.37705,6.22119,6.25661
0.377,0.01,21.0231,7.3767,6.21981,6.25656
0.379,0.01,21.0226,7.37635,6.21974,6.25652
0.381,0.01,21.022,7.37599,6.21967,6.25648
0.383,0.01,21.0214,7.37564,6.2196,6.25643
0.385,0.01,21.0208,7.37528,6.21821,6.25639
0.387,0.01,21.0203,7.37494,6.21814,6.25635
0.389,0.01,21.0197,7.37459,6.21539,6.25631
0.391,0.01,21.0191,7.37424,6.21532,6.25626
0.393,0.01,21.0185,7.3739,6.21525,6.25622
0.395,0.01,21.018,7.37355,6.21243,6.25618
0.397,0.01,21.0174,7.3732,6.21236,6.25613
0.399,0.01,21.0168,7.37285,6.2109,6.25609
0.401,0.01,21.0162,7.3725,6.21083,6.25605
0.403,0.01,21.0157,7.37214,6.21076,6.25601
0.405,0.01,21.0151,7.37179,6.20929,6.25596
0.407,0.01,21.0145,7.37144,6.20922,6.25592
0.409,0.01,21.0139,7.37109,6.20915,6.25588
0.411,0.01,21.0134,7.37074,6.20626,6.25584
0.413,0.01,21.0128,7.37039,6.2062,6.25579
0.415,0.01,21.0122,7.37004,6.20613,6.25575
0.417,0.01,21.0116,7.36969,6.20606,6.25571
0.419,0.01,21.0111,7.36934,6.20599,6.25567
0.421,0.01,21.0105,7.36899,6.2532,6.25562
0.423,0.01,21.0099,7.36865,6.25313,6.25558
0.425,0.01,21.0093,7.3683,6.25306,6.25554
0.427,0.01,21.0087,7.36795,6.25299,6.25549
0.429,0.01,21.0082,7.36761,6.25292,6.25545
0.431,0.01,21.0076,7.36726,6.25285,6.25541
0.433,0.01,21.007,7.36691,6.25279,6.25536
0.435,0.01,21.0064,7.36656,6.25272,6.25532
0.437,0.01,21.0058,7.36621,6.25265,6.25528
0.439,0.01,21.0053,7.36586,6.25258,6.25523
0.441,0.01,21.0047,7.36551,6.25251,6.25519
