x,rho,E,F,T,Tr
0.001,0.01,21.0824,7.49173,6.24834,6.26097
0.003,0.01,21.0817,7.4915,6.23874,6.26092
0.005,0.01,21.081,7.49126,6.23099,6.26087
0.007,0.01,21.0804,7.49099,6.22274,6.26082
0.009,0.01,21.0797,7.49071,6.21703,6.26077
0.011,0.01,21.0791,7.49041,6.21696,6.26072
0.013,0.01,21.0785,7.4901,6.21546,6.26068
0.015,0.01,21.0779,7.48978,6.2154,6.26063
0.017,0.01,21.0772,7.48945,6.21534,6.26059
0.019,0.01,21.0766,7.48912,6.21383,6.26054
0.021,0.01,21.0761,7.48878,6.21376,6.2605
0.023,0.01,21.0755,7.48844,6.25948,6.26045
0.025,0.01,21.0749,7.4881,6.25941,6.26041
0.027,0.01,21.0743,7.48775,6.25787,6.26036
0.029,0.01,21.0737,7.4874,6.2578,6.26032
0.031,0.01,21.0731,7.48706,6.25626,6.26028
0.033,0.01,21.0725,7.48672,6.25478,6.26023
0.035,0.01,21.0719,7.48637,6.25471,6.26019
0.037,0.01,21.0713,7.48603,6.25183,6.26014
0.039,0.01,21.0707,7.48569,6.25011,6.2601
0.041,0.01,21.0701,7.48535,6.24867,6.26006
0.043,0.01,21.0695,7.48501,6.24701,6.26001
0.045,0.01,21.0689,7.48467,6.24514,6.25997
0.047,0.01,21.0683,7.48432,6.24507,6.25992
0.049,0.01,21.0677,7.48398,6.24194,6.25988
0.051,0.01,21.0672,7.48363,6.24076,6.25984
0.053,0.01,21.0666,7.48329,6.23955,6.25979
0.055,0.01,21.066,7.48294,6.23712,6.25975
0.057,0.01,21.0654,7.4826,6.23582,6.2597
0.059,0.01,21.0648,7.48226,6.23194,6.25966
0.061,0.01,21.0642,7.48191,6.23056,6.25962
0.063,0.01,21.0636,7.48157,6.22917,6.25957
0.065,0.01,21.063,7.48123,6.22776,6.25953
0.067,0.01,21.0624,7.48089,6.22499,6.25949
0.069,0.01,21.0619,7.48054,6.22216,6.25944
0.071,0.01,21.0613,7.4802,6.22069,6.2594
0.073,0.01,21.0607,7.47985,6.21639,6.25936
0.075,0.01,21.0601,7.47951,6.21632,6.25931
0.077,0.01,21.0595,7.47916,6.21625,6.25927
0.079,0.01,21.0589,7.47881,6.21619,6.25923
0.081,0.01,21.0583,7.47847,6.25755,6.25918
0.083,0.01,21.0578,7.47812,6.25748,6.25914
0.085,0.01,21.0572,7.47777,6.25741,6.25909
0.087,0.01,21.0566,7.47742,6.25585,6.25905
0.089,0.01,21.056,7.47707,6.25578,6.25901
0.091,0.01,21.0554,7.47672,6.25571,6.25896
0.093,0.01,21.0548,7.47637,6.25416,6.25892
0.095,0.01,21.0542,7.47602,6.25409,6.25888
0.097,0.01,21.0536,7.47568,6.25402,6.25883
0.099,0.01,21.0531,7.47533,6.25395,6.25879
0.101,0.01,21.0525,7.47498,6.25239,6.25874
0.103,0.01,21.0519,7.47464,6.25231,6.2587
0.105,0.01,21.0513,7.47429,6.24942,6.25866
0.107,0.01,21.0507,7.47395,6.24935,6.25861
0.109,0.01,21.0501,7.4736,6.24927,6.25857
0.111,0.01,21.0495,7.47325,6.24759,6.25852
0.113,0.01,21.0489,7.4729,6.24752,6.25848
0.115,0.01,21.0483,7.47255,6.2461,6.25844
0.117,0.01,21.0478,7.4722,6.24603,6.25839
0.119,0.01,21.0472,7.47185,6.24439,6.25835
0.121,0.01,21.0466,7.4715,6.24432,6.25831
0.123,0.01,21.046,7.47115,6.24247,6.25826
0.125,0.01,21.0454,7.4708,6.2424,6.25822
0.127,0.01,21.0448,7.47045,6.2393,6.25818
0.129,0.01,21.0442,7.4701,6.23923,6.25813
0.131,0.01,21.0437,7.46975,6.23916,6.25809
0.133,0.01,21.0431,7.4694,6.23798,6.25805
0.135,0.01,21.0425,7.46905,6.23678,6.258
0.137,0.01,21.0419,7.4687,6.23671,6.25796
0.139,0.01,21.0413,7.46835,6.23664,6.25792
0.141,0.01,21.0407,7.468,6.23421,6.25787
0.143,0.01,21.0402,7.46765,6.23292,6.25783
0.145,0.01,21.0396,7.4673,6.22904,6.25779
0.147,0.01,21.039,7.46695,6.22897,6.25774
0.149,0.01,21.0384,7.4666,6.22759,6.2577
0.151,0.01,21.0378,7.46624,6.22752,6.25766
0.153,0.01,21.0373,7.46589,6.22612,6.25761
0.155,0.01,21.0367,7.46553,6.22471,6.25757
0.157,0.01,21.0361,7.46518,6.22464,6.25753
0.159,0.01,21.0355,7.46482,6.22187,6.25749
0.161,0.01,21.035,7.46446,6.2218,6.25744
0.163,0.01,21.0344,7.46411,6.21896,6.2574
0.165,0.01,21.0338,7.46376,6.21749,6.25736
0.167,0.01,21.0332,7.46341,6.21742,6.25731
0.169,0.01,21.0326,7.46306,6.21454,6.25727
0.171,0.01,21.0321,7.46271,6.21304,6.25723
0.173,0.01,21.0315,7.46237,6.21298,6.25718
0.175,0.01,21.0309,7.46202,6.21291,6.25714
0.177,0.01,21.0303,7.46167,6.2114,6.2571
0.179,0.01,21.0298,7.46132,6.21133,6.25706
0.181,0.01,21.0292,7.46096,6.21126,6.25701
0.183,0.01,21.0286,7.46061,6.21119,6.25697
0.185,0.01,21.028,7.46026,6.21112,6.25693
0.187,0.01,21.0274,7.4599,6.21106,6.25688
0.189,0.01,21.0269,7.45955,6.21099,6.25684
0.191,0.01,21.0263,7.4592,6.24928,6.2568
0.193,0.01,21.0257,7.45884,6.2492,6.25676
0.195,0.01,21.0251,7.45849,6.24918,6.25671
0.197,0.01,21.0246,7.45813,6.24639,6.25667
0.199,0.01,21.024,7.45778,6.24632,6.25663
0.201,0.01,21.0234,7.45742,6.24624,6.25658
0.203,0.01,21.0228,7.45706,6.24617,6.25654
0.205,0.01,21.0222,7.4567,6.24471,6.2565
0.207,0.01,21.0217,7.45635,6.24463,6.25645
0.209,0.01,21.0211,7.45599,6.24456,6.25641
0.211,0.01,21.0205,7.45564,6.24263,6.25637
0.213,0.01,21.0199,7.45529,6.24256,6.25632
0.215,0.01,21.0193,7.45494,6.24248,6.25628
0.217,0.01,21.0188,7.45458,6.24089,6.25624
