x,rho,E,F,T,Tr
0.001,0.01,21.1443,7.4299,6.24834,6.26556
0.003,0.01,21.1437,7.42955,6.23874,6.26551
0.005,0.01,21.1431,7.4292,6.23099,6.26547
0.007,0.01,21.1425,7.42885,6.22274,6.26543
0.009,0.01,21.142,7.42851,6.21703,6.26538
0.011,0.01,21.1414,7.42816,6.21696,6.26534
0.013,0.01,21.1408,7.42781,6.21546,6.2653
0.015,0.01,21.1402,7.42746,6.2154,6.26526
0.017,0.01,21.1396,7.42712,6.21534,6.26521
0.019,0.01,21.1391,7.42677,6.26398,6.26517
0.021,0.01,21.1385,7.42642,6.26391,6.26513
0.023,0.01,21.1379,7.42608,6.25948,6.26508
0.025,0.01,21.1373,7.42573,6.25941,6.26504
0.027,0.01,21.1367,7.42538,6.25787,6.265
0.029,0.01,21.1362,7.42503,6.2578,6.26496
0.031,0.01,21.1356,7.42468,6.25626,6.26491
0.033,0.01,21.135,7.42433,6.25478,6.26487
0.035,0.01,21.1344,7.42398,6.25471,6.26483
0.037,0.01,21.1338,7.42364,6.25183,6.26478
0.039,0.01,21.1332,7.42329,6.25011,6.26474
0.041,0.01,21.1327,7.42295,6.24867,6.2647
0.043,0.01,21.1321,7.4226,6.24701,6.26465
0.045,0.01,21.1315,7.42225,6.24514,6.26461
0.047,0.01,21.1309,7.42191,6.24507,6.26457
0.049,0.01,21.1303,7.42156,6.24194,6.26452
0.051,0.01,21.1298,7.42121,6.24076,6.26448
0.053,0.01,21.1292,7.42086,6.23955,6.26444
0.055,0.01,21.1286,7.42052,6.23712,6.2644
0.057,0.01,21.128,7.42017,6.23582,6.26435
0.059,0.01,21.1274,7.41981,6.23194,6.26431
0.061,0.01,21.1269,7.41946,6.23056,6.26427
0.063,0.01,21.1263,7.41912,6.22917,6.26422
0.065,0.01,21.1257,7.41877,6.22776,6.26418
0.067,0.01,21.1251,7.41842,6.22499,6.26414
0.069,0.01,21.1246,7.41808,6.22216,6.2641
0.071,0.01,21.124,7.41773,6.22069,6.26405
0.073,0.01,21.1234,7.41738,6.21639,6.26401
0.075,0.01,21.1229,7.41703,6.21632,6.26397
0.077,0.01,21.1223,7.41668,6.21625,6.26393
0.079,0.01,21.1217,7.41633,6.21619,6.26388
0.081,0.01,21.1211,7.41598,6.25755,6.26384
0.083,0.01,21.1205,7.41563,6.25748,6.2638
0.085,0.01,21.12,7.41528,6.25741,6.26376
0.087,0.01,21.1194,7.41493,6.25585,6.26371
0.089,0.01,21.1188,7.41458,6.25578,6.26367
0.091,0.01,21.1182,7.41423,6.25571,6.26363
0.093,0.01,21.1176,7.41388,6.25416,6.26358
0.095,0.01,21.1171,7.41354,6.25409,6.26354
0.097,0.01,21.1165,7.41319,6.25402,6.2635
0.099,0.01,21.1159,7.41284,6.25395,6.26345
0.101,0.01,21.1153,7.41249,6.25239,6.26341
0.103,0.01,21.1147,7.41215,6.25231,6.26337
