x,rho,E,F,T,Tr
0.001,0.01,18.7238,9.85008,6.04346,6.07799
0.003,0.01,18.7229,9.84979,6.03528,6.07792
0.005,0.01,18.722,9.8495,6.02715,6.07785
0.007,0.01,18.7211,9.84921,6.0692,6.07777
0.009,0.01,18.7202,9.84891,6.06375,6.0777
0.011,0.01,18.7193,9.84862,6.06313,6.07763
0.013,0.01,18.7184,9.84833,6.06243,6.07755
0.015,0.01,18.7175,9.84804,6.06167,6.07748
0.017,0.01,18.7166,9.84774,6.06083,6.07741
0.019,0.01,18.7157,9.84745,6.05993,6.07733
0.021,0.01,18.7148,9.84716,6.05896,6.07726
0.023,0.01,18.7139,9.84687,6.05792,6.07719
0.025,0.01,18.713,9.84657,6.05683,6.07711
0.027,0.01,18.7121,9.84628,6.05566,6.07704
0.029,0.01,18.7112,9.84599,6.05444,6.07697
0.031,0.01,18.7103,9.8457,6.05316,6.0769
0.033,0.01,18.7094,9.84541,6.05182,6.07682
0.035,0.01,18.7085,9.84511,6.05042,6.07675
0.037,0.01,18.7076,9.84482,6.04897,6.07668
0.039,0.01,18.7067,9.84453,6.04746,6.0766
0.041,0.01,18.7058,9.84424,6.04589,6.07653
0.043,0.01,18.7049,9.84395,6.04428,6.07646
0.045,0.01,18.704,9.84366,6.04261,6.07638
0.047,0.01,18.7031,9.84336,6.04089,6.07631
0.049,0.01,18.7022,9.84307,6.03912,6.07624
0.051,0.01,18.7013,9.84278,6.0373,6.07617
0.053,0.01,18.7004,9.84249,6.03544,6.07609
0.055,0.01,18.6995,9.84219,6.03352,6.07602
0.057,0.01,18.6986,9.8419,6.03157,6.07595
0.059,0.01,18.6977,9.84161,6.02956,6.07587
0.061,0.01,18.6969,9.84131,6.02752,6.0758
0.063,0.01,18.696,9.84102,6.02543,6.07573
0.065,0.01,18.6951,9.84073,6.07344,6.07566
0.067,0.01,18.6942,9.84044,6.07127,6.07558
0.069,0.01,18.6933,9.84014,6.06904,6.07551
0.071,0.01,18.6923,9.83985,6.0668,6.07544
0.073,0.01,18.6914,9.83956,6.06452,6.07536
0.075,0.01,18.6905,9.83927,6.06278,6.07529
0.077,0.01,18.6896,9.83898,6.06264,6.07522
0.079,0.01,18.6887,9.83868,6.06249,6.07514
0.081,0.01,18.6878,9.83839,6.05565,6.07507
0.083,0.01,18.6869,9.8381,6.05508,6.075
0.085,0.01,18.686,9.8378,6.05449,6.07492
0.087,0.01,18.6851,9.83751,6.05388,6.07485
0.089,0.01,18.6842,9.83722,6.05325,6.07478
0.091,0.01,18.6833,9.83692,6.0526,6.0747
0.093,0.01,18.6824,9.83663,6.05193,6.07463
0.095,0.01,18.6815,9.83633,6.05125,6.07456
0.097,0.01,18.6806,9.83604,6.05054,6.07448
0.099,0.01,18.6798,9.83574,6.04981,6.07441
0.101,0.01,18.6789,9.83545,6.04907,6.07434
0.103,0.01,18.678,9.83515,6.04831,6.07427
0.105,0.01,18.6771,9.83486,6.04752,6.07419
0.107,0.01,18.6762,9.83457,6.04672,6.07412
0.109,0.01,18.6753,9.83427,6.0459,6.07405
0.111,0.01,18.6744,9.83398,6.04505,6.07397
0.113,0.01,18.6735,9.83368,6.04419,6.0739
0.115,0.01,18.6726,9.83339,6.04331,6.07383
0.117,0.01,18.6717,9.83309,6.04241,6.07376
0.119,0.01,18.6708,9.8328,6.04148,6.07368
0.121,0.01,18.6699,9.8325,6.04054,6.07361
0.123,0.01,18.669,9.8322,6.03958,6.07354
0.125,0.01,18.6681,9.83191,6.0386,6.07347
0.127,0.01,18.6672,9.83161,6.0376,6.07339
0.129,0.01,18.6663,9.83132,6.03658,6.07332
0.131,0.01,18.6654,9.83103,6.03554,6.07325
0.133,0.01,18.6645,9.83073,6.03448,6.07317
0.135,0.01,18.6636,9.83043,6.0334,6.0731
0.137,0.01,18.6627,9.83014,6.0323,6.07303
0.139,0.01,18.6618,9.82984,6.03118,6.07296
0.141,0.01,18.661,9.82955,6.03005,6.07288
0.143,0.01,18.6601,9.82925,6.02889,6.07281
0.145,0.01,18.6592,9.82896,6.02771,6.07274
0.147,0.01,18.6583,9.82866,6.02652,6.07267
0.149,0.01,18.6574,9.82837,6.0253,6.07259
0.151,0.01,18.6565,9.82807,6.02407,6.07252
0.153,0.01,18.6556,9.82778,6.02282,6.07245
0.155,0.01,18.6547,9.82748,6.07167,6.07238
0.157,0.01,18.6538,9.82719,6.07038,6.0723
0.159,0.01,18.6529,9.82689,6.06907,6.07223
0.161,0.01,18.652,9.8266,6.06775,6.07216
0.163,0.01,18.6511,9.82631,6.06641,6.07208
0.165,0.01,18.6502,9.82601,6.06503,6.07201
0.167,0.01,18.6493,9.82572,6.06365,6.07194
0.169,0.01,18.6484,9.82542,6.06224,6.07186
0.171,0.01,18.6475,9.82513,6.06082,6.07179
0.173,0.01,18.6466,9.82483,6.06074,6.07172
0.175,0.01,18.6457,9.82453,6.05896,6.07164
0.177,0.01,18.6448,9.82424,6.0588,6.07157
0.179,0.01,18.6439,9.82394,6.05863,6.0715
0.181,0.01,18.643,9.82365,6.05846,6.07142
0.183,0.01,18.6421,9.82336,6.05828,6.07135
0.185,0.01,18.6412,9.82306,6.05811,6.07128
0.187,0.01,18.6403,9.82277,6.05792,6.0712
0.189,0.01,18.6394,9.82247,6.05774,6.07113
0.191,0.01,18.6385,9.82218,6.04578,6.07106
0.193,0.01,18.6376,9.82188,6.04522,6.07099
0.195,0.01,18.6367,9.82159,6.04464,6.07091
0.197,0.01,18.6358,9.8213,6.04406,6.07084
0.199,0.01,18.6349,9.821,6.04347,6.07077
0.201,0.01,18.6341,9.82071,6.04286,6.07069
0.203,0.01,18.6332,9.82041,6.04225,6.07062
0.205,0.01,18.6323,9.82011,6.04163,6.07055
0.207,0.01,18.6314,9.81982,6.04099,6.07048
0.209,0.01,18.6305,9.81952,6.04034,6.0704
0.211,0.01,18.6296,9.81922,6.03969,6.07033
0.213,0.01,18.6287,9.81893,6.03902,6.07026
0.215,0.01,18.6278,9.81863,6.03834,6.07018
0.217,0.01,18.6269,9.81834,6.03765,6.07011
0.219,0.01,18.626,9.81805,6.03695,6.07004
0.221,0.01,18.6251,9.81775,6.03624,6.06997
0.223,0.01,18.6242,9.81745,6.03551,6.06989
0.225,0.01,18.6233,9.81716,6.03478,6.06982
0.227,0.01,18.6224,9.81686,6.03403,6.06975
0.229,0.01,18.6215,9.81656,6.03328,6.06967
0.231,0.01,18.6207,9.81626,6.03251,6.0696
0.233,0.01,18.6198,9.81596,6.03173,6.06953
0.235,0.01,18.6189,9.81566,6.03094,6.06946
0.237,0.01,18.618,9.81535,6.03014,6.06939
0.239,0.01,18.6171,9.81504,6.02933,6.06931
0.241,0.01,18.6163,9.81471,6.0285,6.06924
0.243,0.01,18.6154,9.81437,6.02767,6.06918
0.245,0.01,18.6146,9.814,6.02682,6.06911
0.247,0.01,18.6138,9.8136,6.02596,6.06904
0.249,0.01,18.6131,9.81315,6.0251,6.06898
0.251,0.01,18.6124,9.81265,6.02422,6.06893
0.253,0.01,18.6118,9.81205,6.02332,6.06888
0.255,0.01,18.6113,9.81135,6.02242,6.06884
0.257,0.01,18.611,9.8105,6.02151,6.06881
0.259,0.01,18.6108,9.80946,6.02058,6.0688
0.261,0.01,18.6109,9.80819,6.01964,6.06881
0.263,0.01,18.6113,9.80663,6.0187,6.06884
0.265,0.01,18.612,9.80472,6.06793,6.0689
0.267,0.01,18.6132,9.80237,6.06689,6.06899
0.269,0.01,18.6148,9.79952,6.06591,6.06913
0.271,0.01,18.6171,9.79607,6.06492,6.06931
0.273,0.01,18.62,9.79193,6.06392,6.06955
0.275,0.01,18.6238,9.78701,6.0629,6.06986
