t,E_left+F_left,E_left-F_left,E_right+F_right,E_right-F_right
0.00377458,28.5696,8.91082,12.807,8.58669
0.00380769,28.5696,8.91393,12.9004,8.58783
0.0038408,28.5696,8.91659,12.9855,8.589
0.00387391,28.5696,8.91969,13.063,8.59018
0.00390702,28.5696,8.92236,13.1336,8.59139
0.00394013,28.5696,8.92545,13.198,8.5926
0.00397324,28.5696,8.92812,13.2568,8.59383
0.00400635,28.5696,8.9312,13.3104,8.59508
0.00403946,28.5696,8.93388,13.3594,8.59633
0.00407258,28.5696,8.93695,13.404,8.5976
0.00410569,28.5696,8.93965,13.4448,8.59887
0.0041388,28.5696,8.94274,13.4821,8.60015
0.00417191,28.5696,8.94543,13.5161,8.60144
0.00420502,28.5696,8.94848,13.5472,8.60275
0.00423813,28.5696,8.9512,13.5757,8.60407
0.00427124,28.5696,8.95427,13.6017,8.60539
0.00430435,28.5696,8.95697,13.6254,8.60672
0.00433746,28.5696,8.96,13.6472,8.60805
0.00437057,28.5696,8.96271,13.6671,8.60939
0.00440368,28.5696,8.96573,13.6854,8.61073
0.00443679,28.5696,8.96844,13.7021,8.61208
0.0044699,28.5696,8.97145,13.7175,8.61343
0.00450301,28.5696,8.97416,13.7316,8.61478
0.00453612,28.5696,8.97717,13.7445,8.61614
0.00456923,28.5696,8.97989,13.7565,8.61749
0.00460234,28.5696,8.98288,13.7675,8.61885
0.00463545,28.5696,8.98562,13.7776,8.62021
0.00466856,28.5696,8.98863,13.7869,8.62158
0.00470167,28.5696,8.99136,13.7956,8.62294
0.00473478,28.5696,8.99434,13.8036,8.62431
0.00476789,28.5696,8.99707,13.811,8.62568
0.004801,28.5696,9.00004,13.8178,8.62705
0.00483411,28.5696,9.00277,13.8242,8.62842
0.00486722,28.5696,9.00574,13.8301,8.62979
0.00490033,28.5696,9.00847,13.8357,8.63117
0.00493344,28.5696,9.01143,13.8409,8.63254
0.00496656,28.5696,9.01417,13.8457,8.63391
0.00499967,28.5696,9.01712,13.8503,8.63529
0.00503278,28.5696,9.01985,13.8545,8.63667
0.00506589,28.5696,9.0228,13.8585,8.63804
0.005099,28.5696,9.02554,13.8623,8.63942
0.00513211,28.5696,9.02929,13.8659,8.6408
0.00516522,28.5696,9.03415,13.8693,8.64218
0.00519833,28.5696,9.04597,13.8725,8.64356
0.00523144,28.5696,9.06598,13.8756,8.64494
0.00526455,28.5696,9.11382,13.8785,8.64632
0.00529766,28.5696,9.19012,13.8813,8.6477
0.00533077,28.5697,9.33726,13.884,8.64908
0.00536388,28.5697,9.54715,13.8865,8.65046
0.00539699,28.5698,9.87672,13.889,8.65184
0.0054301,28.5699,10.2975,13.8914,8.65322
0.00546321,28.5701,10.8495,13.8937,8.6546
0.00549632,28.5702,11.4873,13.8959,8.65598
0.00552943,28.5704,12.2129,13.898,8.65737
0.00556254,28.5706,12.9782,13.9001,8.65875
0.00559565,28.5709,13.7629,13.9022,8.66013
0.00562876,28.5711,14.5331,13.9042,8.66151
0.00566187,28.5713,15.2711,13.9061,8.6629
0.00569498,28.5714,15.9608,13.908,8.66428
0.00572809,28.5716,16.5957,13.9099,8.66566
0.0057612,28.5718,17.1734,13.9117,8.66704
0.00579431,28.5719,17.6964,13.9135,8.66843
0.00582742,28.572,18.1674,13.9153,8.66981
0.00586054,28.5722,18.5912,13.917,8.67119
0.00589365,28.5723,18.9736,13.9187,8.67258
0.00592676,28.5724,19.3198,13.9204,8.67396
0.00595987,28.5724,19.6336,13.9221,8.67534
0.00599298,28.5725,19.9188,13.9237,8.67673
0.00602609,28.5726,20.1792,13.9254,8.67811
0.0060592,28.5727,20.4176,13.927,8.67949
0.00609231,28.5727,20.6367,13.9286,8.68088
0.00612542,28.5728,20.8385,13.9302,8.68226
0.00615853,28.5728,21.0242,13.9318,8.68365
0.00619164,28.5729,21.1952,13.9334,8.68503
0.00622475,28.5729,21.3525,13.935,8.68641
0.00625786,28.573,21.4974,13.9365,8.6878
0.00629097,28.573,21.6306,13.9381,8.68918
0.00632408,28.573,21.7531,13.9396,8.69057
0.00635719,28.5731,21.8654,13.9412,8.69195
0.0063903,28.5731,21.9683,13.9427,8.69333
0.00642341,28.5731,22.0623,13.9442,8.69472
0.00645652,28.5732,22.1481,13.9458,8.6961
0.00648963,28.5732,22.2263,13.9473,8.69749
0.00652274,28.5732,22.2977,13.9488,8.69887
0.00655585,28.5732,22.3623,13.9503,8.70026
0.00658896,28.5732,22.421,13.9518,8.70164
0.00662207,28.5732,22.4743,13.9533,8.70302
0.00665518,28.5733,22.5227,13.9548,8.70441
0.00668829,28.5733,22.5666,13.9563,8.70579
0.0067214,28.5733,22.6068,13.9578,8.70718
0.00675452,28.5733,22.6435,13.9593,8.70856
0.00678763,28.5733,22.6769,13.9608,8.70995
0.00682074,28.5733,22.7074,13.9623,8.71133
0.00685385,28.5733,22.7353,13.9638,8.71272
0.00688696,28.5733,22.7609,13.9652,8.7141
0.00692007,28.5733,22.7843,13.9667,8.71548
