x,E_0,F_0,E+F,E-F
0.645,1.37199e-07,0,0.01372,-0.00028811
0.651,1.37199e-07,0,0.01372,-0.000288109
0.657,1.37199e-07,0,0.01372,-0.000288108
0.663,1.37199e-07,0,0.01372,-0.000288108
0.669,1.37199e-07,0,0.01372,-0.000288107
0.675,1.37199e-07,0,0.01372,-0.000288106
0.681,1.37199e-07,0,0.01372,-0.000288106
0.687,1.37199e-07,0,0.01372,-0.000288105
0.693,1.37199e-07,0,0.01372,-0.000288105
0.699,1.37199e-07,0,0.01372,-0.000288104
0.705,1.37199e-07,0,0.01372,-0.000288104
0.711,1.37199e-07,0,0.01372,-0.000288103
0.717,1.37199e-07,0,0.01372,-0.000288103
0.723,1.37199e-07,0,0.01372,-0.000288103
0.729,1.37199e-07,0,0.01372,-0.000288103
0.735,1.37199e-07,0,0.01372,-0.000288103
0.741,1.37199e-07,0,0.01372,-0.000288103
0.747,1.37199e-07,0,0.01372,-0.000288104
0.753,1.37199e-07,0,0.01372,-0.000288105
0.759,1.37199e-07,0,0.01372,-0.000288106
0.765,1.37199e-07,0,0.01372,-0.000288108
0.771,1.37199e-07,0,0.01372,-0.00028811
0.777,1.37199e-07,0,0.01372,-0.000288112
0.783,1.37199e-07,0,0.01372,-0.000288116
0.789,1.37199e-07,0,0.01372,-0.00028812
0.795,1.37199e-07,0,0.01372,-0.000288126
0.801,1.37199e-07,0,0.01372,-0.000288134
0.807,1.37199e-07,0,0.01372,-0.000288144
0.813,1.37199e-07,0,0.01372,-0.000288157
0.819,1.37199e-07,0,0.01372,-0.000288173
0.825,1.37199e-07,0,0.01372,-0.000288195
0.831,1.37199e-07,0,0.01372,-0.000288222
0.837,1.37199e-07,0,0.01372,-0.000288257
0.843,1.37199e-07,0,0.01372,-0.0002883
0.849,1.37199e-07,0,0.01372,-0.000288355
0.855,1.37199e-07,0,0.01372,-0.000288424
0.861,1.37199e-07,0,0.01372,-0.000288509
0.867,1.37199e-07,0,0.01372,-0.000288613
0.873,1.37199e-07,0,0.01372,-0.000288741
0.879,1.37199e-07,0,0.01372,-0.000288896
0.885,1.37199e-07,0,0.01372,-0.000289083
0.891,1.37199e-07,0,0.01372,-0.000289308
0.897,1.37199e-07,0,0.01372,-0.000289575
0.903,1.37199e-07,0,0.01372,-0.000289892
0.909,1.37199e-07,0,0.01372,-0.000290264
0.915,1.37199e-07,0,0.01372,-0.000290699
0.921,1.37199e-07,0,0.01372,-0.000291204
0.927,1.37199e-07,0,0.01372,-0.00029178
0.933,1.37199e-07,0,0.01372,-0.000292452
0.939,1.37199e-07,0,0.01372,-0.000293247
0.945,1.37199e-07,0,0.01372,-0.000294178
0.951,1.37199e-07,0,0.01372,-0.000295274
0.957,1.37199e-07,0,0.01372,-0.000296555
0.963,1.37199e-07,0,0.01372,-0.000298038
0.969,1.37199e-07,0,0.01372,-0.000299749
0.975,1.37199e-07,0,0.01372,-0.000301712
0.981,1.37199e-07,0,0.0137201,-0.00030394
0.987,1.37199e-07,0,0.0137201,-0.000306449
0.993,1.37199e-07,0,0.0137201,-0.000309256
0.999,1.37199e-07,0,0.0137201,-0.00031238
1.005,1.37199e-07,0,0.0137201,-0.000315837
